year,0-2000m_polarLat,0-2000m_polarLat_se,0-6000m_polarLat,0-6000m_polarLat_se,2000-6000m_allLat,2000-6000m_allLat_se,700-6000m_allLat,700-6000m_allLat_se
1961,6.019268998,3.543564318,4.861418559,3.545964273,-13.33090892,3.851504022,-37.72905482,4.309838316
1962,1.81598285,3.817813058,1.813386288,3.819955535,-3.40363632,3.769172752,-23.15192,4.225088458
1963,7.427165814,3.566206978,6.674804847,3.568102064,-5.95636356,3.602531376,-26.15309481,4.060973533
1964,3.162666761,3.661970968,2.392126593,3.663733937,-7.65818172,3.46900309,-23.58065926,3.925771422
1965,-0.408086034,3.741510769,-2.507874654,3.744057398,-7.94181808,3.356388491,-20.15074519,3.812200601
1966,1.020215084,3.962508521,0.077165374,3.965305239,-7.37454536,3.245274841,-24.43813778,3.70349778
1967,1.713961342,3.542144275,0.231496122,3.54354854,-3.970909039,3.039224159,-23.15192,3.497241458
1968,3.713582907,3.500388072,0.501574931,3.50182556,-13.33090892,3.121128979,-37.72905482,3.578237586
1969,4.407329164,3.291138986,2.585040028,3.292206543,-13.61454528,2.999253415,-37.72905482,3.456724413
1970,6.019268998,3.717780695,3.781103324,3.719797933,-11.91272712,2.730869848,-21.43696296,3.187329916
1971,10.18174654,3.71170615,8.642521883,3.713230575,-14.181818,2.745634176,-32.15544445,3.203310036
1972,3.591157097,3.50981067,2.314961219,3.510674194,-14.181818,2.787057912,-34.29914074,3.244644727
1973,5.631587265,3.692363412,4.707087811,3.693629217,-13.33090892,2.954922169,-33.87040148,3.412476781
1974,4.590967879,3.778540577,4.359843629,3.780734044,-6.52363628,3.119708958,-18.00704889,3.577847507
1975,6.039673299,3.726628993,6.404726039,3.728229514,-6.52363628,3.079728457,-10.71848148,3.535757652
1976,4.121668941,3.338266354,3.163780332,3.338943198,-8.79272716,2.976047713,-21.43696296,3.433954045
1977,-5.958056092,3.142981691,-6.63622216,3.143608687,-14.181818,2.807304842,-24.86687704,3.263551511
1978,-1.44870542,3.329457002,-2.469291967,3.33038865,-5.6727272,2.670090819,-30.01174815,3.126330309
1979,1.69355704,3.490374461,2.816536149,3.491237741,-3.40363632,2.614129353,-8.146045926,3.069960669
1980,-6.345737824,3.542911033,-6.829135595,3.543327071,-13.61454528,2.690744259,-29.58300889,3.146046734
1981,-3.203475365,3.709590696,-4.514174377,3.710522369,-9.9272726,2.525808048,-33.01292296,2.979738755
1982,-4.162477544,3.596919409,-5.594489612,3.597886882,-13.33090892,2.448103592,-36.44283704,2.902900893
1983,-3.795200114,3.683628634,-5.478741551,3.68428584,-17.30181796,2.571442929,-31.29796593,3.027871763
1984,1.469109721,3.584056227,0.694488366,3.584922108,-12.47999984,2.456434058,-24.43813778,2.914607139
1985,-1.795578548,3.359800455,-3.356693767,3.359518989,-19.28727248,2.439677549,-33.87040148,2.895283245
1986,-4.8358195,3.222503483,-6.983466343,3.222476238,-20.13818156,2.204751036,-39.44401185,2.658947133
1987,2.693367823,3.373217643,1.003149861,3.373353163,-23.54181788,2.382707119,-42.87392593,2.836453914
1988,1.550726928,3.535065615,0.077165374,3.535793449,-22.97454516,2.482054128,-35.58535852,2.936212783
1989,6.386546428,3.690072353,6.018899169,3.691292733,-20.42181792,2.361577979,-36.8715763,2.815727323
1990,4.95824531,3.793660438,4.205512881,3.795374677,-22.12363608,2.446056983,-43.30266519,2.89670309
1991,5.611182964,3.661893075,6.173229917,3.663111001,-18.15272704,2.379471816,-33.44166222,2.828894564
1992,13.20158319,3.308640003,10.91890042,3.307875981,-19.57090884,2.178772313,-34.29914074,2.624004679
1993,9.447191681,3.331121083,7.214962465,3.33052121,-24.95999968,2.186759598,-41.15896889,2.632235627
1994,6.549780841,3.692203255,4.552757064,3.692485182,-28.64727236,2.123427077,-51.01997185,2.564614172
1995,4.346116259,3.747418738,2.006299723,3.747286208,-23.54181788,2.215495589,-36.01409778,2.660156433
1996,-0.693746257,3.792009258,-2.083465097,3.791895175,-13.61454528,2.172125903,-27.43931259,2.613345202
1997,7.569995926,3.490061132,7.099214404,3.489863492,-11.06181804,2.178005261,-12.43343852,2.619818197
1998,12.73228425,3.676306766,12.80945208,3.675956908,-12.19636348,2.277199182,-9.432263704,2.719757269
1999,11.01832291,3.709116183,10.49449086,3.709586102,-15.88363616,2.371568854,-12.86217778,2.814756856
2000,10.8754928,4.06969287,9.915750554,4.07071454,-19.00363612,2.511464323,-23.58065926,2.957628466
2001,10.07972503,3.92031831,9.028348753,3.920672761,-16.45090888,2.47052611,-24.00939852,2.911785954
2002,17.95578548,3.017083113,16.97638227,3.014796902,-16.45090888,2.010698805,-8.146045926,2.439990647
2003,20.40430169,2.310911351,19.29134349,2.306532899,-15.03272708,1.608515202,6.431088889,2.025714687
2004,23.40373403,1.976162283,23.72835249,1.968848434,-12.7636362,1.364571328,6.431088889,1.76945497
2005,32.76930851,1.706163152,32.64095318,1.69768504,-10.77818168,1.253352534,13.7196563,1.653139624
2006,19.44529951,1.429655685,17.90236676,1.419178734,-11.06181804,1.192402769,12.86217778,1.590673562
2007,15.05837464,1.320839406,14.77716911,1.309257177,-10.77818168,1.161171895,12.86217778,1.55785073
2008,22.09785873,1.194652461,21.76063546,1.182473568,-18.4363634,1.13047942,11.14722074,1.525907155
2009,22.85281789,1.145494592,23.49685637,1.132362055,-14.181818,1.13571231,22.29444148,1.531080487
2010,21.26128236,1.171815884,24.61575429,1.160427675,-8.79272716,1.131348023,27.86805185,1.526168735
2011,22.15907163,1.200967461,24.96299848,1.189347635,-7.65818172,1.11168467,35.58535852,1.50577866
2012,25.19931258,1.051082567,28.24252687,1.038559869,-1.98545452,1.082568718,49.73375408,1.476814027
2013,18.97600057,1.135257876,21.0275644,1.121355629,-4.2545454,1.08822977,54.87862519,1.482624071
2014,23.32211683,1.088884681,24.46142354,1.07421829,-3.97090904,1.061584015,58.73727852,1.454355319
2015,21.38370817,1.162401232,21.87638352,1.148251691,-6.23999992,1.060820591,54.44988593,1.452738298
2016,28.56602236,1.062761703,29.51575554,1.048090208,-3.68727268,1.046092981,66.02584593,1.437911167
2017,19.99621565,1.078545046,23.03386413,1.063302819,1.4181818,1.045672677,69.45576,1.437053588
2018,23.66898996,0.925728419,25.58032147,0.910024171,-1.70181816,1.06562583,69.88449926,1.458545349
2019,24.40354482,0.977790392,26.81496745,0.962388244,-1.4181818,1.077327066,74.17189185,1.470581622
2020,23.77101146,1.563693885,26.6606367,1.551871313,-0.85090908,1.140952164,82.31793778,1.534739054
2021,21.89381571,1.231057004,25.27165997,1.217936935,4.53818176,1.127420099,90.03524445,1.522003549
2022,26.79084811,1.230091779,33.02678005,1.216695543,6.23999992,1.133278366,89.60650519,1.527751043
2023,23.87303297,1.211553419,29.59292091,1.198758077,7.65818172,1.13872819,96.03759408,1.533323474
2024,30.06428108,1.040025446,36.42205651,1.02529126,7.9012986,1.101183212,100.1412413,1.494631822
