yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
192107,274.552,34.7417,nan,nan,0.0149886,0.0125386
192108,274.553,34.7414,nan,nan,0.0229001,0.0232178
192109,274.553,34.7411,nan,nan,0.0221448,0.0216091
192110,274.553,34.7408,nan,nan,0.0234606,0.0251004
192111,274.554,34.7406,nan,nan,0.0243408,0.0294073
192112,274.554,34.7407,nan,nan,0.00785609,0.0104053
192201,274.554,34.7408,nan,nan,0.0169422,0.018011
192202,274.554,34.741,nan,nan,0.0260452,0.0278915
192203,274.553,34.7414,nan,nan,0.0214175,0.0203138
192204,274.552,34.7419,nan,nan,0.022196,0.0254012
192205,274.552,34.7421,nan,nan,0.0302653,0.0301974
192206,274.552,34.7419,nan,nan,0.0348245,0.0313392
192207,274.553,34.7415,nan,nan,0.0259967,0.0255456
192208,274.553,34.7412,nan,nan,0.0299953,0.029598
192209,274.553,34.741,nan,nan,0.0238769,0.0222081
192210,274.557,34.7404,nan,nan,0.0433571,0.0459202
192211,274.557,34.7402,nan,nan,0.0247755,0.0193754
192212,274.557,34.7404,nan,nan,0.0176397,0.0147474
192301,274.556,34.7406,nan,nan,0.0121243,0.0125492
192302,274.556,34.7408,nan,nan,0.0222597,0.020687
192303,274.555,34.7412,nan,nan,0.0335397,0.0356976
192304,274.554,34.7417,nan,nan,0.0515359,0.0499119
192305,274.553,34.742,nan,nan,0.043489,0.0430984
192306,274.553,34.7418,nan,nan,0.0486465,0.0531164
192307,274.554,34.7415,nan,nan,0.046813,0.045832
192308,274.554,34.7412,nan,nan,0.0495792,0.0469426
192309,274.554,34.7409,nan,nan,0.0300591,0.0324537
192310,274.554,34.7407,nan,nan,0.0233369,0.0251184
192311,274.554,34.7406,nan,nan,0.0249748,0.0232046
192312,274.555,34.7406,nan,nan,0.0515741,0.0509526
192401,274.555,34.7408,nan,nan,0.0372288,0.0378488
192402,274.554,34.741,nan,nan,0.0309104,0.0347872
192403,274.554,34.7414,nan,nan,0.0361929,0.0375052
192404,274.553,34.7419,nan,nan,0.0373367,0.0327155
192405,274.552,34.7421,nan,nan,0.0491334,0.0439658
192406,274.552,34.7419,nan,nan,0.0547799,0.0492182
192407,274.553,34.7416,nan,nan,0.0414671,0.0398867
192408,274.553,34.7413,nan,nan,0.0532778,0.0530487
192409,274.554,34.741,nan,nan,0.0455277,0.0462051
192410,274.554,34.7408,nan,nan,0.0354619,0.036872
192411,274.554,34.7407,nan,nan,0.0338464,0.0316122
192412,274.554,34.7408,nan,nan,0.0230883,0.0196119
192501,274.554,34.7409,nan,nan,0.019594,0.0155152
192502,274.554,34.7411,nan,nan,0.0217652,0.0199918
192503,274.553,34.7415,nan,nan,0.0307614,0.0291276
192504,274.552,34.742,nan,nan,0.0599124,0.0601233
192505,274.552,34.7422,nan,nan,0.0668335,0.070262
192506,274.552,34.7419,nan,nan,0.0836744,0.0757223
192507,274.552,34.7416,nan,nan,0.083086,0.0668569
192508,274.553,34.7413,nan,nan,0.0685062,0.0598995
192509,274.553,34.741,nan,nan,0.0545481,0.0446341
192510,274.554,34.7406,nan,nan,0.0636184,0.0518118
192511,274.555,34.7405,nan,nan,0.0423561,0.0392399
192512,274.555,34.7407,nan,nan,0.0229729,0.0220133
192601,274.555,34.7408,nan,nan,0.0378071,0.0370215
192602,274.555,34.7411,nan,nan,0.0459731,0.0390781
192603,274.555,34.7415,nan,nan,0.0425679,0.0392399
192604,274.554,34.742,nan,nan,0.0366719,0.0367152
192605,274.553,34.7419,nan,nan,0.100968,0.101771
192606,274.552,34.7418,nan,nan,0.0751678,0.0742909
192607,274.553,34.7415,nan,nan,0.0853337,0.0854822
192608,274.553,34.7412,nan,nan,0.0569707,0.0577458
192609,274.554,34.741,nan,nan,0.069383,0.0714025
192610,274.554,34.7408,nan,nan,0.0621485,0.0628934
192611,274.554,34.7407,nan,nan,0.0505315,0.0444977
192612,274.554,34.7408,nan,nan,0.0414828,0.0403057
192701,274.554,34.741,nan,nan,0.0452697,0.044772
192702,274.553,34.7411,nan,nan,0.0542147,0.0546532
192703,274.553,34.7414,nan,nan,0.0586249,0.0665442
192704,274.552,34.7418,nan,nan,0.0589933,0.0654458
192705,274.552,34.742,nan,nan,0.0834258,0.084861
192706,274.552,34.7419,nan,nan,0.0638352,0.070734
192707,274.552,34.7417,nan,nan,0.0611595,0.0613031
192708,274.553,34.7413,nan,nan,0.0804929,0.0758651
192709,274.553,34.7411,nan,nan,0.0594112,0.061427
192710,274.553,34.7408,nan,nan,0.0326936,0.0349938
192711,274.554,34.7407,nan,nan,0.0363693,0.0351872
192712,274.554,34.7408,nan,nan,0.037855,0.0378953
192801,274.554,34.741,nan,nan,0.0423802,0.0448529
192802,274.554,34.7412,nan,nan,0.0402745,0.0439174
192803,274.553,34.7415,nan,nan,0.0420881,0.0361842
192804,274.552,34.742,nan,nan,0.0452193,0.0385863
192805,274.551,34.7421,nan,nan,0.0591747,0.0635071
192806,274.552,34.742,nan,nan,0.0580074,0.0586871
192807,274.552,34.7416,nan,nan,0.070792,0.0673749
192808,274.553,34.7408,nan,nan,0.0905269,0.0949011
192809,274.554,34.7404,nan,nan,0.100543,0.103789
192810,274.554,34.7403,nan,nan,0.0662517,0.071778
192811,274.554,34.7402,nan,nan,0.0693761,0.0707072
192812,274.555,34.7402,nan,nan,0.0686351,0.0621836
192901,274.555,34.7402,nan,nan,0.0556197,0.0470893
192902,274.554,34.7404,nan,nan,0.0688074,0.0592354
192903,274.554,34.7408,nan,nan,0.0639623,0.0653738
192904,274.554,34.7412,nan,nan,0.0700766,0.0823957
192905,274.554,34.7411,nan,nan,0.091751,0.0957847
192906,274.554,34.741,nan,nan,0.064325,0.0665545
192907,274.554,34.7406,nan,nan,0.102171,0.0962858
192908,274.556,34.7401,nan,nan,0.0836362,0.0782866
192909,274.556,34.7399,nan,nan,0.0926645,0.0971158
192910,274.556,34.7395,nan,nan,0.0822274,0.0735389
192911,274.556,34.7395,nan,nan,0.0595553,0.0615544
192912,274.557,34.7396,nan,nan,0.0560524,0.0588253
193001,274.557,34.7399,nan,nan,0.0593939,0.0554653
193002,274.556,34.7403,nan,nan,0.0789036,0.0737523
193003,274.555,34.7408,nan,nan,0.0839212,0.086242
193004,274.554,34.7412,nan,nan,0.0712054,0.0722299
193005,274.553,34.7415,nan,nan,0.0739219,0.0761095
193006,274.554,34.7414,nan,nan,0.071238,0.0640726
193007,274.554,34.7411,nan,nan,0.0764408,0.0678331
193008,274.555,34.7409,nan,nan,0.0980995,0.0869476
193009,274.555,34.7407,nan,nan,0.0897302,0.0796248
193010,274.555,34.7406,nan,nan,0.081182,0.0739498
193011,274.555,34.7406,nan,nan,0.0489931,0.043964
193012,274.555,34.7407,nan,nan,0.0425915,0.0390738
193101,274.554,34.7409,nan,nan,0.0482455,0.0440602
193102,274.554,34.741,nan,nan,0.057552,0.0505124
193103,274.553,34.7413,nan,nan,0.0592776,0.0495043
193104,274.552,34.7417,nan,nan,0.060488,0.051944
193105,274.552,34.742,nan,nan,0.0730466,0.0681837
