yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
198801,276.56,34.7223,0.331548,0.0511427,0.694094,0.313347
198802,276.557,34.7233,0.328916,0.0508182,0.715452,0.387856
198803,276.558,34.7239,0.330058,0.0508931,0.684534,0.356572
198804,276.558,34.7242,0.331366,0.0507943,0.657785,0.308459
198805,276.561,34.7245,0.331404,0.0505139,0.642733,0.331659
198806,276.556,34.7243,0.333086,0.0505993,0.629059,0.312907
198807,276.556,34.7245,0.333957,0.0506536,0.623868,0.297048
198808,276.555,34.7239,0.333836,0.0507112,0.657899,0.316812
198809,276.558,34.7236,0.335102,0.0507338,0.615071,0.3432
198810,276.557,34.724,0.332834,0.0505288,0.649074,0.338735
198811,276.557,34.7235,0.335585,0.0507939,0.610061,0.301152
198812,276.563,34.7234,0.339327,0.0512741,0.560299,0.280107
198901,276.565,34.724,0.340177,0.0514639,0.598433,0.270974
198902,276.567,34.7242,0.334904,0.0512151,0.670412,0.317269
198903,276.566,34.7243,0.334921,0.0511839,0.671915,0.290521
198904,276.56,34.7245,0.336515,0.0512979,0.626117,0.269142
198905,276.56,34.7244,0.33632,0.0511053,0.632097,0.333908
198906,276.559,34.7242,0.336491,0.0510313,0.619568,0.291105
198907,276.554,34.7235,0.336854,0.0511655,0.620406,0.271746
198908,276.555,34.7233,0.338065,0.0514953,0.614652,0.264109
198909,276.554,34.7231,0.338912,0.0513576,0.604186,0.283302
198910,276.558,34.7229,0.336352,0.0513867,0.634293,0.29714
198911,276.553,34.7224,0.335456,0.051158,0.629614,0.342669
198912,276.558,34.7219,0.337751,0.0516905,0.599978,0.235282
199001,276.562,34.7227,0.333805,0.0513546,0.658102,0.307747
199002,276.565,34.7225,0.330373,0.0507546,0.690238,0.3288
199003,276.562,34.7223,0.33068,0.0506789,0.671808,0.330495
199004,276.564,34.7227,0.331063,0.051066,0.658579,0.284615
199005,276.557,34.7224,0.332317,0.0512912,0.648634,0.314229
199006,276.551,34.7227,0.331827,0.0510953,0.654864,0.26271
199007,276.544,34.7222,0.333698,0.0513583,0.619948,0.229189
199008,276.545,34.7218,0.33497,0.0519362,0.628332,0.208591
199009,276.553,34.7215,0.334195,0.0517126,0.614727,0.246451
199010,276.553,34.722,0.334829,0.0514785,0.629954,0.272927
199011,276.559,34.7222,0.334441,0.0518657,0.648021,0.24895
199012,276.563,34.7217,0.333465,0.0521428,0.666111,0.224039
199101,276.562,34.7224,0.332694,0.0520883,0.680873,0.272359
199102,276.564,34.7226,0.331448,0.0516253,0.664411,0.286614
199103,276.569,34.7229,0.330591,0.0515541,0.679553,0.25767
199104,276.565,34.7231,0.332262,0.0516123,0.622885,0.229781
199105,276.566,34.723,0.333173,0.0515584,0.605259,0.284665
199106,276.561,34.7226,0.33498,0.051538,0.615291,0.258011
199107,276.561,34.7227,0.333517,0.0512028,0.633655,0.274675
199108,276.556,34.7224,0.3339,0.0512113,0.619289,0.268056
199109,276.559,34.7218,0.334245,0.0512061,0.611241,0.247521
199110,276.56,34.7212,0.334338,0.0511913,0.617971,0.274788
199111,276.562,34.7213,0.334683,0.0512781,0.621578,0.256349
199112,276.562,34.7216,0.334247,0.0518274,0.613543,0.198855
199201,276.563,34.7218,0.334707,0.052031,0.617219,0.195193
199202,276.564,34.7224,0.33219,0.0516224,0.646724,0.274395
199203,276.568,34.723,0.331515,0.0514694,0.660429,0.301903
199204,276.565,34.7232,0.333349,0.0515458,0.61375,0.239224
199205,276.561,34.7231,0.332584,0.0513324,0.641699,0.290983
199206,276.556,34.7224,0.330048,0.0512947,0.645579,0.267398
199207,276.555,34.7225,0.331206,0.0513442,0.639874,0.250524
199208,276.561,34.7229,0.331161,0.0511369,0.634564,0.28844
199209,276.561,34.7216,0.332454,0.0510843,0.628044,0.300401
199210,276.556,34.7223,0.329172,0.0508148,0.678229,0.336638
199211,276.555,34.7225,0.328342,0.0507638,0.652027,0.342078
199212,276.56,34.7226,0.327953,0.0513215,0.67008,0.248396
199301,276.565,34.7225,0.326154,0.0513024,0.686978,0.245846
199302,276.568,34.7227,0.325501,0.0509753,0.693615,0.249265
199303,276.574,34.7231,0.322754,0.0511531,0.701561,0.257926
199304,276.564,34.724,0.323725,0.0513674,0.6993,0.243926
199305,276.562,34.7241,0.327043,0.0512266,0.65817,0.286396
199306,276.561,34.7236,0.329616,0.0516073,0.619403,0.225342
199307,276.559,34.7235,0.329673,0.0513163,0.654233,0.26634
199308,276.554,34.7233,0.327937,0.0510892,0.703815,0.278679
199309,276.554,34.7231,0.327877,0.0511101,0.684412,0.281143
199310,276.553,34.7231,0.326953,0.0513485,0.69339,0.265489
199311,276.555,34.7228,0.32761,0.0516799,0.675751,0.230867
199312,276.561,34.723,0.326545,0.0524009,0.701597,0.16842
199401,276.568,34.7232,0.325264,0.051731,0.714277,0.257716
199402,276.568,34.7231,0.323436,0.0511256,0.739681,0.275422
199403,276.571,34.724,0.320931,0.0510615,0.738438,0.268066
199404,276.566,34.7243,0.324968,0.0511537,0.676885,0.258655
199405,276.563,34.7241,0.326345,0.051165,0.684,0.260967
199406,276.555,34.7233,0.329787,0.0514101,0.625921,0.222463
199407,276.553,34.7228,0.331661,0.0518795,0.637929,0.168387
199408,276.554,34.723,0.329672,0.0519167,0.666991,0.211871
199409,276.557,34.7234,0.331295,0.0516604,0.650787,0.251109
199410,276.557,34.7233,0.331284,0.0520642,0.670942,0.211311
199411,276.557,34.7228,0.328977,0.0521216,0.661044,0.210975
199412,276.558,34.7229,0.326712,0.0522036,0.687541,0.200672
199501,276.566,34.7231,0.325469,0.0516867,0.69551,0.21539
199502,276.562,34.7235,0.323923,0.0515022,0.710602,0.248275
199503,276.561,34.7239,0.321965,0.0513327,0.731104,0.263792
199504,276.566,34.7241,0.323743,0.0512312,0.704825,0.254877
199505,276.557,34.7244,0.32702,0.0514636,0.669748,0.234918
199506,276.553,34.7237,0.33,0.0517629,0.65897,0.244807
