experiment,approach,firstcross1,firstcross2,firstcross5,kl,ncrosses,rmse
fut_ESM1-2-LR_SSP126_constVolc,inverse_variance,0.1254053360761535,0.24569710208274678,0.5378621849830356,0.35685587688782755,1.46,0.03335293785097116
fut_ESM1-2-LR_SSP126_constVolc,sharpened_blended,0.13566490672796805,0.2651357304122129,0.5719103900501803,0.44716663928848016,1.5,0.031114193762481094
fut_ESM1-2-LR_SSP245_constVolc,inverse_variance,0.5957485414695181,0.8640447416811765,0.9921469436719978,0.22685097506239432,1.0,0.02813779657027747
fut_ESM1-2-LR_SSP245_constVolc,sharpened_blended,0.5647034491732363,0.8821992582722468,0.9899538197717119,0.33994680178351455,1.02,0.029462912787930562
fut_ESM1-2-LR_SSP370_constVolc,inverse_variance,0.6048978036708047,0.8869667878744547,0.9999999308639734,0.17101993017607142,1.06,0.03302348594868087
fut_ESM1-2-LR_SSP370_constVolc,sharpened_blended,0.5661800820163246,0.8600034313278853,0.9999997801808926,0.42333139207686216,1.0,0.03017879245764202
fut_NorESM_RCP45_Volc,inverse_variance,0.30536866429128395,0.5591195695552998,0.892028191482083,0.4967571485122374,1.1,0.0507028430022272
fut_NorESM_RCP45_Volc,sharpened_blended,0.32131870109973926,0.5876048694038198,0.9204551227130546,0.655226174967944,1.0666666666666667,0.046707605282533204
fut_NorESM_RCP45_VolcConst,inverse_variance,0.5871510612482791,0.8856616381672354,0.9999996652244694,0.30124489708923896,1.0166666666666666,0.02783753312595813
fut_NorESM_RCP45_VolcConst,sharpened_blended,0.5787217936305796,0.8668822879297678,0.9999995141507367,0.4013395277186763,1.0166666666666666,0.02687967388117559
