,method_name,short_method_class,err_var,err_var100,best_alter_scale
0,lag10y,42/1_Run_Means,0.0037050636520828744,0.005034724179685758,1.9961138376808867
1,lag5y,42/1_Run_Means,0.0031684919504246407,0.003318249047703534,1.4759295438332467
2,raw1y,42/1_Run_Means,0.009600412383369497,0.009145753675810574,0.8880922268770457
3,OLS_refit,42/2_LT_Fits,0.018015197309807815,0.01801519730980782,4.887470701344953
4,quartic,42/2_LT_Fits,0.009813338910458713,0.009813338910458713,1.738677491498853
5,Bayes_seq_CP,42/2_LT_Fits,0.005833663961981012,0.006312117895003576,2.5075783488929138
6,butterworth,42/2_LT_Fits,0.00312107984984993,0.00312107984984993,0.5332156661285715
7,TheilSen_h7075,42/2_LT_Fits,0.0013374705087530626,0.0013374705087530621,0.9497506824616907
8,hinge75meet,42/2_LT_Fits,0.0013849899187845195,0.0013849899187845195,0.8537546553459259
9,OLS_hinge75,42/2_LT_Fits,0.0018503035818964058,0.0018503035818964058,1.0215996458618954
10,etrend30y_3CS,42/3_ST_Fits,0.004191908231760087,0.005085659218501499,1.7891741806436754
11,opt_clim_norm,42/3_ST_Fits,0.004183937580051556,0.005838130704677193,2.9337180708213086
12,lowess1dg20wnc,42/3_ST_Fits,0.00279216856840384,0.002939085248088038,1.220508310544605
13,etrend30y,42/3_ST_Fits,0.003124036832121481,0.0034719868812698273,1.5136127351277098
14,lowess1dt30wnc,42/3_ST_Fits,0.0027575009129044334,0.0023719460464943385,1.0732184753172729
15,etrend15y,42/3_ST_Fits,0.003462126606049276,0.003013601612424963,1.2620789472050622
16,lowess1dt20wnc,42/3_ST_Fits,0.0036893390811391772,0.003229379221520517,1.0314101236961226
17,lowess1dt20wARMA,42/3_ST_Fits,0.003849023997468739,0.003229379221520517,1.2481443602945181
18,lowess1dt20wAR,42/3_ST_Fits,0.0036893390811391772,0.003229379221520517,1.3097217391198597
19,lowess1dt10wnc,42/3_ST_Fits,0.0060921175933724234,0.005578404932749181,0.9483410054228232
20,lowess2dt20wnc,42/3_ST_Fits,0.006338430090113759,0.005701082859564507,1.0155944384147675
21,offset11y,42/3_ST_Fits,0.008464193974859277,0.005638329460668929,2.6042828021568134
22,min_month_proj,42/3_ST_Fits,0.008945949029202085,0.005119253781766374,0.5634473353810736
23,GAM_AR1,42/4_GAM_AR1,0.0033756161868341403,0.002783062706230368,1.4178339600770098
24,GAM_AR0,42/4_GAM_AR1,0.004252730540285409,0.0032379674076199873,1.2668672049915664
25,cubic_spline,42/4_GAM_AR1,0.006296903281048797,0.005214808250814039,1.0201039883485818
26,Kalman_RW,42/5_Kalman,0.0027848961772951398,0.003216400880005701,0.996530355406713
27,Kalman_RW_ocn,42/5_Kalman,0.0024688377492292795,0.002876750603958584,0.9923686427358762
28,Kal_flexLin_ocn,42/5_Kalman,0.00195675296754155,0.0022962278818822604,0.9849622159674949
29,Kal_flexLin,42/5_Kalman,0.002325316115328064,0.0024067589356605943,0.9818199499253236
30,lfca_SST,42/6_Remove_IV,0.00960353975743804,0.00960353975743804,1.0546640577963775
31,lfca_hadcrut,42/6_Remove_IV,0.004666233461435423,0.004666233461435424,1.003698553470978
32,removeMEI_volc_cons,42/6_Remove_IV,0.0029150352070555444,0.0029150352070555444,0.9110003577112834
33,removeMEI_cons,42/6_Remove_IV,0.006704757735996779,0.006823204212750496,1.7529330478302043
34,removeGreensfx,42/6_Remove_IV,0.0024337462896627474,0.002457767072516019,0.8222168690432248
35,removeMEI_volc_refit,42/6_Remove_IV,0.012311763370700139,0.01216019688722182,0.9989736003586364
36,OLS_refit_CO2forc,43/0_Linear,0.007468263570792787,0.007970542971484145,11.482043266735884
37,cons_hArrh_CO2forc,43/0_Linear,0.010870277914851048,0.005023391008977716,11.445308917501436
38,FaIR_anthro,43/1_ERF_FaIR,0.0009097767584077684,0.0009097767584077684,1.1923603358364205
39,FaIR_nonat,43/1_ERF_FaIR,0.0007593902223236594,0.0007593902223236594,0.9276556413888943
40,FaIR_nonat_unB,43/1_ERF_FaIR,0.0007531586703085908,0.0007531586703085908,0.9066107569962242
41,FaIR_anthro_unB,43/1_ERF_FaIR,0.0008664960966752051,0.0008664960966752051,1.156582288671444
42,FaIR_all_unB,43/1_ERF_FaIR,0.003082190250742351,0.003082190250742351,1.1378284738435445
43,FaIR_comb_unB,43/1_ERF_FaIR,0.0008476317142347919,0.0008476317142347919,0.7424933336355932
44,FaIR_all,43/1_ERF_FaIR,0.004061926866902222,0.004061926866902222,1.1977848518089218
45,EBMKF_ta4,43/2_Kalman,0.0012472128788820454,0.0017146563300889388,0.885635050285274
46,EBMKF_ta2,43/2_Kalman,0.0007665941861764171,0.001000617043399196,0.8671032569562013
47,EBMKF_ta,43/2_Kalman,0.0008655585957660198,0.001172475963572844,0.9168401623454044
48,GWI_anthro_AR6,43/3_Human_Induced,0.005581126455080855,0.005581126455080856,1.0000160225882109
49,GWI_tot_AR6,43/3_Human_Induced,0.004975503405343685,0.004975503405343685,1.1540052758005737
50,eROF_tot,43/3_Human_Induced,0.005460125703786237,0.004939893291497228,0.6172457524413155
51,eROF_anthro,43/3_Human_Induced,0.006244812709924075,0.006214134634122279,0.9910625765562497
52,KCC_human,43/3_Human_Induced,0.0067300855106317385,0.007295587787959702,1.0501964175619776
53,KCC_all,43/3_Human_Induced,0.01156308389676671,0.0041396937514808895,1.4246677854767855
54,GWI_anthro_SR15,43/3_Human_Induced,0.001864712144327309,0.001864712144327309,0.4625785916311452
