Time,Anomaly,Lower,Upper
1850,-0.11993,-0.29147507,0.051615100000000025
1851,0.05725,-0.12126811999999998,0.235768113
1852,0.132,-0.04798336,0.31198335
1853,0.08026,-0.07939489,0.23991491600000003
1854,0.04456,-0.09663067000000003,0.18575064000000002
1855,0.08514,-0.05726203000000002,0.22754201
1856,0.0671,-0.08063949999999998,0.21483952
1857,-0.03406,-0.18315210999999992,0.11503211000000002
1858,0.071,-0.07712033999999995,0.21912038
1859,0.08606,-0.05659567000000004,0.22871567
1860,0.003057,-0.14575442000000005,0.15186843
1861,-0.1443,-0.31218806,0.0235881
1862,-0.2854,-0.45269055,-0.11810939999999992
1863,-0.014046,-0.20383869999999998,0.17574665
1864,-0.03894,-0.22156797,0.14368794999999995
1865,0.08704,-0.10493557999999997,0.27901554000000006
1866,0.03674,-0.1437734,0.21725336
1867,-0.05695,-0.25297907999999997,0.13907908000000002
1868,0.05435,-0.12330155999999998,0.23200153999999998
1869,0.04605,-0.11382140000000002,0.20592139
1870,-0.08386,-0.22463192999999998,0.05691196000000004
1871,-0.183,-0.32857039999999993,-0.03742959000000001
1872,-0.05115,-0.18620944,0.08390943999999997
1873,-0.1615,-0.29270474,-0.030295269999999985
1874,-0.2317,-0.3655914,-0.09780860000000002
1875,-0.03406,-0.17247505999999996,0.10435508999999998
1876,0.012856,-0.12590526000000007,0.15161721999999994
1877,0.3928,0.26408883,0.52151118
1878,0.4404,0.32050261199999996,0.560297392
1879,0.1383,0.007869960000000065,0.26873002
1880,-0.07214,-0.19645887,0.052178840000000004
1881,0.07587,-0.04981946000000001,0.20155946000000002
1882,0.01625,-0.10837002000000007,0.14087001999999998
1883,-0.00814,-0.12248329999999996,0.10620328000000001
1884,-0.06573,-0.17607853999999995,0.044618519999999995
1885,-0.1307,-0.2426446200000001,-0.018755379999999988
1886,-0.121,-0.22263457999999997,-0.019365410000000027
1887,-0.1947,-0.3124740999999999,-0.07692589999999994
1888,-0.08093,-0.19487487999999997,0.03301489000000002
1889,0.06506,-0.05726537000000001,0.18738538999999999
1890,-0.1459,-0.27145133,-0.02034862999999998
1891,-0.01845,-0.1545049599999999,0.11760495999999998
1892,-0.1263,-0.26307002999999995,0.01046999999999998
1893,-0.09265,-0.22956217999999995,0.04426220000000003
1894,-0.01744,-0.15924416999999996,0.12436418999999999
1895,0.06555,-0.06771904000000001,0.19881899999999997
1896,0.11633,-0.01706418000000004,0.24972421
1897,0.11194,-0.026784080000000043,0.25066411
1898,-0.07404,-0.20589707000000002,0.05781710000000001
1899,0.10706,-0.023903300000000016,0.23802328
1900,0.194,0.062023999999999996,0.32597600000000004
1901,0.1583,0.023444069999999984,0.29315590999999996
1902,0.03876,-0.09559163999999998,0.17311163000000002
1903,-0.002243,-0.12700953999999998,0.12252355000000004
1904,-0.05063,-0.17807509999999993,0.0768150700000001
1905,0.1886,0.06596368000000002,0.31123632
1906,0.1823,0.056483179999999966,0.30811679999999997
