Time,Anomaly,Lower,Upper
1959,-0.4607,-0.523058927,-0.398341076
1960,-0.4602,-0.51887798,-0.401522025
1961,-0.4307,-0.48148006100000007,-0.379919934
1962,-0.4883,-0.541566515,-0.43503347800000003
1963,-0.4573,-0.511069156,-0.40353083799999995
1964,-0.684,-0.72763299,-0.64036705
1965,-0.5933,-0.64249022,-0.54410977
1966,-0.5176,-0.56711158,-0.46808843
1967,-0.497,-0.5401175060000001,-0.453882496
1968,-0.5757,-0.62032793,-0.53107207
1969,-0.4202,-0.460705135,-0.379694869
1970,-0.4526,-0.49358857,-0.411611446
1971,-0.5723,-0.61088319,-0.53371681
1972,-0.4646,-0.50249219,-0.42670782599999996
1973,-0.335,-0.37147114200000003,-0.29852886
1974,-0.5327,-0.5703990699999999,-0.49500090999999996
1975,-0.449,-0.48955089599999996,-0.40844911599999995
1976,-0.5547,-0.5947237299999999,-0.51467625
1977,-0.2346,-0.27763182,-0.19156819
1978,-0.3462,-0.386052587,-0.306347415
1979,-0.2515,-0.279999515,-0.22300049000000002
1980,-0.1427,-0.17596806,-0.10943194
1981,-0.1044,-0.13502078,-0.07377921999999998
1982,-0.3218,-0.361176917,-0.282423082
1983,-0.122,-0.15776553000000001,-0.08623446999999998
1984,-0.307,-0.343453363,-0.27054664
1985,-0.2903,-0.32436631000000005,-0.256233692
1986,-0.2756,-0.306878976,-0.24432103000000002
1987,-0.1249,-0.15574088000000003,-0.09405912000000002
1988,-0.05823,-0.09334644,-0.023113539999999988
1989,-0.169,-0.20375189000000002,-0.13424812000000003
1990,0.002958,-0.03305565999999999,0.03897166000000002
1991,0.03387,-0.0009903700000000182,0.06873035999999999
1992,-0.2021,-0.23611472,-0.16808526000000001
1993,-0.152,-0.18949046,-0.11450954999999999
1994,-0.10297,-0.13810684,-0.06783317000000003
1995,0.032,-0.001210359999999966,0.0652104
1996,-0.0859,-0.11940935999999999,-0.052390629999999966
1997,0.0477,0.015482350000000034,0.07991769999999998
1998,0.1897,0.15542707,0.22397294
1999,-0.0278,-0.05945020999999995,0.00385023000000001
2000,-0.0221,-0.05495690999999997,0.010756910000000008
2001,0.1177,0.08648796000000003,0.14891206
2002,0.2242,0.19351536000000003,0.25488466
2003,0.1964,0.16347246000000004,0.2293275600000001
