Time,Anomaly,Lower,Upper
1973,0.40888491764,0.01347901800000001,0.08642130000000003
1974,0.18640818764,-0.21022564,-0.13482748
1975,0.24818054363999997,-0.15130511,-0.07020333000000001
1976,0.14309785764,-0.25586063,-0.17581315
1977,0.46202325763999996,0.06005667999999997,0.14612031000000003
1978,0.36419072964,-0.034596615,0.045108556999999994
1979,0.44979289763999997,0.062358625,0.11935764999999998
1980,0.34421510608223116,-0.04798771155776882,0.018548408442231157
1981,0.36817140491035616,-0.0213841327296439,0.03985742727035613
1982,0.43842286975410616,0.04011119511410616,0.11886503011410615
1983,0.44428224475410616,0.04958195711410618,0.12111301711410627
1984,0.46460695178535616,0.06921883114535615,0.14212555414535616
1985,0.5203930845978562,0.12739201695785612,0.19552463495785616
1986,0.6983410826447312,0.30812734900473115,0.37068529500473113
1987,0.6703564635041062,0.28058082586410615,0.3422625858641061
1988,0.6081006041291062,0.2140494064891062,0.28428230648910624
1989,0.6637341490509812,0.2700475014109811,0.3395512714109812
1990,0.5708081236603562,0.17585970602035617,0.24788702602035606
1991,0.5824048033478562,0.18860967570785614,0.25833040570785615
1992,0.47113771350410616,0.07818823586410617,0.14621769586410616
1993,0.6446911803009812,0.24826596266098122,0.3232468726609812
1994,0.7236401549103562,0.32956855727035617,0.3998422272703561
1995,0.7561718931916062,0.36402677555160623,0.4304475355516062
1996,0.6908642760041062,0.2984201583641062,0.3654388883641062
1997,0.6769177428009812,0.28576533516098124,0.35020068516098135
1998,0.7813488951447312,0.38814120750473124,0.45668707750473114
1999,0.8634106627228562,0.4728256950828562,0.5361261350828561
2000,0.8261792174103562,0.4343875497703562,0.5001013697703562
2001,0.8892285338166062,0.499081736176606,0.5615058361766061
2002,0.9298169127228562,0.5401975150828562,0.6015668150828561
2003,1.0392529478791062,0.6473906502391062,0.7132457502391061
2004,1.0671154967072312,0.6751483490672312,0.7412131190672311
2005,1.0099255553009812,0.6198335976609812,0.682148037660981
2006,1.0232617369416062,0.6337472793016061,0.6949066493016061
2007,0.8251416197541062,0.4358587121141062,0.49655501211410624
2008,0.9433667174103562,0.5514394497703563,0.6174244797703563
2009,0.9271924010041062,0.5367316433641061,0.5997836833641061
2010,0.9114453306916062,0.5212150730516063,0.5838059730516063
