method_name,method_class,c/r,#q<0.1,#q<0.5,100bias,100log-l,75RMS,Edyrs15,Edyrs20,EdyrsA,Fdyrs15,Fdyrs20,Mdyrs15,Mdyrs20,RMSyrsA,avg_unc.(1se),bias,bias50,e100bias,e100log-l,e75RMS,eEdyrs15,eEdyrs20,eEdyrsA,eFdyrs15,eFdyrs20,eMdyrs15,eMdyrs20,eRMSyrsA,ebias50,el15,el20,l15,l20,log-likeli,ncEdyrs,nceEdyrs,q_min,q_small5,smooth_r,tlog-l,RMS,100RMS,e100RMS
GWI_anthro_AR6,43/3_Human_Induced,c,0.14,9.5,-0.011529218873781057,144.11126365368415,0.046003679974680745,2.995000000149357,-1.0,3.0452023810886883,2.995000000149357,-1.0,2.995000000149357,-1.0,5.250665158687034,0.047729645021717185,-0.008494478106251542,0.011516393911768858,-0.011529218873781085,140.29569724947407,0.04244501447609034,3.5050000001488026,-1.0,2.9645833334698244,3.5050000001488026,-1.0,3.5050000001488026,-1.0,3.920138888932682,0.01151639391176884,6.062796900481812,0.0,5.974635944758342,0.0,1.6249382803529844,5.8,5.88,0.6246188265941403,0.630033575571765,1.1519,229.1162975297708,0.04807683910384439,0.04933054097046054,0.05164083951218642
GWI_tot_AR6,43/3_Human_Induced,c,2.6,17.44,-0.010747458091248784,150.53019984535456,0.042845138813263524,3.0991666668159223,-1.0,2.689247354633896,3.0800000001492753,-1.0,3.1183333334825694,-1.0,4.970442873052094,0.0460450861912158,-0.009091798212816115,0.010741836632861485,-0.010747458091248822,131.93281906108444,0.04420634633314266,3.6091666668153675,-1.0,2.6548148149511097,3.5900000001487204,-1.0,3.6283333334820145,-1.0,4.207592592641397,0.010741836632861467,5.902890227513119,0.0,6.322183044555469,0.0,1.5019814762473214,6.004,6.104,0.296321551042757,0.35975655319606903,1.2498,211.77938815087234,0.05136733454171049,0.045468508224923834,0.05472577344068727
GWI_anthro_SR15,43/3_Human_Induced,c,0.2,11.72,0.00613516035826505,147.81396255677106,0.040347753481614124,1.015000000151149,-1.0,0.924440476323444,1.015000000151149,-1.0,1.015000000151149,-1.0,6.773947346264816,0.054436844224938295,0.010395477725239487,-0.006120599512278684,0.006135160358265029,143.9220623748917,0.03647836722316332,1.5250000001505941,-1.0,0.9554166667992736,1.5250000001505941,-1.0,1.5250000001505941,-1.0,4.1456944444545805,-0.0061205995122787,6.514113611200982,0.0,6.886014225762321,0.0,1.5323088501342113,5.7,5.76,0.6772196672344863,0.6949063759143397,1.4594,216.0555478689238,0.053395525961823606,0.04658562228958563,0.05005788643276716
GWI_anthro,43/3_Human_Induced,c,0.12,13.9,0.006089229812754699,147.53041016329135,0.040011311799778425,1.3391666668175322,-1.0,0.9514603175937169,1.3166666668175548,-1.0,1.3166666668175548,-1.0,6.722242497643585,0.055211843554085316,0.012915105368009525,-0.00612267934172625,0.00608922981275469,143.80490039877012,0.035888761869830546,1.8491666668169773,-1.0,0.9570833334664219,1.8266666668170002,-1.0,1.8266666668170002,-1.0,4.094861111121781,-0.006122679341726266,6.505047297486522,0.0,6.814832699503729,0.0,1.5000996150688917,5.704,5.763999999999999,0.6567765266887312,0.6789870845668059,1.53846,211.51404572471372,0.05568514084813481,0.047115180109726845,0.050445497716776685
GWI_anthro_CGWL,43/3_Human_Induced,c,0.14,17.74,0.007678929982681016,145.3481469759757,0.04008962006395698,1.5733333334840063,-1.0,1.0423121694464728,1.5733333334840063,-1.0,1.5733333334840063,-1.0,6.893680370514314,0.056685811854951966,0.017365171614612526,-0.007691567804570578,0.007678929982681,141.81496832207458,0.03594516399849038,2.0833333334834516,-1.0,1.045324074206132,2.0833333334834516,-1.0,2.0833333334834516,-1.0,4.303379629639154,-0.007691567804570598,6.450001273258157,0.0,6.738156159519236,0.0,1.4372442818765965,5.76,5.72,0.6349756055171664,0.6549994374222097,1.6811,202.6514437446001,0.06037662300395102,0.04897633970519184,0.052189959372975436
GWI_tot,43/3_Human_Induced,c,1.82,15.04,0.008787111780120475,147.57424634524207,0.03805616428794251,1.9091666668170182,-1.0,0.8154603175942969,1.7816666668171366,-1.0,2.0366666668169002,-1.0,6.758419659429502,0.054479999362536266,0.009127245894636067,-0.008790000840817186,0.008787111780120474,131.98367847779485,0.03967164644672712,2.4191666668164635,-1.0,0.9419444445770776,2.2916666668165817,-1.0,2.423333333483124,-1.0,4.323611111122046,-0.008790000840817196,6.2066529282511,0.0,6.739822559438444,0.0,1.411276011468718,5.936,5.976,0.2536772844796395,0.45120260151453684,2.56286,198.98991761708922,0.06115347929805953,0.0487045846796379,0.05821548110343203
GWI_tot_SR15,43/3_Human_Induced,c,0.84,9.58,0.009157419521039337,148.4651822084623,0.03799650857229867,1.6533333334839426,-1.0,0.7243452382283466,1.6533333334839426,-1.0,1.6533333334839426,-1.0,7.0975692957847025,0.05315361306143374,0.006119093023864648,-0.009156752547470892,0.009157419521039326,132.57645488940406,0.03966216790096176,2.1633333334833877,-1.0,0.8141666667984638,2.1633333334833877,-1.0,2.1633333334833877,-1.0,4.450277777782867,-0.009156752547470918,6.343199533847173,0.0,6.944088993305655,0.0,1.504703369218993,5.78,5.8,0.47165128466373907,0.5755692852032905,1.6582,212.163175059878,0.05395888759635191,0.04801307131192483,0.05777488027593692
GWI_tot_CGWL,43/3_Human_Induced,c,0.44,7.98,0.008921746683894208,148.46197142990056,0.03761039023531762,1.7783333334838154,-1.0,0.6807976191831908,1.7783333334838154,-1.0,1.7783333334838154,-1.0,6.63800353021719,0.05533165201599389,0.013955178654624114,-0.008929248104441092,0.00892174668389421,132.98249126389533,0.03914515156681824,2.2883333334832603,-1.0,0.7833333334651527,2.2883333334832603,-1.0,2.2883333334832603,-1.0,4.353055555560727,-0.008929248104441106,6.30489884020726,0.0,6.8892545398015725,0.0,1.5404632692348228,5.74,5.66,0.7478367301558886,0.762071580861663,1.72474,217.20532096211002,0.05294527358491117,0.04771741322925911,0.05739456837377988
EBMKF_ta4,43/2_Kalman,c,47.24,98.24,0.02821348692757113,-33.223307044018355,0.03827255990905918,-2.046666666512698,-1.0,-2.40930952366425,-3.518333333178034,-1.0,-1.6033333331797803,-1.0,3.835127441019198,0.03691956466616195,0.013166001218050321,0.011571861309552582,0.028213486927571134,-203.51697706032323,0.04953687406786547,-1.7438333331797324,-1.0,-2.0877083331889086,-3.008333333178589,-1.0,-1.6083333331798713,-1.0,3.37065277770488,0.011571861309552582,6.6217278035961975,0.0,9.800986382987405,0.0,0.5913798299373092,7.997999999999999,8.154,0.033911825860971544,0.07589289889227357,2.43618,136.60874071551842,0.044279454676153435,0.044847909704695314,0.058391644270886216
FaIR_comb_unB,43/1_ERF_FaIR,c,0.0,0.0,-0.0037236734757004003,135.79795902485105,0.04868331593597694,0.6863888890374862,-1.0,0.9945178572717416,0.15666666681556315,-1.0,0.6416666668151175,-1.0,7.902627723733926,0.07011439050203702,-0.013762438989949263,-0.0346721057810253,-0.0037236734757004407,125.28054250833253,0.05606437173990337,0.707222222368411,-1.0,0.7785879630910689,0.030000000146437777,-1.0,0.5900000001459285,-1.0,3.6936342592785354,-0.03467210578102535,4.536417166392751,0.0,4.9009276032685705,0.0,1.5022906129925213,5.872000000000001,5.928,0.97450683316434,0.97450683316434,2.02112,235.85962623982584,0.04814599451665273,0.04733810090416292,0.058575551246583785
