method_name,method_class,c/r,#q<0.1,#q<0.5,100bias,100log-l,Edyrs15,Edyrs20,EdyrsA,Fdyrs15,Fdyrs20,Mdyrs15,Mdyrs20,RMSyrsA,avg_unc.(1se),bias,bias50,e100bias,e100log-l,eEdyrs15,eEdyrs20,eEdyrsA,eFdyrs15,eFdyrs20,eMdyrs15,eMdyrs20,eRMSyrsA,ebias50,el15,el20,l15,l20,log-likeli,ncEdyrs,nceEdyrs,q_min,q_small5,smooth_r,tlog-l,RMS,100RMS,75RMS,e100RMS,e75RMS
GWI_tot_CGWL,43/3_Human_Induced,c,6.88,32.04,-0.00017155983109631192,129.83457588239565,-0.3874999998549856,-0.2433333331627637,-0.10842948701662936,-0.7149999998546854,-0.2433333331627637,-0.5083333331882068,-0.2433333331627637,3.267438111840063,0.060503714050654134,0.017855941031155575,0.00015474094650549553,0.0012767741377342173,60.24629008768183,-0.16583333318844784,-0.1949999998354906,-0.3393376066779441,-0.49333333318814765,-0.3949999998354906,0.16166666681125208,-0.3949999998354906,2.754893162358944,0.004101651486768408,4.452460680214775,3.9965571173472627,5.371845414504753,6.5363604102588075,1.079810618154873,13.512,13.392000000000001,0.18406879338036108,0.2184291471741063,2.54002,151.17348654168222,0.07763018158799778,0.05942968053471997,0.054296188084179464,0.08265684597681155,0.08367206156193888
Kal_flexLin,42/5_Kalman,c,6.66,18.78,0.00767633434408314,94.00188905487788,0.7144444445884482,-0.6577777776072253,-0.23950903247192962,-1.1666666665209549,-1.2649999998295334,1.2500000001435227,-0.9299999998298426,2.6148565479816694,0.0519371048752934,-0.0008443890864591083,0.0171728454390211,0.009124668312913711,-90.29145248254461,0.7611111112551453,-0.7977777776098174,-0.4096794870203789,-0.9449999998544172,-1.1699999998316981,2.2766666668093145,-0.5966666664988862,3.0419444444036903,0.021119755979284047,4.4126953401981295,2.7679389534597747,5.8748664294489155,5.14417630012502,1.3853499635858446,15.937999999999999,15.654000000000002,0.39578650438116314,0.44801973163577047,5.01108,318.6304916247443,0.058474357049944775,0.07072954580817924,0.07234236287964226,0.12232948126696792,0.1273047051410509
FaIR_comb_unB,43/1_ERF_FaIR,c,53.6,82.36,-0.009309459745890697,109.02618781303718,-1.2380555554097814,2.2375000001675924,0.9383822891681217,-2.274999999853285,1.7316666668342622,-1.2499999998542126,2.2466666668337893,4.363853249868179,0.0773909535012232,-0.09195350389860862,-0.03704266816261503,-0.007861125777060173,75.72570790504335,-1.0163888887432433,2.2363888890540937,0.764059829216339,-2.053333333186747,1.826666666832243,-0.0999999998551904,2.5350000001649367,2.981837606832181,-0.03309575762235212,3.1311382287670493,3.3700747992892666,3.9775896975241922,3.788308318655981,-0.3795261895476241,14.914000000000001,14.734000000000002,0.006756143503006843,0.007201939741452472,4.01918,-59.20608556942936,0.14788232882585214,0.07024726852063384,0.07551506097033223,0.09255476971309899,0.09523175755623649
GAM_AR1,42/4_GAM_AR1,c,79.76,114.02,0.007543246006645472,119.65265030714565,0.21000000014445658,-0.48458333316292285,-0.09458109004378759,-0.9099999998545217,-1.1349999998295335,0.07333333347791729,-0.9066666664964032,2.745199441190193,0.051417999638226915,-0.08278500724617403,0.01386137379016055,0.008991579975476035,24.335440314321037,0.4316666668109944,-0.4424999998323695,-0.2351816237723649,-0.688333333187984,-1.0399999998318252,1.4850000001433636,-0.27333333316585595,3.2218910256001827,0.017808284330423488,4.197400669736469,2.6871664381777873,5.389763553588589,4.899092838472503,-6.150616454640243,16.66,16.4,2.3373474577726077e-27,9.521544184618669e-21,7.6255,-1297.780071929091,0.14875008780832918,0.0643715366196422,0.06458608057103875,0.11394446784753369,0.11720376297233127
EBMKF_ta4,43/2_Kalman,c,48.96,92.86,0.010833051218873511,-169.73833963453018,0.5350000001441731,-0.6616666664963213,-0.2011933204058187,-0.08833333318858878,-1.1133333331632003,0.7733333334772897,-0.6633333331636004,2.3117778864822087,0.0360036395722507,0.017118685662847563,0.01020620014179977,0.012281385187704044,-880.0432507092377,0.7566666668107109,-0.7933333331653739,-0.47747863231867116,0.13333333347794907,-1.0183333331651738,1.3050000001435456,-0.6866666664988043,2.5412820512484533,0.014153110682062688,7.314652190850592,2.0874611981130267,10.352084729988034,9.647319348528152,-0.08455989736796511,14.9,14.78,0.041682871938995086,0.06117676011951354,2.7439999999999998,-19.44877639463199,0.049183189905471894,0.05538484554532032,0.05557198246858831,0.09206182610298128,0.09492022297931807
Kalman_RW,42/5_Kalman,c,5.04,17.06,-0.039838742125373645,80.62765826803826,3.608333333474681,1.9408333335014958,2.4627764135621337,1.7083333334763984,0.8650000001685476,5.115000000139985,2.3266666668338805,3.5665326670179653,0.0539387215698528,-0.02346203961949358,-0.028940968839759454,-0.038390408156543133,-54.559026184033165,3.554722222363692,1.8175000001656008,2.214893162550812,1.9300000001429363,0.960000000166383,5.163333333473347,2.530000000164955,3.0863888889439552,-0.02499405829949657,4.4082111095784455,4.342391643365372,3.6147673656806147,4.188007211505187,1.2916605341994256,16.796,16.51,0.31358080250658965,0.39906827930499617,6.6243799999999995,297.08192286586785,0.06388510638945982,0.07902381029184176,0.07757089652065156,0.12150660584152723,0.12419174014117242
GWI_tot_SR15,43/3_Human_Induced,c,11.7,45.66,-0.004004656160073287,98.7097602703361,0.8425000001438957,-0.8841666664964396,-0.001587417050076767,-0.803333333187934,-1.6249999998301063,1.1650000001435956,-1.239999999830452,3.3019358447802527,0.05474449592371714,0.01208603964997811,0.003992601368344979,-0.0025563221912427696,22.035158288763714,0.8933333334772579,-1.2158333331650102,-0.33025641009648793,-0.5816666665213961,-1.5299999998313887,2.3683333334759116,-0.9016666664986315,2.6723076922739915,0.007939511908607888,4.270992983216647,3.420346244576141,5.407064809171394,5.761533710970006,0.9452117045598495,14.495999999999999,14.352,0.16336739272942577,0.19408549118208704,2.25496,132.32963863837892,0.07659628874440043,0.072798834959998,0.07142531589577518,0.10584089317358643,0.10878880443174464
GWI_tot,43/3_Human_Induced,c,11.3,43.34,-0.0030575035897156253,103.70512182673657,1.1966666668102062,-0.5877777776073807,0.5033838154211812,-0.7516666665213643,-1.6166666664967397,2.106666666809383,-0.5916666664957211,3.7231153915842334,0.05713331917989099,0.014319080155839022,0.00305154806719421,-0.001609169620885104,61.17597542824567,1.2936111112546345,-0.9041666664986019,0.07397435913415076,-0.5299999998548265,-1.5216666664980403,3.053333333475266,-0.29166666649915896,2.9899999999916425,0.006998458607457121,4.406647953962122,4.00921813564633,5.149684465419785,6.028817711582693,0.939429357780821,15.728,15.386,0.1624581162096999,0.2080428040225378,3.5390800000000002,131.52011008931495,0.0830868012624917,0.07806181967325937,0.07640434262705698,0.10424645810933098,0.10665498325287955
GAM_AR0,42/4_GAM_AR1,c,95.3,146.62,0.0018621138916588666,75.63809646330282,0.07166666681124301,-0.2374999998296152,-0.01201132184879162,-1.376666666520764,-0.9283333331629092,0.2416666668110838,-0.4099999998300518,2.8990588535836537,0.0482894926696424,-0.08132662386205229,-0.0013754905416232038,0.0033104478604894134,-107.3563899519107,0.12166666681127027,-0.35999999983247105,-0.20399572633635754,-1.1549999998542262,-0.833333333165374,1.3983333334767667,-0.3149999998325166,3.0098290597947086,0.0025714199986396954,4.5212083247491055,2.9851577356214056,5.963571083699625,4.472792067990867,-1.7476841525934064,15.312000000000001,15.128,1.3740071216468715e-07,3.0403966349645795e-06,6.57294,-368.7613561972087,0.14720370894079496,0.07733403589482879,0.07944860965003844,0.127442304247524,0.13156841615455078
removeGreensfx,42/6_Remove_IV,c,7.58,29.7,-0.02851376117138043,65.19296528660469,2.131527777920476,1.6854166668356105,1.8932342543330847,-0.40999999985498564,-0.8816666664966032,4.186666666807492,2.8516666668344985,3.3808235605678463,0.06,-0.02380262853892008,-0.02230914735794066,-0.027065427202549917,-46.28154856290079,2.133194444587213,1.4784722223881053,1.600963675372123,-0.1883333331884478,-0.7866666664987042,2.8550000001420996,1.9733333334987764,2.7343952992008607,-0.018362236817677777,3.9088718425649365,3.3671381075446103,3.6106825698772287,3.9731776308936877,0.7842630125551625,25.92,25.496,0.11484669909362902,0.18784038723886204,18.8235,86.26893138106787,0.08940640934072591,0.09146672663015269,0.09036287951766366,0.13184963025582333,0.13457112706810614
