experiment,approach,firstcross1,firstcross2,firstcross5,kl,kl75,ncrosses,rmse,rmse75
fut_ESM1-2-LR_SSP126_constVolc,inverse_variance,0.21161932405351697,0.40396595365675125,0.7686542758514316,0.6373465083374944,0.5254906243488215,1.54,0.04145504849673148,0.035818757452349706
fut_ESM1-2-LR_SSP126_constVolc,sharpened_blended,0.16500835590663115,0.3205249570997536,0.6773886214936415,0.7231296273062796,0.6526201833221131,1.0,0.04792482608625392,0.039585073275757984
fut_ESM1-2-LR_SSP245_constVolc,inverse_variance,0.5097468204210964,0.8099619353641153,0.9874627466514986,0.5641557114118267,0.390926635540979,1.02,0.03961948429459333,0.032487978546580594
fut_ESM1-2-LR_SSP245_constVolc,sharpened_blended,0.3227230516029373,0.6096322553590835,0.9255053073199216,0.7124230799996373,0.6101315063587873,1.0,0.05145776150735739,0.03995214586893902
fut_ESM1-2-LR_SSP370_constVolc,inverse_variance,0.6416746820533934,0.9213419209881429,0.9999999999221157,0.5825724206580637,0.3647193832321672,1.06,0.03914618515574184,0.029479803361305613
fut_ESM1-2-LR_SSP370_constVolc,sharpened_blended,0.15367961044827122,0.3415003678563973,0.8241036601137698,0.7552522004558466,0.655282283384844,1.0,0.06823376713910545,0.057310887082711356
fut_NorESM_RCP45_Volc,inverse_variance,0.3531681312664519,0.6299122121283065,0.9210455902350463,0.6947088082039922,0.6525949915723315,1.1166666666666667,0.05963943263551391,0.06008992760626629
fut_NorESM_RCP45_Volc,sharpened_blended,0.24172655046852526,0.4595171734927036,0.8419727296761972,0.7888505233907531,0.7303892821562696,1.05,0.06006930626852952,0.05574964058053757
fut_NorESM_RCP45_VolcConst,inverse_variance,0.4993499616254357,0.8518437409296452,0.9999941955351869,0.5723066360907727,0.4247043184674016,1.0,0.029102690918756155,0.02491469217493917
fut_NorESM_RCP45_VolcConst,sharpened_blended,0.34149028921088165,0.6349703821906448,0.9887736478686004,0.7329833162650675,0.6744859536008166,1.0,0.04796279924289258,0.04245127426406128
