method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6
30y_etrend,42/3_ST_Fits,c,2.991,0.043342639290433235,32,0,0.15065478120094122,0.15932809832286876,1.4507783528236102,0.053228581915874144,-0.0018149278494928934,307.5650107986054,124.2556497736052,6.0311616434082005,0.9249918635616772,0.020670070359784028,0,0
lowess1dg20wnc,42/3_ST_Fits,c,3.219,0.0972810669561788,6,1,0.019505978733765462,0.474841910545959,1.2735512354491494,0.05119599905583855,-0.0018211958167149214,294.1903353887535,79.2612500873602,5.468493586283045,2.695480331203441,0.02460094690322876,0,0
lag10y,42/1_Run_Means,c,2.882,0.03778730451408926,121,21,4.908423344767099e-07,0.001150619676190245,1.0703213168588213,0.061288548838925004,-0.03201689312218898,247.2442241943877,70.00081151529943,4.449469592553565,9.648232544062415,0.0015641987323760987,0,0
butterworth,42/2_LT_Fits,c,9.281,0.1326134073749791,1,0,0.4883718635796995,0.9996816966325888,0.9924558017955474,0.06757698470805414,-0.022084523398426478,140.92872385496773,86.1919474273055,3.611165343634282,2.25680983094754,-0.009226656240841125,0,0
30y_etrend3CS,42/3_ST_Fits,c,3.345,0.043342639290433235,60,27,0.0013937803623465326,0.0021660629012961417,0.9919313075913552,0.07180947840498364,-0.022142545759004945,210.2894372093673,35.87755489444427,6.0311616434082005,0.031075549352524393,0.020670070359784028,0,0
15y_etrend,42/3_ST_Fits,c,6.11,0.05643071565496391,52,11,0.00032566425235466866,0.01269909421097821,0.9724735111324966,0.07619549086548956,-0.0002975335522373925,220.75148702707673,64.29595603557885,6.359689105465406,4.729506950143559,0.012779741287231677,0,0
lowess1dt30wnc,42/3_ST_Fits,c,4.509,0.13142556760219798,15,3,0.014971021577936049,0.15841647940841005,0.9596926104668281,0.06313450271333772,-0.0009452396716763269,221.68899301783728,46.34184599003682,4.579956260784377,2.4669746542215174,0.013163411617279052,0,0
raw1y,42/1_Run_Means,c,31.193,0.12629391644884297,0,0,0.9012842156133593,0.9012842156133593,0.705878676290929,0.11707670665103045,-0.00046406933008209355,163.0579742232046,55.40934351456783,3.3458161950275693,3.2406988763387736,0.01251947283744812,0,0
lowess1dt20wAR,42/3_ST_Fits,c,6.48,0.1133861850891998,33,15,2.052989885005355e-06,0.004663687666449159,0.7020846747721378,0.07794995254540425,-0.0005838153426468905,162.18155987236383,50.61834012025503,4.379591825392811,3.7402403336048624,0.00936989188194275,0,0
lowess1dt20wnc,42/3_ST_Fits,c,6.48,0.1696486821127755,11,6,0.0014292885489891156,0.06768160105625698,0.6899144523418563,0.07794995254540425,-0.0005838153426468905,159.3702384909688,22.298060690692655,3.359690321235641,2.551543529415697,0.00936989188194275,0,0
lowess1dt20wARMA,42/3_ST_Fits,c,6.562,0.13553831068199138,20,8,9.099345924002834e-06,0.01122018505779561,0.6883655310589721,0.07972076356742573,0.0008105009889092158,148.68695470873797,43.67067530968295,4.050607368600217,3.3829880240104497,0.00936989188194275,0,0
lowess1dt10wnc,42/3_ST_Fits,c,12.227,0.24109184295089253,12,1,0.04176863268124965,0.15003753280250495,0.4595206908570972,0.09844534724371955,-0.0011994614296348854,106.14927958798945,-7.903836367102402,2.4132068302964,1.4449384787119313,0.006253793835639954,0,0
lowess2dt20wnc,42/3_ST_Fits,c,12.178,0.22368617910092417,14,6,0.029268465094323293,0.07282129911868132,0.4555839268014696,0.10169827182362227,-0.0012719528120892017,105.23988709113948,-0.8263832721274467,2.553896227300961,1.695131203403141,0.004503878951072693,0,0
lag5y,42/1_Run_Means,c,5.541,0.04656191139424245,76,20,5.181761572785491e-50,6.761889685861065e-05,0.3842133017332155,0.06679184607669707,-0.014820754191020778,88.75327270037278,-76.53897136660702,5.511909653448135,6.565679081611416,0.00246865451335907,0,0
quartic,42/2_LT_Fits,c,3.193,0.05057355787389479,100,29,1.1693217368647987e-05,0.014708703901628276,0.3690235603465633,0.08923147405549844,0.030703849586818245,52.03232200886543,-22.388495635635564,6.535630925241447,0.4763395116648171,0.030611156579851685,0,0
11y_offset,42/3_ST_Fits,c,2.659,0.03664675243300222,200,136,4.625843925648215e-11,8.689985959954511e-10,-1.425071035827788,0.09136362097626805,0.0743891761452514,-329.191409276219,-128.21651156076481,6.3074347696394275,0.44595383095446217,0.11027716100215912,0,0
Bayes_seq_CP,42/2_LT_Fits,c,2.553,0.03516551485148515,88,48,8.439914904050333e-31,1.6303713190573962e-12,-1.6014863048796009,0.07539227325503105,-0.010326100982894507,-307.48537053688335,-17.64739375387145,0.0003448837743275345,4.221394184914247,0.06154116839408873,0,0
hinge75meet,42/2_LT_Fits,c,1.862,0.06262840895152225,84,48,1.4043548591508404e-07,3.150638432294033e-07,-1.7314011658929955,0.1743651353374808,0.10117315424232319,-270.0985818793073,-360.62518983877953,3.2906695827333987,3.285202870835254,0.31520499584574485,0,0
opt_clim_norm,42/3_ST_Fits,c,10.77,0.04262068132707129,85,41,1.303776158237282e-240,2.13330335885612e-06,-2.707229489587896,0.0703491706058714,-0.01601360413338208,-625.370012094804,-688.247699075116,7.1417871878212855,8.24658024977575,0.001752176880836487,0,0
OLS_hinge75,42/2_LT_Fits,c,2.256,0.036275753572778575,125,69,5.0083095818409585e-19,1.2053875819385347e-16,-5.1709998086151705,0.13266171701380358,0.07836989257076776,-806.6759701439667,-893.2452222878823,3.804501583731229,1.3642590196832947,0.2345462172809535,0,0
TheilSen_h7075,42/2_LT_Fits,c,2.478,0.03705123664928177,114,89,2.961869604616117e-33,2.0228004330102866e-32,-12.955482567668886,0.18927792877842933,0.09025118106723358,-2021.0552805563461,-2112.468532461653,6.185090139092106,5.580863143936653,0.33932012436236986,0,0
OLS_refit,42/2_LT_Fits,c,0.803,0.028213536687089317,133,109,9.068890821025162e-25,1.904902280664874e-22,-13.385785558002752,0.1638391894712709,-0.07444330541943711,-1887.395763678388,-1468.1226398149183,0.13152772820513348,5.525038466961214e-11,0.07652989762245568,0,0
