method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
EBMKF_ta4,43/2_Kalman,c,3.5087200000000003,0.07946052319891182,0.0,0.0,0.9928162763807871,0.9944000881952638,1.5283765134885587,0.043983925399177275,-0.0186986150650585,353.0549746158571,139.24421127761698,0.04428697716087676,-0.015454017883326605,4.876130950946239,5.08343116658592,-0.017252710571912754,1.1308333334756662,0.4200000001583385,1.120000000142345,0.4200000001583385,1.081666666809042,0.4200000001583385,0.5624431820003029,1.3906791603901238,24.068,122.08038840905006,0.059455088393203515,-0.015454017883326619,4.3124616621453065,4.543614212020958,-0.017252710571912782,1.1008333334760936,0.40500000015868864,1.0516666668094694,0.40500000015868864,1.0516666668094694,0.40500000015868864,0.54489130452908,1.2632971015070706,23.588
Kal_flexLin,42/5_Kalman,c,4.6412,0.0519255825811747,9.22,0.72,0.38459364850064887,0.5515170782558411,1.5401484359440645,0.051451602432573365,-0.009860606663294214,355.77428870307887,153.7477248807639,0.04289523265910741,-0.009771666804916528,5.542657437146215,6.4881686556963425,-0.010418034344217541,1.1350000001423768,0.43916666682499456,1.4266666668087782,0.49166666682494453,0.8433333334759755,0.3866666668250446,0.3932082603196356,1.3038555619389824,24.691999999999997,108.70907361917666,0.06319707860069322,-0.009771666804916583,4.696822124955091,5.430130611128935,-0.01041803434421761,1.1050000001428044,0.4241666668253447,1.0733333334761666,0.43500000015867046,0.8133333334764029,0.37166666682539473,0.390350241727062,1.0045048309393285,24.212
etrend30y,42/3_ST_Fits,c,2.95574,0.0439539142887638,36.66,4.74,0.16603628043554228,0.20299609800986482,1.4293501116000717,0.05370487431393751,-0.014729373602650747,303.02222365921523,147.59946028345638,0.0454865738489819,-0.01637323584787293,5.089967748806914,5.9817240509303815,-0.015202066912958431,1.793333333475116,0.7066666668247262,1.8083333334751024,0.7066666668247262,1.7783333334751297,0.7066666668247262,0.5255861607002337,1.5186641167062405,23.724,88.48190654965678,0.06369389186025452,-0.016373235847872977,4.5112746097524665,5.869965475977276,-0.0152020669129585,1.7633333334755434,0.6916666668250764,1.7783333334755298,0.6916666668250764,1.748333333475557,0.6916666668250764,0.5228864736111073,1.0007850242050766,23.264
GAM_AR1,42/4_GAM_AR1,c,6.183,0.05347522232088732,33.32,11.22,0.06667822815721569,0.11332442884263112,1.1245921935061949,0.06319376625926451,-0.02850163073733535,238.41354502331333,135.77692230142432,0.05103819311738432,-0.02961208508269778,4.717847152775113,4.777501484099808,-0.026970475403751457,1.5308333334753614,1.1808333334909822,1.5866666668086418,1.2366666668242623,1.4166666668087964,1.1250000001577019,0.8948676989082966,1.4119952572301864,25.256,106.79988696323242,0.0669575017207787,-0.029612085082697814,4.326097248029222,4.668822555992444,-0.02697047540375151,1.500833333475789,1.1658333334913322,1.4883333334757936,1.2216666668246126,1.3866666668092238,1.110000000158052,0.889106280374277,1.179903381714675,24.756
GAM_AR0,42/4_GAM_AR1,c,5.40168,0.04992331061022953,40.08,8.74,0.040577407160483955,0.1252183847541658,1.1934335463478867,0.06734233942491671,-0.012922572496880573,253.007911825752,149.94066071949422,0.04485999432633572,-0.014040705730539536,5.240216167290566,6.3880481585994815,-0.016111453530278243,1.4850000001420904,0.40000000015835213,1.5116666668087329,0.34833333349173246,1.458333333475448,0.34833333349173246,0.5119727164755733,1.4619080661411974,24.184,95.9238056878469,0.06517490469728335,-0.014040705730539576,4.482538314014,5.32756261279468,-0.016111453530278305,1.4550000001425178,0.38500000015870234,1.4816666668091603,0.33333333349208266,1.4283333334758754,0.33333333349208266,0.5014251209542805,1.0944202898982243,23.724
offset11y,42/3_ST_Fits,c,2.6407800000000003,0.04054443095797348,168.64,85.34,2.236842062227236e-05,6.692775515000637e-05,-0.3243665878069147,0.08267849932569567,0.03625186097523549,-74.92868178339731,118.32742019066991,0.05594054669277671,-0.03343171344863039,7.050345210876182,5.263416757556187,-0.06479808026552196,1.1050000001424087,1.543333333490632,1.1050000001424087,1.543333333490632,1.1050000001424087,1.543333333490632,1.3550418589879214,1.8812130154848261,23.74,51.855115563697666,0.06916806706503781,-0.03343171344863041,5.684969393185522,5.624346923774981,-0.064798080265522,1.0750000001428361,1.528333333490982,1.0750000001428361,1.528333333490982,1.0750000001428361,1.528333333490982,1.328876811775807,1.4438043479639557,23.28
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,6.1451400000000005,0.056039179002358115,0.04,0.0,0.9493795550692429,0.963789647346834,1.5545956515095583,0.04968758077436394,0.014253267691514129,342.0110433321029,123.21320833465188,0.058163971575793526,0.03882578028873959,4.928376741569114,4.694657329817903,0.06080168755430919,-0.15166666652310595,-1.0899999998403063,-0.13166666652312414,-1.2499999998401699,-0.38333333318956647,-1.2499999998401699,-1.3102532341539068,1.8066982299069598,27.031999999999996,98.72973306290197,0.07332603978686843,0.03882578028873959,4.264297055230455,3.893310634928144,0.060801687554309175,-0.18166666652267846,-1.1049999998399562,-0.3133333331892299,-1.2649999998398198,-0.413333333189139,-1.2649999998398198,-1.3180978259055933,1.5005374394755273,26.511999999999997
etrend15y,42/3_ST_Fits,c,5.689080000000001,0.05831653642004353,29.44,5.34,0.11142836972990654,0.22532978256444952,1.1824755297809304,0.06593521512837476,-0.0054689358470060255,268.42194526027123,127.3040736075214,0.0559211078408087,-0.002450158611933352,4.653689880073271,5.530185022072569,-0.00474357897043221,0.6766666668094513,0.21583333349185976,0.7283333334760755,0.18833333349188705,0.3350000001430908,0.09000000015863863,0.19459573104144184,1.4823916710699518,26.055999999999997,82.69385386612488,0.07526331779039945,-0.0024501586119334,4.348387565869306,4.489546334849163,-0.004743578970432269,0.6466666668098787,0.2008333334922099,0.6316666668098969,0.07500000015898874,0.30500000014351825,0.07500000015898874,0.19044686008464992,0.9648913043402294,25.596
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,3.01436,0.057936933831565715,0.06,0.02,0.9105606645822426,0.9522221905091065,1.5159223504345087,0.051322288480498045,0.01567430486101556,333.5029170955919,120.41970301748538,0.05957113786478072,0.04288382314822886,4.89206011851619,4.811283290234215,0.0693171420222834,-0.23166666652306503,-0.9416666665070852,-0.23333333318973018,-0.9416666665070852,-0.29666666652300594,-0.9416666665070852,-1.475667819317195,2.0233916852451066,24.096,97.61843200385196,0.07442781790699235,0.042883823148228854,4.333370223089766,3.836879637315966,0.06931714202228338,-0.2616666665226376,-0.956666666506735,-0.26333333318930274,-0.956666666506735,-0.3266666665225785,-0.956666666506735,-1.484094202717253,1.644528985362089,23.636
removeGreensfx,42/6_Remove_IV,c,14.300460000000001,0.06,65.64,4.96,0.0509311388728628,0.12645342429087017,0.9975916849231491,0.08021626739334874,-0.03189036298283559,230.44367921724745,78.93583286997277,0.0854924723424577,-0.0574695402251349,3.307558653163554,3.2712097356021403,-0.07197993093729015,2.2122222223636676,2.0400000001568457,2.9416666668074414,2.5583333334897045,1.440000000142154,1.4566666668240442,2.0468789115784385,2.4202587807508404,32.36,51.56978682150702,0.09493040004821637,-0.057469540225134924,3.1469427484755816,3.8250686173642867,-0.07197993093729017,2.182222222364095,2.0250000001571955,2.8800000001412265,2.5433333334900543,1.4100000001425814,1.4416666668243943,2.028134058151965,2.0638828504152222,31.74
