method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50
lowess1dt20wARMA,42/3_ST_Fits,c,6.906,0.06680789287618363,28,0,0.11047110568442027,0.14753488852924107,1.1475455857102193,0.06203908106519783,-0.0039526182030758935,160.6563819994307,114.10690637636746,3.9323087005209665,3.4977953349439717,-0.010270464554760552
cubic_spline,42/4_GAM_AR1,c,10.653,0.0772577310373409,0,0,0.6652088408635028,0.6652088408635028,1.1080330737367499,0.07935117313348672,-0.004662444489153781,149.58446495446123,108.7003308402433,1.8182905977775636,3.2985339680657826,-0.0038985383101823048
GWI_anthro,43/3_Human_Induced,c,3.293,0.09169007597491918,0,0,0.8404505152484743,0.8404505152484743,1.0961321429739872,0.08131345206362914,-0.011576924149445746,71.24858929330917,71.24858929330915,2.932541126423213,4.846502158101067,0.04250161003741669
FaIR_all,43/1_ERF_FaIR,c,5.173,0.11176324134632544,0,0,0.9965734638821369,0.9965734638821369,1.0413987031801522,0.08193218557969636,-0.019009609426234465,161.4167989929236,89.35249858101537,1.7311652387546075,3.010121812486865,-0.07158218052423101
eROF_anthro,43/3_Human_Induced,c,9.282,0.0954276050253925,2,0,0.1704912057436563,0.64678037748769,0.9952744366504498,0.07902397166017691,-0.013038902070446804,154.26753768081971,87.83794602004494,2.1678947183603383,2.407462801229438,-0.025632399699732765
KCC_human,43/3_Human_Induced,c,3.196,0.08950324441214312,7,0,0.4081444107963776,0.43378945745439335,0.9753907403807967,0.08203619787479902,-0.0393177256234889,111.19454440341082,81.97308598791064,4.1528479839920065,3.532563229192353,-0.024778763530002107
butterworth,42/2_LT_Fits,c,14.542,0.14896311355223354,0,0,0.9983926729452517,0.9983926729452517,0.9657283607441614,0.055863868128309783,-0.03450310661267951,63.73807180911465,63.73807180911466,3.1679757838600455,2.768702755839112,-0.038886487509998915
lowess1dt10wnc,42/3_ST_Fits,c,12.231,0.1131497317322824,2,1,0.027952526182695833,0.9727829208681067,0.9624872855316566,0.07805106263988279,-0.0055687436038456585,149.18552925740678,82.52231042733084,2.9121098819598483,1.7925028022484617,-0.010121974657769896
lowess2dt20wnc,42/3_ST_Fits,c,12.374,0.10409984488241018,1,0,0.12303164388016853,0.5349755873281288,0.9583773032503328,0.0796132513420655,-0.005460823945009577,148.54848200380158,84.98055577534689,2.935143297315723,2.069733237904044,-0.009714030604970135
eROF_tot,43/3_Human_Induced,c,9.246,0.13254755730231252,0,0,0.9977890232106927,0.9977890232106927,0.9422339427696909,0.07389281156576001,-0.0031409304397665115,146.04626112930208,80.11830403444391,1.7548267574636829,2.003777091449251,-0.03644662444318423
lfca_SST,42/6_Remove_IV,c,18.73,0.09104911858179741,0,0,0.5467413375419283,0.5467413375419283,0.9235587469802914,0.09799449679476167,-0.05227711720364617,69.26690602352186,69.26690602352184,1.435136650851845,1.22581243617247,-0.0999713698778553
raw1y,42/1_Run_Means,c,32.877,0.1116141019803759,0,0,0.7527761674575971,0.9499772368243653,0.8856410312288682,0.09798119623676635,-0.005375863666129036,137.27435984047457,82.7481011898104,2.9719229730492724,3.9506666749813424,-0.008887721356250008
KCC_all,43/3_Human_Induced,c,4.532,0.07595236900115854,55,3,0.0215391901336899,0.12522125034715892,0.8235519175133318,0.10753173455308519,0.04543340518763938,93.88491859651982,96.27671424559612,2.494514191660198,4.219573856455223,-0.002832468770628109
removeMEI_volc_refit,42/6_Remove_IV,c,48.132,0.1111792729670303,0,0,0.8343579847491376,0.8343579847491376,0.776279213141976,0.11095783211061606,-0.012090788998887478,89.27210951132724,70.20143299979318,0.9957631267724338,3.2646683876045537,0.004336640365764604
30y_etrend3CS,42/3_ST_Fits,c,3.593,0.037625851036391156,96,23,0.0014511731791526854,0.008306352906334405,0.7573432834968803,0.0647428501919396,-0.020464326514322513,102.99868655557572,33.55623014015115,5.230711935202027,0.02385339524091505,-0.0701290986232391
EBMKF_uf,43/2_Kalman,c,3.697,0.03921420912947642,105,40,2.2046931845784584e-06,0.00018553795037515867,0.5416099250599186,0.06412936827706567,0.006670684170221043,83.94953838428738,69.62230332054611,8.596110090332056,1.6297728578363246,0.009606634822903977
quartic,42/2_LT_Fits,c,4.077,0.05138715804702632,32,11,0.0006791924119849783,0.031478607418685196,0.5331435240898027,0.09906201730620368,-0.06506342240958501,34.654329065837175,34.65432906583718,1.353367438803316,10.266615433470022,-0.07650641896159313
lag10y,42/1_Run_Means,c,2.831,0.035299989664840464,97,34,2.6542327479518513e-10,0.0008461047634791805,0.4562716349801567,0.06086729783177992,-0.03262998901451612,70.72210342192429,-41.43393040349926,3.355277650659977,0.02555483594773253,-0.08824163805125
FaIR_anthro,43/1_ERF_FaIR,c,0.84,0.05668894630680655,120,46,0.004325676539728288,0.004325676539728288,0.2580913122455083,0.0994971606142082,-0.059156567661108744,40.00415339805379,-31.398214828260812,2.424403300200223,1.5465170046919223,-0.11146798359928307
removeMEI_cons,42/6_Remove_IV,c,23.633,0.08350979669544562,35,12,2.9531067146274145e-15,0.003827543107548865,0.1812218172660861,0.0818820920417115,0.005241933256993001,25.914719869050312,-25.736077807594384,6.416818001209317,4.928032882547533,-0.004902304686250013
Bayes_seq_CP,42/2_LT_Fits,c,3.712,0.03179360317460317,96,59,1.537917131726772e-08,8.138125980572592e-06,-0.8382556218862748,0.07876982659265426,-0.0338635200237069,-97.23765213880787,-84.73840960524579,0.6064417731765305,7.5468047998953045,-0.07105891815625003
11y_offset,42/3_ST_Fits,c,2.799,0.03429082408787797,113,83,4.45454947855423e-05,0.00018271516671631717,-0.9142645094163804,0.09200069516609254,0.07449719657434017,-141.71099895953895,-4.828350880889962,7.446388835468918,13.69193426752612,0.012827165548295449
OLS_refit,42/2_LT_Fits,c,1.126,0.028294769899769676,60,55,1.1131528711928531e-19,2.3122028195455048e-15,-9.295072937603072,0.13421684448415738,-0.0312510502596675,-604.1797409441997,-604.1797409441997,4.807083246993064,4.688289516892113e-13,-0.1209309362900733
opt_clim_norm,42/3_ST_Fits,c,17.76,0.04838679895914103,42,25,0.0,8.976240817029973e-17,-45.87299371909307,0.06533480822300797,0.00037386490689302423,-7110.314026459425,-6910.743510052718,4.7036692380679765,2.0277582694694214,0.010462319437083322
