method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0,#yrs
lowess1dt36wnc,42/3_ST_Fits,c,3.531,0.022440129,119,66,2.49E-16,4.99E-10,-0.825830401,0.051039528,-0.013187133,-128.0037121,-189.398069,8.057094495,21.25452086,-0.030487991,1.791666667,0.930555556,1986.541667,2011.708333,172
lowess2dt20wnc,42/3_ST_Fits,c,10.981,0.025307005,127,89,1.98E-43,5.01E-17,-3.925880123,0.076274974,-0.005553025,-608.5114191,-567.1450329,1.215866567,0.039923078,-0.008374659,3.875,2.604166667,1980.208333,2014.375,171
lowess2dt30wnc,42/3_ST_Fits,c,7.993,0.027786483,108,74,9.94E-16,9.18E-09,-1.224080289,0.068758377,-0.004791995,-189.7324448,-198.8943088,0.058523237,14.04378577,-0.004413332,4.333333333,2.444444444,1980.458333,2014.291667,172
min_month_proj,42/3_ST_Fits,c,12.509,0.169727695,0,0,0.997026501,0.997026501,0.793815136,0.094583027,0.021132734,115.8970098,90.64747651,2.817830102,4.024692208,0.022463619,2.666666667,2.305555556,1979.791667,2009.541667,156
opt_clim_norm,42/3_ST_Fits,c,12.051,0.039499305,69,31,9.90E-28,7.74E-16,-1.726194125,0.064683364,-0.021120966,-267.5600894,-290.6543846,4.732447076,2.54612878,-0.049165478,3.527777778,3.287037037,1980.541667,2013.791667,175
cubic_spline,42/4_GAM_AR1,c,10.653,0.077304993,0,0,0.666409872,0.666409872,1.118989128,0.079353029,-0.004663432,151.0635323,108.9816443,1.880940256,3.305503114,-0.003901871,5,3.520833333,1979.958333,2015.125,145
GAM_AR0,42/4_GAM_AR1,c,7.53,0.050236445,33,2,0.094511074,0.175075396,1.264683153,0.065212963,-0.006114778,171.9969088,130.2279177,7.825612993,8.574892127,-0.020230829,2.416666667,1.291666667,1982.875,2012.875,146
GAM_AR1,42/4_GAM_AR1,c,7.296,0.047163306,42,7,0.000720419,0.017956547,1.161070788,0.058100053,-0.012010381,157.9056272,129.0852737,7.009984811,7.330782737,-0.026399594,2.166666667,1.125,1986.375,2012.625,146
Kal_flexLin,42/5_Kalman,c,4.756,0.053176575,0,0,0.823231994,0.823231994,1.610069925,0.048133605,-0.009391398,249.5608384,143.6217559,8.050347431,7.834567359,-0.027071854,2.333333333,1.236111111,1986.541667,2012.791667,175
Kal_flexLin_ocn,42/5_Kalman,c,4.614,0.049139847,0,0,0.705942408,0.705942408,1.693188154,0.044235201,-0.004078251,262.4441638,145.3238875,8.072683832,8.657467477,-0.035716121,2,1.25,1986.875,2011.791667,175
Kalman_RW,42/5_Kalman,c,6.226,0.054360173,0,0,0.805837113,0.805837113,1.522794759,0.052772116,-0.022641372,236.0331876,130.1296206,6.77508394,3.025443466,-0.056860961,3.583333333,2.645833333,1987.291667,2014.541667,175
Kalman_RW_ocn,42/5_Kalman,c,6.356,0.051526721,0,0,0.814178327,0.814178327,1.582970721,0.0496874,-0.021708912,245.3604618,135.1482571,6.623448136,5.041518631,-0.055239835,3.458333333,2.381944444,1987.375,2014.208333,175
lfca_SST,42/6_Remove_IV,c,18.726,0.091049119,0,0,0.546741338,0.546741338,0.923526142,0.097997652,-0.052278895,69.26446063,69.26446063,1.435136651,1.225812436,-0.099974703,5.708333333,5.196759259,1989.208333,2014.708333,77
lfca_TAS,42/6_Remove_IV,c,16.792,0.067051232,0,0,0.707731972,0.77047808,1.265601457,0.068309834,-0.046478584,50.62405827,50.62405827,4.767074218,4.634553639,-0.046478584,2.875,2.5,1986.625,2013.791667,48
