method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0,#yrs,100#q<0.5
lag10y,42/1_Run_Means,c,2.831246699719887,0.08585732683812237,0,0,0.5710368424624849,0.9998210936109492,1.2226292796999096,0.06086923403561831,-0.03263084911129033,189.50753835348598,1.1079639548854094,3.1307065412475836,2.1424846958307837,-0.08824497092625,4.375000000007503,4.541666666673753,1987.624999999984,2015.7916666666479,166,0
lag5y,42/1_Run_Means,c,6.406702073142263,0.07068380459636989,0,0,0.6874266769624995,0.9993025998472354,1.3444201964925795,0.056289359122525466,-0.018023557195161292,208.38513045634983,1.3329444128078012,5.5619666614442815,4.936421256227209,-0.04483531313125001,3.791666666674587,2.5486111111200294,1982.5416666666551,2014.8749999999818,171,0
raw1y,42/1_Run_Means,c,32.86322697711695,0.10107703797821672,1,0,0.2909768807342454,0.8777785964352783,0.8982801229944948,0.09798169412379792,-0.00537672376290323,139.2334190641467,0.9285711950448856,3.075833659149058,4.347289746342569,-0.00889105423125001,3.052083333330529,3.256944444438284,1979.4583333333248,2009.5416666666533,175,0
raw1y,42/1_Run_Means,r,32.86322697711695,0.11157882177550715,0,0,0.7528214198307532,0.9484708997735222,0.8856346763125925,0.09798169412379792,-0.00537672376290323,137.27337482845184,0.9194135009771641,2.9719118893005674,3.950631491320962,-0.00889105423125001,0.0,0.0,0.0,0.0,175,0
cent10y,42/1_Run_Means,r,1.9122120827224878,0.030496751965403468,26,21,7.87342823508098e-06,0.001686083634468649,1.5507880448164415,0.02921637699928425,-0.002922691350000003,240.37214694654844,1.2696376469653905,0.058840513887418296,0.44617203548674655,-0.002303734856250006,0.0,0.0,0.0,0.0,165,26
cent20y,42/1_Run_Means,r,1.0,0.02785551541625127,0,0,1.0,1.0,2.89390738325476,0.0,0.0,448.5556444044878,3.3561992040383086,52.87365011895832,41.16788999293755,0.0,0.0,0.0,0.0,0.0,155,0
cent21y,42/1_Run_Means,r,1.478605211438454,0.028702397922990088,0,0,0.999418250114729,0.999418250114729,2.632871051012973,0.0036623538359565975,0.00032248892219661953,408.09501290701087,2.611973456338968,11.861247637765842,11.250656119034366,0.0003477690044642823,0.0,0.0,0.0,0.0,155,0
cent30y,42/1_Run_Means,r,0.6622357838848376,0.026779160430194914,0,0,0.9785960592206283,0.9785960592206283,2.3791003439246783,0.020316940058101238,0.003001674170804589,344.9695498690784,2.3645059854107084,11.0543444937745,9.586032228711387,0.0036393322033332945,0.0,0.0,0.0,0.0,145,0
offset11y,42/1_Run_Means,c,2.7992024748422093,0.07778923460099373,62,0,0.4586594771772792,0.4586594771772792,0.998702065173669,0.09200105420515178,0.07449633647756598,154.7988201019187,1.2000438007072196,3.7642488648497325,6.037223143009488,0.01282383267329545,1.0833333333209794,0.9583333333242763,1982.6249999999886,2009.8749999999864,165,27
OLS_AR5all,42/2_LT_Fits,r,1.294010431917421e-13,0.04414590170098584,80,53,2.859895157904721e-06,2.9419491154230975e-05,-0.88093854717944,0.11145890289898211,-0.01185948128273713,-100.42699437845616,-1.5964575969261314,4.573276838562185,0.0002669748244329291,-0.07970100252232046,0.0,0.0,0.0,0.0,124,74
OLS_AR5split,42/2_LT_Fits,r,0.7071647964075901,0.04596831143095023,46,20,0.020891001834776966,0.023605481976409923,1.0031849460255664,0.07729569334700806,-0.010222503845146357,114.36308384691458,0.7355085535880412,4.102155458022954,0.07219252158165969,-0.04529328857963531,0.0,0.0,0.0,0.0,124,44
TheilSen_h7075,42/2_LT_Fits,c,2.381336854211934,0.03483395587907129,0,0,0.6820887022532491,0.6820887022532491,2.048084166111004,0.036571443897569354,0.004036613205418425,163.8467332888803,2.0480841661110043,3.088510626747061,11.88486136802186,-0.001655672741177032,3.250000000008413,1.6527777777756683,1980.7083333333235,2012.374999999984,90,0
TheilSen_h7075,42/2_LT_Fits,r,0.6026164996969621,0.027097378825704045,0,0,0.5719264734544615,0.5719264734544615,2.203311348655938,0.0329694873702392,-0.013324076682675278,176.26490789247504,2.203311348655938,9.212509079385052,14.475581268390105,-0.023132385031253026,0.0,0.0,0.0,0.0,90,0
quartic,42/2_LT_Fits,c,4.078300672026693,0.08907743445599893,0,0,0.5560993797835379,0.7287630577303833,0.9918122104803619,0.09906229812829255,-0.06506547340958503,64.46779368122353,0.9918122104803617,2.045702719633381,6.054947891682083,-0.07650975183659314,2.62499999998613,2.3333333333286723,1989.5416666666488,2009.4583333333203,75,0
