experiment,approach,firstcross1,firstcross2,firstcross5,kl,kl75,ncrosses,rmse,rmse75
fut_ESM1-2-LR_SSP126_constVolc,inverse_variance,0.21372253660822357,0.4059107566209498,0.7662058657169826,0.5013175082556754,0.5399442872190106,1.48,0.03607434305970882,0.03550781414145374
fut_ESM1-2-LR_SSP126_constVolc,sharpened_blended,0.21197635489624986,0.4071770103992543,0.8126361154135477,0.5425476820537005,0.5612612731208227,1.42,0.033660717826154284,0.03130641264091531
fut_ESM1-2-LR_SSP245_constVolc,inverse_variance,0.5346465650868923,0.8229418660854568,0.9886804020063849,0.37200397559597725,0.36633277802127795,1.02,0.03336842973090484,0.031736594821633594
fut_ESM1-2-LR_SSP245_constVolc,sharpened_blended,0.5465320642490193,0.8361130663761089,0.9917606097539681,0.5433307151154746,0.5366233376725396,1.04,0.0322439290493623,0.02980528052270625
fut_ESM1-2-LR_SSP370_constVolc,inverse_variance,0.5138318665877136,0.8456721571970701,0.9999984927474398,0.2799650217591343,0.22482855667997115,1.1,0.035250146440536145,0.033076741400270074
fut_ESM1-2-LR_SSP370_constVolc,sharpened_blended,0.4751178126919189,0.8225231444133504,0.9999939357934087,0.3350838489432155,0.2737006771363958,1.14,0.03453389191301551,0.032679732530828655
fut_NorESM_RCP45_Volc,inverse_variance,0.3101696256217989,0.5642665713667103,0.884840313534658,0.6682274683262327,0.7161331949560082,1.1,0.0518421428179699,0.053717722700003454
fut_NorESM_RCP45_Volc,sharpened_blended,0.2850544111857045,0.5268685030163973,0.8741325115223092,0.7806111083149805,0.8615858264138255,1.1,0.049813525219307216,0.05110326150324387
fut_NorESM_RCP45_VolcConst,inverse_variance,0.5559219192345246,0.875370952529896,0.999999454112433,0.44857431978502493,0.47938325827722883,1.0333333333333334,0.03101640179013983,0.031415051285520884
fut_NorESM_RCP45_VolcConst,sharpened_blended,0.527186575559266,0.8691724589584132,0.9999932102425182,0.5430923141128673,0.5714634514788922,1.0333333333333334,0.029751544372588618,0.02963697732239532
