experiment,approach,firstcross1,firstcross2,firstcross5,kl,kl75,ncrosses,rmse,rmse75
fut_ESM1-2-LR_SSP126_constVolc,inverse_variance,0.23292971391961714,0.4378104189723619,0.7967881489041796,0.4914117948185972,0.5346719792788361,1.42,0.03551894875983552,0.03537378829165752
fut_ESM1-2-LR_SSP126_constVolc,sharpened_blended,0.21789558676590787,0.4154594203955367,0.7943018654713493,0.5535592552300354,0.589261440993004,1.32,0.03475903329003521,0.03405804541903609
fut_ESM1-2-LR_SSP245_constVolc,inverse_variance,0.5309935741429004,0.824870870832863,0.990324804910363,0.35769399037726274,0.35330599421387143,1.04,0.032180212168593805,0.030608108670146704
fut_ESM1-2-LR_SSP245_constVolc,sharpened_blended,0.5379507141484924,0.8296616568501748,0.9927979396556189,0.4729656233445655,0.46616316879048275,1.06,0.03187953163902493,0.02994048532859075
fut_ESM1-2-LR_SSP370_constVolc,inverse_variance,0.5707157474915319,0.868601414290738,0.9999996358458891,0.29445999120060684,0.2383367648002905,1.06,0.03586863940150275,0.0335207420916113
fut_ESM1-2-LR_SSP370_constVolc,sharpened_blended,0.5444793961667961,0.8457076731796529,0.9999933631893394,0.35570970869045937,0.2723127814899236,1.06,0.03702016404182232,0.0334849378468578
fut_NorESM_RCP45_Volc,inverse_variance,0.30728740459515186,0.5606342052743221,0.8852873173121069,0.6751291584302103,0.7089951422889579,1.15,0.05148588898820015,0.05253322360753389
fut_NorESM_RCP45_Volc,sharpened_blended,0.3264512092379287,0.5907997906716398,0.9089619191369092,0.7364540452405576,0.8138786468154922,1.0833333333333333,0.04898292986565935,0.05065958837977682
fut_NorESM_RCP45_VolcConst,inverse_variance,0.5609098653416632,0.8816195506388823,0.9999997446915514,0.41856779286222384,0.43694253348560064,1.0166666666666666,0.02946598561483139,0.028759257707692654
fut_NorESM_RCP45_VolcConst,sharpened_blended,0.5449707033860454,0.8692252596210727,0.9999996835357247,0.5723428687220032,0.5977852872464449,1.0166666666666666,0.029416336109457764,0.029317239210130994
