experiment,approach,firstcross1,firstcross2,firstcross5,kl,kl75,ncrosses,rmse,rmse75
fut_ESM1-2-LR_SSP126_constVolc,inverse_variance,0.21778619780572148,0.415919537909219,0.7930851532270242,0.4767998697628634,0.4969808362381701,1.38,0.03421410010056288,0.03211447186147272
fut_ESM1-2-LR_SSP126_constVolc,sharpened_blended,0.2079351322836818,0.39774734352173097,0.7871529636097265,0.5755910070493053,0.5989916641559961,1.3,0.03360538826280411,0.031826948263705954
fut_ESM1-2-LR_SSP245_constVolc,inverse_variance,0.48235424628161877,0.7970988827589582,0.9853034028553017,0.36698320063436846,0.3470465900660276,1.04,0.032888524837751565,0.029934479669711737
fut_ESM1-2-LR_SSP245_constVolc,sharpened_blended,0.5513965832951131,0.8311625540706863,0.9928340073485764,0.6502480324463069,0.6552031545759642,1.04,0.03147115493329443,0.03007477270835707
fut_ESM1-2-LR_SSP370_constVolc,inverse_variance,0.5585447652115599,0.8617930657289322,0.9999995800360459,0.2819549044782914,0.2024106703795892,1.06,0.035084924791453184,0.030684841384027
fut_ESM1-2-LR_SSP370_constVolc,sharpened_blended,0.5027965506414811,0.8278732486389769,0.9999970356569655,0.35494607365182607,0.2965370528639921,1.04,0.03305751346868621,0.03159200121438802
fut_NorESM_RCP45_Volc,inverse_variance,0.3122357723081806,0.5673887166715029,0.8845299475224109,0.6632877076893494,0.7030989591994911,1.1,0.051040600522602717,0.05243227362307596
fut_NorESM_RCP45_Volc,sharpened_blended,0.28718732123520646,0.5305628003773953,0.8779368875798658,0.723683145184047,0.7731106941851634,1.1,0.05003319202957575,0.05103433209962206
fut_NorESM_RCP45_VolcConst,inverse_variance,0.5567027626703848,0.8790666397857535,0.9999999531883005,0.42528604128045466,0.4437378025801106,1.0,0.029791825677646957,0.029067089201009644
fut_NorESM_RCP45_VolcConst,sharpened_blended,0.5479162256720846,0.8708588287991724,0.9999998932010514,0.5082560400571663,0.5140539053999578,1.05,0.029240940366597825,0.02800854612070461
