method_name,method_class,#q<0.5,100#q<0.5,log-likeli,100log-l,RMS,bias,cross_year0.5,cross_year1.0,#yrs
FaIR_nonat_unB,44/1_ERF_FaIR,0,0,2.3133651342770034,2.3133651342770034,0.024748722326007055,5.395915715683868e-06,1984.916666666653,2010.3333333333194,95
FaIR_nonat,44/1_ERF_FaIR,0,0,2.3053886162961494,2.3053886162961494,0.024748722326007055,5.395915715683868e-06,1984.8333333333198,2010.2499999999861,95
GWI_tot_CGWL,44/3_Human_Induced,0,0,2.2215731646286008,2.2215731646286008,0.02631772685610803,-1.1130650532381176e-05,1985.5833333333192,2009.4999999999868,75
FaIR_comb_unB,44/1_ERF_FaIR,2,2,2.188625332496946,2.188625332496946,0.027062080505019893,-0.0016461152416900216,1985.4166666666526,2009.3333333333203,91
FaIR_anthro_unB,44/1_ERF_FaIR,9,9,2.178458198342262,2.178458198342262,0.02728195278241544,0.00019272110269624688,1983.583333333321,2010.499999999986,95
EBMKF_ta2,44/2_Kalman,0,0,2.146149569146632,2.042326371332134,0.027687437334943388,4.8622633595904376e-05,1984.6666666666533,2010.3333333333194,174
FaIR_anthro,44/1_ERF_FaIR,0,0,2.166081751648019,2.166081751648019,0.027701583647780557,-0.004807278897303761,1983.8333333333208,2010.7499999999857,95
EBMKF_ta,44/2_Kalman,0,0,2.07545203759986,1.9585223386144508,0.02942037721998173,0.006941451714367243,1983.7499999999875,2009.0833333333205,174
EBMKF_ta4,44/2_Kalman,0,0,2.056126262130967,1.988789870295952,0.03024111748670214,-0.007931587083425493,1985.6666666666524,2010.7499999999857,174
CGWL10y_for_halfU,45/44_EarthModel_CGWL,4,4,1.988316073635831,1.9883160736358312,0.0332982706445756,-0.01945723245339227,1987.4166666666508,2009.8333333333198,64
CGWL10y_forec,45/44_EarthModel_CGWL,0,0,1.9570869007058744,1.9570869007058744,0.0332982706445756,-0.01945723245339227,1987.499999999984,2009.9999999999864,64
GWI_anthro_AR6,44/3_Human_Induced,0,0,1.956194093966343,1.9561940939663427,0.03417260120374008,-3.324622323289843e-05,1986.2499999999852,2012.6666666666506,75
TheilSen_h7075,43/2_LT_Fits,0,0,2.048084166111004,2.0480841661110043,0.036571443897569354,0.004036613205418425,1981.7499999999893,2011.833333333318,90
hinge75meet,43/2_LT_Fits,1,1,1.8925249167772555,1.892524916777256,0.0372154526881579,0.0049175143999388386,1981.9166666666558,2010.4166666666526,90
CGWL10y_pUKCP,45/44_EarthModel_CGWL,86,39,-0.07387240199226132,2.09258310939337,0.03956731333795625,0.007853894702436803,1986.833333333318,2010.3333333333194,166
GWI_anthro_CGWL,44/3_Human_Induced,0,0,1.8154454441576666,1.8154454441576666,0.04011042636751227,4.359638574089779e-05,1983.8333333333208,2010.9166666666522,75
GWI_anthro,44/3_Human_Induced,0,0,1.8072283651565126,1.8072283651565126,0.04106654161322172,-5.35142292134113e-06,1984.249999999987,2011.3333333333185,75
CGWL10y_sfUKCP,45/44_EarthModel_CGWL,3,2,1.7589794214164762,1.7337814635474185,0.04113463551575088,0.0014285276431899368,1985.2499999999861,2010.2499999999861,156
CGWL10y_sUKCP,45/44_EarthModel_CGWL,0,0,1.726406796100557,1.6891915500338128,0.04271030709261731,0.00016009604785466845,1985.6666666666524,2010.3333333333194,156
OLS_hinge75,43/2_LT_Fits,2,2,1.9821969218362447,1.9821969218362447,0.043015155258308735,0.007431212698682138,1980.4166666666572,2010.9999999999854,90
GWI_anthro_SR15,44/3_Human_Induced,0,0,1.747198585389747,1.747198585389747,0.04318222683393314,1.2853337667089438e-05,1985.2499999999861,2010.9166666666522,75
CGWL_10y_IPCC,45/44_EarthModel_CGWL,0,0,1.677447620463152,1.7472202385331739,0.043800120184230504,-0.00021149427258064575,1983.0833333333214,2010.1666666666529,166
Kal_flexLin_ocn,43/5_Kalman,0,0,1.6871283214668804,1.6193052464492557,0.04423520054822346,-0.004078250713285781,1986.3333333333185,2011.2499999999852,175
Kal_flexLin,43/5_Kalman,0,0,1.6100588661119009,1.5957973671546193,0.048133605025793634,-0.009391397644738427,1985.6666666666524,2011.5833333333183,175
removeGreensfx,43/6_Remove_IV,0,0,1.590199193607153,1.5853124844657183,0.0493330141960001,-0.0017034582418157427,1983.583333333321,2010.4166666666526,174
Kalman_RW_ocn,43/5_Kalman,0,0,1.5774670145500878,1.5066084089533118,0.049687400306609716,-0.021708912181148718,1987.0833333333178,2013.083333333317,175
lowess1dt30wnc,43/3_ST_Fits,2,2,1.462855935741318,1.5799062516784415,0.05052624649230368,-0.010719276337166928,1984.8333333333198,2011.2499999999852,172
lowess1dt36wnc,43/3_ST_Fits,0,0,1.4289669665662685,1.5297482034608139,0.051039528070265475,-0.013187133476211215,1986.0833333333187,2011.3333333333185,172
lowess1dt26wnc,43/3_ST_Fits,1,1,1.4306981748978704,1.5509786565681456,0.05238425732895483,-0.00924294034788292,1983.9999999999873,2011.4166666666517,172
Kalman_RW,43/5_Kalman,0,0,1.5178581006996033,1.450807608640694,0.052772115527948464,-0.02264137238934569,1986.7499999999848,2013.9999999999827,175
removeMEI_volc_cons,43/6_Remove_IV,0,0,1.4882759398201448,1.4882759398201448,0.0539910659929541,-0.012607327950727488,1984.7499999999866,2010.9166666666522,53
butterworth,43/2_LT_Fits,3,3,1.236707481483057,1.236707481483057,0.055866700845551315,-0.03450518728379494,1986.3333333333185,2012.499999999984,76
etrend30y,43/3_ST_Fits,0,0,1.4384057377615989,1.395847973057278,0.055893083938189356,-0.011138304831716444,1987.0833333333178,2011.2499999999852,146
lag5y,43/1_Run_Means,0,0,1.3444201964925795,1.3329444128078012,0.056289359122525466,-0.018023557195161292,1985.6666666666524,2014.416666666649,171
lowess1dt20wAR,43/3_ST_Fits,2,2,1.273095041855964,1.4262945656245136,0.05744670508594117,-0.007513793121549763,1983.249999999988,2011.9166666666513,172
lowess1dt20wnc,43/3_ST_Fits,2,2,1.3042623043144148,1.4161251745980905,0.05744670508594117,-0.007513793121549763,1983.249999999988,2011.9999999999845,172
GAM_AR1,43/4_GAM_AR1,17,12,1.2410149031876299,1.444230719093524,0.05810005324295443,-0.012010381186033234,1985.499999999986,2011.499999999985,146
lowess1dt20wARMA,43/3_ST_Fits,2,2,1.317895752734598,1.4268820371790607,0.05838788361786457,-0.0040799168761129,1983.249999999988,2011.9999999999845,150
etrend15y,43/3_ST_Fits,2,2,1.3725989127252867,1.3976161094613508,0.05883983859639042,-0.006128407307947178,1983.4999999999877,2011.4166666666517,161
GWI_tot_SR15,44/3_Human_Induced,0,0,1.3799596067470656,1.3799596067470656,0.05944808260051046,4.807286890691679e-05,1985.5833333333192,2007.7499999999884,75
lag10y,43/1_Run_Means,0,0,1.2226292796999096,1.1079639548854094,0.06086923403561831,-0.03263084911129033,1988.2499999999834,2016.0833333333142,166
GWI_tot,44/3_Human_Induced,2,2,1.4030241941856523,1.4030241941856523,0.06155230125553516,1.958200264736741e-05,1986.5833333333183,2009.6666666666533,75
GWI_tot_AR6,44/3_Human_Induced,0,0,1.3576451175460853,1.3576451175460855,0.061828320075292695,4.741781695197703e-05,1986.499999999985,2011.499999999985,75
FaIR_all_unB,44/1_ERF_FaIR,2,2,1.3220326500372332,1.3220326500372337,0.06447493731041487,5.5230348710750045e-05,1986.9999999999845,2006.8333333333226,95
opt_clim_norm,43/3_ST_Fits,12,12,0.9836641617367908,0.7194680264373583,0.06468336401310275,-0.021120965794870286,1989.1666666666492,2011.5833333333183,175
etrend30y_3CS,43/3_ST_Fits,0,0,1.2640264961709196,1.1863806097734584,0.0647449475384766,-0.020465306771675455,1986.9999999999845,2014.9999999999818,146
lowess1dg20wnc,43/3_ST_Fits,0,0,1.1689653910111888,1.2163937923557397,0.06490331563694564,-0.023856265533659375,1989.083333333316,2012.2499999999843,172
GAM_AR0,43/4_GAM_AR1,12,7,1.3228722787080507,1.4722841140113698,0.06521296297735144,-0.006114777893797968,1984.249999999987,2011.7499999999848,146
FaIR_all,44/1_ERF_FaIR,2,2,1.2709380322383532,1.2709380322383532,0.06814284758157088,0.02205523034871075,1985.6666666666524,2005.5833333333237,95
lfca_TAS,43/6_Remove_IV,0,0,1.265615119225736,1.265615119225736,0.06830983429518346,-0.04647858391612199,1987.166666666651,2012.4166666666508,48
GWI_tot_orig,44/3_Human_Induced,0,0,1.26019153788684,1.26019153788684,0.06831043089370277,9.668572125894806e-06,1983.8333333333208,2007.1666666666556,74
lowess2dt30wnc,43/3_ST_Fits,0,0,1.1720511697546028,1.2983187543094616,0.0687583978030888,-0.004792002411150623,1982.3333333333221,2011.9166666666513,172
KCC_human,44/3_Human_Induced,30,16,1.0000235757676201,1.2198672107943374,0.0720007663809303,-1.8895053313466958e-05,1984.6666666666533,2009.4166666666536,124
eROF_tot,44/3_Human_Induced,25,11,1.0305204653762086,1.2451231926678386,0.07382585319283701,-4.179625561260854e-05,1989.1666666666492,2008.8333333333208,175
lowess1dt10wnc,43/3_ST_Fits,0,0,0.9876594534717535,1.0756415128246,0.07421105420246754,-0.005801504568198502,1983.8333333333208,2012.166666666651,172
lowess2dt20wnc,43/3_ST_Fits,1,1,1.0033930259324373,1.108036871347879,0.07627497706134914,-0.005552986913138175,1983.4999999999877,2012.2499999999843,171
Bayes_seq_CP,43/2_LT_Fits,0,0,1.0995863350173365,1.0475069979323928,0.07637842602450651,-0.03115888727577586,1989.2499999999825,2011.833333333318,126
eROF_anthro,44/3_Human_Induced,23,11,0.9146533848653448,1.1082373875505456,0.0779408679257195,-3.978619536021948e-05,1986.4166666666517,2008.9999999999873,175
cubic_spline,43/4_GAM_AR1,0,0,1.1138837721622625,1.2135706648995677,0.07935302943838247,-0.004663432007672296,1980.8333333333235,2014.416666666649,145
GWI_anthro_orig,44/3_Human_Induced,0,0,1.1264345924322259,1.1264345924322259,0.08048569474821542,2.0982817338192583e-05,1982.4999999999886,2008.1666666666547,74
removeMEI_cons,43/6_Remove_IV,4,4,0.6295967200325563,0.6497702847835314,0.08188258505932003,0.005241000984265729,1985.1666666666529,2009.58333333332,152
OLS_refit_CO2forc,44/0_Linear,59,28,-3.842287710131252,0.952567867427993,0.0864191157718753,-0.01811138521184934,1984.9999999999864,2011.6666666666515,175
offset11y,43/1_Run_Means,62,27,0.998702065173669,1.2000438007072196,0.09200105420515178,0.07449633647756598,1983.0833333333214,2009.6666666666533,165
min_month_proj,43/3_ST_Fits,1,1,1.0259596667552786,1.228354069968756,0.09458302717296632,0.021132734140996316,1981.9166666666558,2009.0833333333205,156
KCC_all,44/3_Human_Induced,8,8,0.974026184487996,1.115193046627679,0.09746279746630057,3.223575781480735e-05,1990.999999999981,2010.9166666666522,124
raw1y,43/1_Run_Means,1,0,0.8982801229944948,0.9285711950448856,0.09798169412379792,-0.00537672376290323,1984.249999999987,2010.9166666666522,175
lfca_SST,43/6_Remove_IV,0,0,0.9264619909225283,0.9264619909225286,0.09799765179553048,-0.05227889473670815,1989.4999999999823,2014.1666666666492,77
quartic,43/2_LT_Fits,0,0,0.9918122104803608,0.9918122104803608,0.09906229812829263,-0.06506547340958503,1989.2499999999825,2009.7499999999866,75
cons_hArrh_CO2forc,44/0_Linear,89,34,-85.49280739130978,1.0184199834948964,0.10426062494945562,0.0752427041061667,1979.8333333333244,2009.58333333332,175
removeMEI_volc_refit,43/6_Remove_IV,0,0,0.803881727923457,0.803881727923457,0.11195492206432857,0.009087700587488413,1987.8333333333171,2008.9999999999873,45
OLS_refit,43/2_LT_Fits,0,0,0.5612074799685018,0.5612074799685018,0.13422070373011688,-0.03125310125966751,1988.41666666665,2019.8333333333107,75
