method_name,method_class,#q<0.5,log-likeli,RMS,bias,cross_year0.5,cross_year1.0,#yrs
lowess1dt20wARMA,43/3_ST_Fits,108,-7.882310619780488,0.05838788361799817,-0.004079916876222778,1982.2916666666556,2013.7916666666497,150
etrend15y,43/3_ST_Fits,34,1.3094687105554752,0.05883983859639042,-0.006128407307947178,1982.3749999999886,2012.9583333333171,161
GWI_tot_SR15,44/3_Human_Induced,0,1.3367061779320728,0.05944808260057839,4.807286894479802e-05,1986.708333333318,2006.12499999999,75
lag10y,43/1_Run_Means,97,0.4559588076353926,0.06086923403561831,-0.03263084911129033,1987.624999999984,2015.7916666666479,166
GWI_tot,44/3_Human_Induced,0,1.3146890315739714,0.06155230125550601,1.9582002600755548e-05,1986.5416666666515,2009.8749999999864,75
GWI_tot_AR6,44/3_Human_Induced,9,1.3435023474956271,0.06182832007525701,4.741781688583507e-05,1987.041666666651,2011.8749999999845,75
FaIR_all,44/1_ERF_FaIR,5,1.2434852326974262,0.06370952890359746,0.010083572800711003,1981.208333333323,2007.7083333333217,93
opt_clim_norm,43/3_ST_Fits,69,-1.7261941251030415,0.06468336401310275,-0.021120965794870286,1980.541666666657,2013.7916666666497,175
etrend30y_3CS,43/3_ST_Fits,96,0.7572059581333125,0.0647449475384766,-0.020465306771675455,1987.4583333333176,2015.4583333333148,146
lowess1dg20wnc,43/3_ST_Fits,133,-3.216046247180164,0.06490331563686302,-0.02385626553354493,1989.2916666666492,2012.7916666666506,172
GAM_AR0,43/4_GAM_AR1,33,1.2646831531127298,0.06521296297735144,-0.006114777893797968,1982.8749999999882,2012.8749999999836,146
lfca_TAS,43/6_Remove_IV,0,1.2656014566540394,0.06830983429518346,-0.046478583916122,1986.624999999985,2013.7916666666497,48
GWI_tot_orig,44/3_Human_Induced,0,1.2117489039279044,0.06831043089378025,9.668572203157789e-06,1984.7916666666533,2008.3749999999877,74
lowess2dt30wnc,43/3_ST_Fits,108,-1.2240802890926024,0.06875837748081953,-0.004791994623780941,1980.458333333324,2014.2916666666492,172
KCC_human,44/3_Human_Induced,0,1.0534452937351004,0.0720007663809303,-1.8895053313466958e-05,1983.8749999999873,2009.7083333333198,124
eROF_tot,44/3_Human_Induced,0,0.9402589121112314,0.07382585319286358,-4.1796255578534e-05,1987.2083333333176,2008.0416666666547,175
lowess1dt10wnc,43/3_ST_Fits,131,-14.779581812155394,0.07421105420237717,-0.005801504567899219,1979.9583333333244,2014.0416666666492,172
lowess2dt20wnc,43/3_ST_Fits,127,-3.925880123409974,0.07627497368121959,-0.00555302487399729,1980.208333333324,2014.3749999999823,171
Bayes_seq_CP,43/2_LT_Fits,94,-0.6250683660549246,0.07637842602450651,-0.03115888727577586,1989.2916666666492,2012.7083333333171,126
eROF_anthro,44/3_Human_Induced,4,0.9895983955146374,0.07794086792573503,-3.9786195415842364e-05,1987.1249999999845,2007.9583333333217,175
cubic_spline,43/4_GAM_AR1,0,1.1189891284968962,0.07935302943838247,-0.004663432007672267,1979.9583333333244,2015.1249999999818,145
GWI_anthro_orig,44/3_Human_Induced,0,1.0906999324426925,0.08048569474817856,2.098281734899292e-05,1982.3749999999886,2008.7083333333208,74
removeMEI_cons,43/6_Remove_IV,35,0.18113563922223974,0.08188258505932003,0.005241000984265729,1979.7916666666579,2008.7083333333208,152
OLS_refit_CO2forc,44/0_Linear,123,-53.51244398578864,0.0864191157718753,-0.01811138521184934,1985.5416666666524,2012.2083333333176,175
offset11y,43/1_Run_Means,113,-0.9143410840658104,0.09200105420515178,0.07449633647756598,1982.6249999999886,2009.8749999999864,165
min_month_proj,43/3_ST_Fits,0,0.7938151357311223,0.09458302717296632,0.021132734140996316,1979.7916666666579,2009.5416666666533,156
KCC_all,44/3_Human_Induced,13,0.6933822088448004,0.09746279746630057,3.223575781480735e-05,1988.0416666666501,2010.8749999999854,124
raw1y,43/1_Run_Means,0,0.8856346763125925,0.09798169412379792,-0.00537672376290323,1979.4583333333248,2009.5416666666533,175
lfca_SST,43/6_Remove_IV,0,0.9235261416898872,0.0979976517955305,-0.05227889473670816,1989.2083333333157,2014.7083333333153,77
quartic,43/2_LT_Fits,32,0.5334373157284786,0.09906229812829255,-0.06506547340958503,1989.5416666666488,2009.4583333333203,75
cons_hArrh_CO2forc,44/0_Linear,76,-53.90276838093233,0.10426062494945562,0.0752427041061667,1978.3749999999923,2009.1249999999873,175
removeMEI_volc_refit,43/6_Remove_IV,0,0.8038804889978797,0.11195492206432718,0.00908770058748547,1985.4583333333194,2006.6249999999895,45
OLS_refit,43/2_LT_Fits,60,-9.29580952575863,0.13422070373011688,-0.03125310125966751,1989.7083333333153,2022.5416666666415,75
