method_name,method_class,#q<0.5,log-likeli,RMS,bias,cross_year0.5,cross_year1.0,#yrs
GWI_tot_CGWL,44/3_Human_Induced,0,1.4830803586270305,0.026317726855987055,-1.1130650519295917e-05,1986.624999999985,2009.2916666666538,75
FaIR_nonat_unB,44/1_ERF_FaIR,0,2.2041214542826983,0.02744456598471698,-0.008918409221936544,1985.8749999999854,2010.8749999999854,93
FaIR_nonat,44/1_ERF_FaIR,0,2.198224452759744,0.027473031355696575,-0.010697026906171954,1985.8749999999854,2011.291666666652,93
EBMKF_ta2,44/2_Kalman,0,2.145987432870534,0.027687437334943388,4.8622633595904376e-05,1985.1249999999864,2010.2083333333194,174
FaIR_comb_unB,44/1_ERF_FaIR,0,2.049554005399471,0.029136371396318996,-0.006508481995270902,1986.2083333333185,2010.8749999999854,93
EBMKF_ta,44/2_Kalman,0,2.091597002913034,0.02942037721998173,0.006941451714367243,1982.9583333333217,2009.2083333333203,174
FaIR_anthro_unB,44/1_ERF_FaIR,18,2.092258844965078,0.02951408278767643,-0.011950498212688865,1985.1249999999864,2011.041666666652,93
FaIR_anthro,44/1_ERF_FaIR,28,2.065138916761945,0.030143441499961083,-0.015511762043275123,1985.1249999999864,2011.8749999999845,93
EBMKF_ta4,44/2_Kalman,38,1.965924347164536,0.030241117182375647,-0.007931585078521803,1986.291666666652,2010.8749999999854,174
CGWL10y_forec,45/44_EarthModel_CGWL,0,1.8812143765504195,0.0332982706445756,-0.01945723245339227,1987.7083333333171,2010.1249999999864,64
CGWL10y_for_halfU,45/44_EarthModel_CGWL,0,2.0277329907117077,0.0332982706445756,-0.01945723245339227,1987.624999999984,2010.0416666666529,64
GWI_anthro_AR6,44/3_Human_Induced,0,1.5513528961293053,0.03417260120369796,-3.324622324793256e-05,1986.374999999985,2012.9583333333171,75
TheilSen_h7075,43/2_LT_Fits,0,2.0455152184325174,0.036571443897569354,0.004036613205418425,1980.7083333333235,2012.374999999984,90
hinge75meet,43/2_LT_Fits,0,1.8699649977611124,0.03721545268815791,0.0049175143999388455,1980.208333333324,2010.374999999986,90
CGWL10y_pUKCP,45/44_EarthModel_CGWL,0,1.3575641821081859,0.03956731333795625,0.007853894702436803,1986.8749999999845,2009.9583333333198,165
GWI_anthro_CGWL,44/3_Human_Induced,0,1.3134911769804087,0.04011042636742113,4.359638563278854e-05,1983.7916666666542,2010.7916666666524,75
GWI_anthro,44/3_Human_Induced,0,1.350967169723448,0.04106654161313106,-5.351422882919728e-06,1984.3749999999868,2011.4583333333185,75
CGWL10y_sfUKCP,45/44_EarthModel_CGWL,0,1.6990982338272431,0.04113463551575088,0.0014285276431899368,1985.708333333319,2009.6249999999868,155
