method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0
FaIR_nonat_unB,43/1_ERF_FaIR,c,2.18,0.02809472330801057,0,0,0.7656267984429549,0.7656267984429549,2.2062105853297744,0.027333747007722294,-0.008868937335773116,187.52789975303082,187.5278997530308,11.400065657364864,14.429867222143422,-0.010235170307539992,1.0833333333437167,1.1388888888854656,1985.958333333319,2010.8749999999854
FaIR_nonat,43/1_ERF_FaIR,c,2.176,0.028031441781605573,0,0,0.751186611808254,0.751186611808254,2.196056083392198,0.027533550206245806,-0.010705108154633467,186.66476708833682,186.66476708833682,11.423770011424134,12.285939156519385,-0.0140321724365783,1.2916666666769743,1.0694444444410465,1985.958333333319,2011.291666666652
EBMKF_ta2,43/2_Kalman,c,1.876,0.03888916026377481,0,0,0.8560053952395551,0.9882635340522162,2.145987432870534,0.027687437334943388,4.8622633595904376e-05,332.62805209493274,183.80933486463465,12.43249482375595,12.714985818498066,-0.005326711978962106,0.33333333334439885,0.6388888888877394,1985.1249999999864,2010.2083333333194
FaIR_anthro_unB,43/1_ERF_FaIR,c,1.963,0.024394843246950043,17,0,0.22856312022442216,0.22856312022442216,2.0924990500191516,0.029317573342929372,-0.011836054943862548,177.8624192516279,177.8624192516279,15.519839855790387,15.533983849080021,-0.007259933410646918,0.7500000000106866,1.1666666666662497,1985.1249999999864,2011.041666666652
EBMKF_ta,43/2_Kalman,c,1.902,0.03921380067182637,0,0,0.8361876348348131,0.8361876348348131,2.091597002913034,0.02942037721998173,0.006941451714367243,324.19753545152025,175.75076278043719,10.114883307057514,10.226901687592592,0.013262659812632433,1.2499999999874944,1.222222222212963,1982.9583333333217,2009.2083333333203
FaIR_comb_unB,43/1_ERF_FaIR,c,2.67,0.036969988865603695,0,0,0.9483827347332524,0.9483827347332524,2.0680014472432204,0.029091672880552876,-0.006503587254214458,175.78012301567372,175.78012301567372,6.043836541149685,10.70673023830601,-0.01186196748065167,1.2083333333434894,1.1736111111100247,1986.2083333333185,2010.8749999999854
TheilSen_h7075,42/2_LT_Fits,c,2.381,0.03667694691302614,0,0,0.7721308059746872,0.7721308059746872,2.0455152184325174,0.036571443897569354,0.004036613205418425,163.64121747460138,163.64121747460138,3.140145206845319,11.391256152608191,-0.001655672741177032,3.250000000008413,1.6527777777756683,1980.7083333333235,2012.374999999984
FaIR_anthro,43/1_ERF_FaIR,c,1.912,0.024393388458386858,23,0,0.2123526146852081,0.2123526146852081,2.03686484798584,0.03019887765841403,-0.015518560513004624,173.1335120787964,173.1335120787964,15.543325958246998,7.80332122386282,-0.014963404416753884,1.1666666666769743,1.2638888888944089,1985.1249999999864,2011.8749999999845
CGWL10y_for_halfU,44/44_EarthModel_CGWL,c,3.698,0.03187300438157594,4,0,0.3331279498338506,0.700060857321645,1.9828722289851561,0.0332982706445756,-0.01945723245339227,109.05797259418358,109.05797259418358,6.3579993936116885,17.68108698841553,-0.016626109038619857,1.4166666666540095,1.1388888888778865,1987.5416666666506,2009.8749999999864
OLS_hinge75,42/2_LT_Fits,c,3.775,0.03622867421224443,2,0,0.28315010898129944,0.7375397254162896,1.9817336825841345,0.043015155258308735,0.007431212698682138,158.53869460673076,158.53869460673073,2.785505006108035,11.931176157825101,0.013688358768385627,3.1666666666751553,1.680555555553345,1979.5416666666579,2011.041666666652
