variable,OHF,OHF,OHF,OHF,OHF,GHG,GHG,GHG,GHG,GHG,OHFa,OHFa,OHFa,OHFa,OHFa,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,0.086087208,0.087106277,0.089921902,0.090940971,0.088514089,-0.03587609,-0.03485692,-0.032041014,-0.031021843,-0.033448967,0.097324707,0.098343707,0.101159145,0.102178146,0.099751426,-0.023521373,-0.022502266,-0.019686534,-0.018667427,-0.0210944,0.095993803,0.097013246,0.099829906,0.100849349,0.098421576,-0.061357924,-0.032400754,0.047606169,0.07656334,0.007602708
1866,0.088070759,0.089069896,0.091830451,0.092829588,0.090450173,-0.034163266,-0.033164011,-0.030403128,-0.029403873,-0.03178357,0.093689046,0.094688111,0.097448468,0.098447533,0.096068289,-0.023014578,-0.022015405,-0.019254749,-0.018255576,-0.020635077,0.098386521,0.099386083,0.102147811,0.103147373,0.100766947,-0.0484833,-0.019548602,0.060396233,0.089330932,0.020423816
1867,0.090433122,0.091421809,0.094153491,0.095142178,0.09278765,-0.039250623,-0.038261798,-0.035529731,-0.034540905,-0.036895764,0.091355563,0.092344174,0.095075648,0.096064259,0.093709911,-0.025043092,-0.024054371,-0.021322596,-0.020333876,-0.022688484,0.103880521,0.104869661,0.107602594,0.108591733,0.106236127,-0.04103584,-0.011959632,0.068376187,0.097452395,0.028208278
1868,0.078823483,0.079794703,0.082478124,0.083449343,0.081136413,-0.043834338,-0.042862965,-0.040179118,-0.039207745,-0.041521041,0.084734564,0.085705712,0.088388936,0.089360084,0.087047324,-0.025468241,-0.024496969,-0.021813402,-0.02084213,-0.023155186,0.1057081,0.106679786,0.109364495,0.11033618,0.10802214,-0.033754578,-0.004767819,0.075320858,0.104307618,0.03527652
1869,0.072007701,0.072957084,0.075580171,0.076529554,0.074268627,-0.038725722,-0.037776182,-0.035152661,-0.034203121,-0.036464421,0.078974978,0.079924297,0.082547209,0.083496528,0.081235753,-0.020722515,-0.019773048,-0.017149727,-0.01620026,-0.018461388,0.11798884,0.118938687,0.121563055,0.122512902,0.120250871,-0.022294097,0.006419894,0.085754925,0.114468915,0.046087409
1870,0.061772661,0.062692013,0.06523213,0.066151482,0.063962072,-0.018740689,-0.017821184,-0.015280647,-0.014361143,-0.016550916,0.070183936,0.071103231,0.07364319,0.074562485,0.072373211,-0.015793593,-0.014874119,-0.012333668,-0.011414194,-0.013603893,0.135468429,0.136388233,0.138929597,0.139849401,0.137658915,-0.013105001,0.015106973,0.093054961,0.121266935,0.054080967
1871,0.060580206,0.061481374,0.063971249,0.064872418,0.062726312,-0.013570365,-0.012669049,-0.010178769,-0.009277453,-0.011423909,0.063374302,0.064275419,0.066765148,0.067666264,0.065520283,-0.015979651,-0.015078345,-0.012588092,-0.011686787,-0.013833219,0.158334846,0.159236441,0.161727494,0.162629088,0.160481967,-0.012842795,0.01511337,0.092354574,0.120310739,0.053733972
1872,0.059178961,0.060066788,0.062519799,0.063407625,0.061293293,-0.021482367,-0.020594397,-0.01814099,-0.01725302,-0.019367693,0.055258112,0.056145888,0.058598758,0.059486533,0.057372323,-0.011750613,-0.010862635,-0.008409206,-0.007521228,-0.00963592,0.175295269,0.176183476,0.178637537,0.179525743,0.177410506,-0.009491302,0.018236218,0.094845692,0.122573212,0.056540955
1873,0.068394356,0.069274897,0.071707781,0.072588322,0.070491339,-0.018839475,-0.017958786,-0.015525494,-0.014644804,-0.01674214,0.06065723,0.06153772,0.063970462,0.064850953,0.062754091,-0.010309295,-0.009428588,-0.006995246,-0.006114539,-0.008211917,0.168688131,0.169568984,0.172002728,0.172883581,0.170785856,-0.014171617,0.013419214,0.089651022,0.117241852,0.051535118
1874,0.071931168,0.072806408,0.075224643,0.076099883,0.074015525,-0.014522803,-0.013647409,-0.011228748,-0.010353354,-0.012438078,0.065153543,0.066028729,0.068446816,0.069322003,0.067237773,-0.012135647,-0.01126023,-0.008841505,-0.007966088,-0.010050867,0.133491633,0.134367139,0.136786109,0.137661615,0.135576624,-0.022874803,0.004648983,0.080695551,0.108219337,0.042672267
1875,0.070979895,0.071857666,0.074282892,0.075160663,0.073070279,-0.005614413,-0.004736481,-0.002310807,-0.001432875,-0.003523644,0.065982532,0.066860241,0.069285298,0.070163007,0.06807277,-0.01506607,-0.014188119,-0.011762394,-0.010884443,-0.012975257,0.111872896,0.112750906,0.115176797,0.116054807,0.113963852,-0.031447303,-0.003829644,0.072476292,0.100093951,0.034323324
1876,0.055195193,0.05606311,0.058461114,0.059329032,0.057262112,-0.00577594,-0.004907858,-0.0025094,-0.001641318,-0.003708629,0.065023611,0.065891462,0.068289281,0.069157132,0.067090372,-0.021999235,-0.021131141,-0.018732648,-0.017864554,-0.019931894,0.109265785,0.110133868,0.112532332,0.113400415,0.1113331,-0.050513585,-0.022997026,0.053029575,0.080546134,0.015016275
1877,0.050981351,0.051839055,0.05420884,0.055066544,0.053023948,0.002904276,0.003762142,0.006132376,0.006990242,0.004947259,0.072153131,0.073010762,0.075380346,0.076237977,0.074195554,0.005884909,0.006742783,0.009113038,0.009970912,0.00792791,0.106725605,0.10758343,0.109953547,0.110811372,0.108768489,-0.014194296,0.013158781,0.088733691,0.116086768,0.050946236
1878,0.045695335,0.046541816,0.048880595,0.049727077,0.047711206,0.007145126,0.007991766,0.01033098,0.01117762,0.009161373,0.06470837,0.065554774,0.067893335,0.068739738,0.066724054,0.039556866,0.040403505,0.042742718,0.043589357,0.041573112,0.112023815,0.1128704,0.115209462,0.116056047,0.114039931,0.035198971,0.062330873,0.137294691,0.164426593,0.099812782
1879,0.042942656,0.043788949,0.046127206,0.046973499,0.044958078,0.016531058,0.017377513,0.019716217,0.020562672,0.018546865,0.051839538,0.05268575,0.055023781,0.055869993,0.053854765,0.03530143,0.036147871,0.038486538,0.039332979,0.037317205,0.098703254,0.099549648,0.101888182,0.102734576,0.100718915,0.029419515,0.056597621,0.131689097,0.158867203,0.094143359
1880,0.05428692,0.055129657,0.057458088,0.058300825,0.056293872,0.037207956,0.038050857,0.040379743,0.041222644,0.0392153,0.054796399,0.055639061,0.057967285,0.058809947,0.056803173,0.031663428,0.032506318,0.034835173,0.035678063,0.033670745,0.084474539,0.08531739,0.087646138,0.088488989,0.086481764,0.024839828,0.05196631,0.126915151,0.154041633,0.08944073
1881,0.064567453,0.065404382,0.067716764,0.068553692,0.066560573,0.063802182,0.064639277,0.06695212,0.067789215,0.065795699,0.058777807,0.059614671,0.061926878,0.062763743,0.060770775,0.038122296,0.038959395,0.041272252,0.042109351,0.040115824,0.083713822,0.08455089,0.086863658,0.087700725,0.085707274,0.035170142,0.062224683,0.136974757,0.164029299,0.09959972
1882,0.061657055,0.062494248,0.064807362,0.065644555,0.063650805,0.06875521,0.069592574,0.071906158,0.072743521,0.070749366,0.05137658,0.052213716,0.054526671,0.055363807,0.053370194,0.03552978,0.036367154,0.03868077,0.039518144,0.037523962,0.079537479,0.080374824,0.082688359,0.083525705,0.081531592,0.031998536,0.05907522,0.133886472,0.160963156,0.096480846
1883,0.059153899,0.059980222,0.062263305,0.063089629,0.061121764,0.075742912,0.076569404,0.07885295,0.079679442,0.077711177,0.05108457,0.051910841,0.054193779,0.05502005,0.05305231,0.023143171,0.023969662,0.026253207,0.027079698,0.025111435,0.019472181,0.020298274,0.022580719,0.023406812,0.021439496,-0.034444979,-0.007606058,0.06654827,0.093387191,0.029471106
1884,0.046479071,0.047298138,0.04956117,0.050380237,0.048429654,0.076760785,0.077580019,0.079843513,0.080662747,0.078711766,0.048553244,0.049372266,0.051635175,0.052454197,0.05050372,-0.00217865,-0.001359449,0.000903954,0.001723155,-0.000227748,-0.176987246,-0.176169358,-0.173909583,-0.173091695,-0.17503947,-0.216593425,-0.189953802,-0.116350123,-0.0897105,-0.153151962
1885,0.022809291,0.023627148,0.025886837,0.026704694,0.024756992,0.067935876,0.068753902,0.071014059,0.071832085,0.06988398,0.033846455,0.034664265,0.036923825,0.037741635,0.035794045,0.007243573,0.008061525,0.010321478,0.011139431,0.009191502,-0.20661105,-0.205794301,-0.203537672,-0.202720923,-0.204665986,-0.253552312,-0.226949513,-0.153447578,-0.126844779,-0.190198546
1886,0.006523106,0.007338315,0.009590685,0.010405894,0.0084645,0.078851716,0.079667091,0.081919924,0.0827353,0.080793508,0.030225541,0.031040695,0.033292918,0.034108073,0.032166807,0.013824264,0.014639519,0.016892019,0.017707274,0.015765769,-0.177949248,-0.177134879,-0.174884826,-0.174070457,-0.176009852,-0.23824712,-0.211757468,-0.138568151,-0.112078499,-0.17516281
1887,0.00103233,0.001847358,0.004099233,0.004914261,0.002973296,0.087039938,0.087855133,0.09010747,0.090922665,0.088981301,0.030502293,0.031317258,0.033568956,0.03438392,0.032443107,-0.005762967,-0.004947936,-0.002696055,-0.001881024,-0.003821995,-0.177628502,-0.176814164,-0.174564198,-0.17374986,-0.175689181,-0.240760484,-0.214212844,-0.14086331,-0.114315671,-0.177538077
1888,0.005122108,0.005937025,0.008188593,0.009003511,0.007062809,0.076037897,0.076852985,0.079105026,0.079920114,0.077979005,0.026419487,0.027234335,0.029485708,0.030300556,0.028360022,-0.012065879,-0.011250984,-0.008999477,-0.008184581,-0.01012523,-0.170569346,-0.1697549,-0.167504633,-0.166690187,-0.168629766,-0.205024253,-0.178445078,-0.105008414,-0.078429239,-0.141726746
1889,0.011246862,0.012063921,0.014321403,0.015138461,0.013192662,0.061881177,0.062698418,0.064956407,0.065773648,0.063827413,0.020007264,0.020824249,0.02308153,0.023898515,0.02195289,-0.008500032,-0.007683011,-0.005425632,-0.004608612,-0.006554322,-0.166538485,-0.165721809,-0.163465383,-0.162648707,-0.164593596,-0.165725778,-0.139031849,-0.065278125,-0.038584196,-0.102154987
1890,0.021722164,0.022544463,0.024816423,0.025638721,0.023680443,0.073080999,0.073903501,0.076176026,0.076998529,0.075039764,0.021257921,0.02208015,0.024351918,0.025174147,0.023216034,-0.033018717,-0.032196468,-0.029924642,-0.029102393,-0.031060555,-0.166860279,-0.166038385,-0.16376754,-0.162945646,-0.164902963,-0.185674519,-0.158816144,-0.084608065,-0.057749689,-0.121712104
1891,0.043807125,0.044634032,0.046918726,0.047745633,0.045776379,0.088320743,0.089147873,0.091433181,0.092260311,0.090290527,0.030373916,0.031200764,0.033485294,0.034312141,0.032343029,-0.037692664,-0.036865793,-0.034581197,-0.033754326,-0.035723495,-0.158421703,-0.15759512,-0.155311322,-0.15448474,-0.156453221,-0.172184832,-0.145127208,-0.070368618,-0.043310994,-0.107747913
