year,aer_p5,aer_p17,aer_p83,aer_p95,aer_p50,ghg_p5,ghg_p17,ghg_p83,ghg_p95,ghg_p50,ohf_p5,ohf_p17,ohf_p83,ohf_p95,ohf_p50,ant_p5,ant_p17,ant_p83,ant_p95,ant_p50,nat_p5,nat_p17,nat_p83,nat_p95,nat_p50,tot_p5,tot_p17,tot_p83,tot_p95,tot_p50
1850,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0
1851,-0.12944437004819065,-0.10060862230307066,-0.020937182648367525,0.007898565096752463,-0.06077290247571909,-0.12709588138289973,-0.09826011169531057,-0.018588611415054856,0.010247158272534307,-0.05842436155518271,-0.07484767309165363,-0.0460119100873726,0.03365957172752587,0.062495334731806906,-0.006176169179923363,-0.03667240889075174,-0.007836634564000633,0.07183487853399129,0.1006706528607424,0.03199912198499533,-0.060736113493135235,-0.03190138181719249,0.04776725049930519,0.07660198217524794,0.007932934341056352,-0.02709339178903747,0.0017413202567126973,0.08140989833628964,0.11024461038203981,0.04157560929650117
1852,-0.20461308480901153,-0.17041277984390035,-0.07591939069084219,-0.04171908572573102,-0.12316608526737127,-0.17472731232362548,-0.14052697707563766,-0.046033504253045976,-0.011833169005058153,-0.09328024066434182,-0.09622943236632864,-0.06202883398299264,0.032465365867039964,0.06666596425037596,-0.014781734057976337,-0.035927167459078646,-0.0017262997114926293,0.09276864437555332,0.12696951212313934,0.045521172332030346,-0.12369373254398397,-0.08949332189126835,0.005000359270184163,0.03920076992289978,-0.042246481310542094,-0.0077243395593313835,0.026476663608150375,0.12097198185233538,0.15517298501981713,0.07372432273024287
1853,-0.23243039972516044,-0.19746921400633255,-0.10087355701580236,-0.06591237129697447,-0.14917138551106746,-0.22795596989436717,-0.19299453100933306,-0.09639817453586375,-0.06143673565082963,-0.1446963527725984,-0.0940456457543064,-0.05908382000228585,0.03751360536153925,0.07247543111355981,-0.0107851073203733,-0.04101279616361353,-0.006050577876635543,0.09054793203756617,0.12551015032454416,0.04224867708046531,-0.1809740368626649,-0.14601232419215648,-0.04941521126579573,-0.014453498595287328,-0.09771376772897611,0.0015458306163509405,0.03651081906559739,0.13311698277198047,0.16808197122122692,0.08481390091878893
1854,-0.2559709095651783,-0.22206743044773702,-0.12839415328960513,-0.09449067417216384,-0.17523079186867108,-0.2625572618497358,-0.2286535905634537,-0.1349797824544794,-0.10107611116819726,-0.18181668650896654,-0.09071858257152599,-0.05681426048801086,0.036861345734735096,0.07076566781825022,-0.009976457376637882,-0.04886005564065954,-0.01495556377159346,0.07872051155828785,0.11262500342735393,0.031882473893347196,-0.20568598923523496,-0.17178218220669805,-0.0781079990500757,-0.0442041920215388,-0.12494509062838688,0.004243657205620366,0.03815852408416731,0.1318632649422966,0.16577813182084356,0.08501089451323196
1855,-0.2749141403875228,-0.24212590938788026,-0.15153399581726035,-0.11874576481761778,-0.1968299526025703,-0.2659994016004248,-0.2332110813886743,-0.1426189213303246,-0.10983060111857412,-0.18791500135949946,-0.11570415111629018,-0.08291491625072922,0.007679770941081188,0.040469005806642144,-0.037617572654824016,-0.055073088156632366,-0.022283983546572017,0.06831034375716172,0.10109944836722207,0.02301318010529485,-0.20963282525588056,-0.17684499626068373,-0.08625419340432927,-0.05346636440913244,-0.1315495948325065,0.004160468035138365,0.036985262721486833,0.127678199562979,0.16050299424932746,0.08233173114223291
1856,-0.26397539237370893,-0.2322156656979928,-0.14446544782077808,-0.11270572114506194,-0.18834055675938544,-0.3061165742199137,-0.2743566510532105,-0.1866058902830332,-0.15484596711633003,-0.23048127066812185,-0.11225085103944821,-0.0804902746073708,0.007262291095742057,0.03902286752781947,-0.03661399175581437,-0.06937698655161739,-0.03761654611986387,0.05013564382267077,0.0818960842544243,0.006259548851403451,-0.23350900398878593,-0.20175973777395484,-0.11403842152185462,-0.08228915530702352,-0.15789907964790473,-0.0405829024963964,-0.008737081303081595,0.07925101055724326,0.11109683175055807,0.03525696462708083
1857,-0.25326744565325043,-0.22253070749832204,-0.13760694548147967,-0.10687020732655128,-0.18006882648990086,-0.29934975721602086,-0.2686130582230817,-0.18368940440825554,-0.15295270541531636,-0.2261512313156686,-0.10847420252787288,-0.07773686342466135,0.007188558976281456,0.03792589807949298,-0.03527415222418995,-0.09308638529631708,-0.06234915392201401,0.022575970830530423,0.05331320220483349,-0.019886591545741794,-0.258883033961979,-0.22816711454163396,-0.14330087343830655,-0.11258495401796154,-0.18573399398997026,-0.12221788380577436,-0.09130407233158166,-0.005891067365269009,0.02502274410892369,-0.04859756984842534
1858,-0.24322010351227163,-0.21346774606791996,-0.13126376884969204,-0.10151141140534037,-0.172365757458806,-0.31381631181801595,-0.2840640347737349,-0.20186027969594988,-0.1721080026516688,-0.24296215723484238,-0.10343313476261073,-0.07368041477076304,0.008524564144465785,0.03827728413631348,-0.032577925313148626,-0.07637357722921934,-0.04662075340775118,0.03558451238234284,0.06533733620381099,-0.005518120512704172,-0.24754748979199803,-0.21781192838017205,-0.13565435759147704,-0.10591879617965105,-0.17673314298582454,-0.1288114242331062,-0.09873269623739134,-0.015626976781902613,0.014451751213812258,-0.057179836509646975
1859,-0.22778518981340312,-0.19898548851307396,-0.11941364302111879,-0.09061394172078963,-0.15919956576709637,-0.3052701786538137,-0.2764706139431041,-0.19689914584017743,-0.16809958112946788,-0.23668487989164078,-0.09466890989665444,-0.06586905273036336,0.013703223409720522,0.0425030805760116,-0.02608291466032142,-0.04899832730040998,-0.020197799438449238,0.059376329793678906,0.08817685765563965,0.019589265177614834,-0.19671767072992452,-0.16792680864790555,-0.08837938538539447,-0.059588523303375496,-0.12815309701665,-0.09238128433730708,-0.06306959517974065,0.017916842020895274,0.04722853117846171,-0.022576376579422686
