year,aer_p5,aer_p17,aer_p83,aer_p95,aer_p50,ghg_p5,ghg_p17,ghg_p83,ghg_p95,ghg_p50,ohf_p5,ohf_p17,ohf_p83,ohf_p95,ohf_p50,ant_p5,ant_p17,ant_p83,ant_p95,ant_p50,nat_p5,nat_p17,nat_p83,nat_p95,nat_p50,tot_p5,tot_p17,tot_p83,tot_p95,tot_p50
1850,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0
1851,-0.10227637824095837,-0.07404524944695368,0.003955664348382015,0.032186793142386705,-0.03504479254928583,-0.0378273441873489,-0.009596190317665787,0.06840479276047517,0.09663594663015829,0.029404301221404694,-0.06310858669905883,-0.03487743726014969,0.04312353357596521,0.07135468301487435,0.0041230481579077605,-0.054827644254999086,-0.026596480458010774,0.05140453004855772,0.07963569384554603,0.012404024795273472,-0.06840989681575138,-0.040179892771902814,0.037817913406342996,0.06604791745019156,-0.0011809896827799093,-0.04405380812272597,-0.015823818597084482,0.06217394746835225,0.09040393699399374,0.023175064435633885
1852,-0.11808675247289102,-0.08349129039152103,0.012093894147483297,0.046689356228853285,-0.03569869812201887,-0.0264915728164965,0.008104286166144448,0.10369056731963155,0.1382864263022725,0.055897426742888,-0.06098039501301855,-0.02638473483278858,0.06920099704137783,0.1037966572216078,0.021408131104294625,-0.06311943677729914,-0.028523692253941135,0.06706227265527787,0.10165801717863587,0.019269290200668365,-0.06676453763765267,-0.03216931349385277,0.06341521363793845,0.09801043778173835,0.01562295007204284,-0.035229119251027896,-0.0006334014585718251,0.09495248959478886,0.12954820738724493,0.047159544068108517
1853,-0.13428717978763416,-0.0978368892368735,0.002873074994909075,0.03932336554566973,-0.047481907120982214,-0.02007991486721039,0.01637114912227844,0.11708325031884215,0.15353431430833098,0.06672719972056029,-0.05418004635868101,-0.01772943078759681,0.0829814314559485,0.1194320470270327,0.03262600033417584,-0.06962320142378076,-0.03317266711957245,0.06753797058837563,0.10398850489258393,0.01718265173440159,-0.052777745545768084,-0.016327144892727574,0.0843836761329726,0.1208342767860131,0.03402826562012251,-0.027617643072744613,0.00883641453430073,0.10955678691624371,0.14601084452328905,0.05919660072527222
1854,-0.09577697858514966,-0.05972019096259373,0.039902548305462915,0.07595933592801885,-0.00990882132856541,-0.023689359902846263,0.01236857764376964,0.11199449408275086,0.14805243162936677,0.06218153586326025,-0.02035730133428615,0.015699983805006923,0.11532409768199159,0.15138138282128466,0.06551204074349926,-0.07580797829012909,-0.0397512071294841,0.05987148665519726,0.09592825781584224,0.01006013976285658,-0.06870433726885494,-0.032646867723656214,0.06697775565578468,0.1030352252009834,0.01716544396606423,-0.02304243226529934,0.013029175783003666,0.11269286299761916,0.14876447104592216,0.06286101939031141
1855,-0.10136567694934229,-0.06637301473966772,0.03030960990491849,0.06530227211459305,-0.018031702417374618,0.02979783418277293,0.06479127352230307,0.16147604533017557,0.1964694846697057,0.11313365942623932,-0.03407227685329417,0.0009207185618151925,0.09760426383320464,0.132597259248314,0.04926249119750992,-0.08016052661156436,-0.04516876128224112,0.05151138533591393,0.08650315066523717,0.0031713120268364037,-0.07795108348767599,-0.04295902491395509,0.0537219319209612,0.0887139904946821,0.005381453503503053,-0.021123535607102895,0.01391432692332728,0.11072183734029295,0.14575969987072313,0.062318082131810115
1856,-0.13086444796749674,-0.09715898896115505,-0.004032829480365763,0.029672629525975935,-0.050595909220760404,0.02190657716073474,0.05561324457556793,0.14874274281629596,0.18244941023112915,0.10217799369593195,-0.04829913027964494,-0.014593603882644857,0.07853274179433356,0.11223826819133365,0.03196956895584435,-0.09173653737667564,-0.05803237988368437,0.035090183593752045,0.06879434108674332,-0.011471098144966163,-0.08041353270743912,-0.046721216677951816,0.046368629546805096,0.0800609455762924,-0.00017629356557335996,-0.06423689418897993,-0.030431398740859095,0.06297115542184883,0.09677665086996967,0.01626987834049487
1857,-0.14697504350050394,-0.11464337537546498,-0.025312917614485286,0.007018750510553673,-0.06997814649497514,-0.01833555519829133,0.01399759376943166,0.10333214300999316,0.13566529197771615,0.05866486838971241,-0.056124462401555775,-0.02379276064914393,0.0655377900224039,0.09786949177481574,0.020872514686629984,-0.11036404039919034,-0.07803346438868175,0.011293975925582345,0.04362455193609094,-0.0333697442315497,-0.10019758641078624,-0.06789115773210597,0.021369564954284215,0.05367599363296449,-0.023260796388910876,-0.14138091570521283,-0.1088483473598103,-0.0189628143522782,0.013569753993124323,-0.06390558085604425
1858,-0.14218672749325378,-0.11118758057614286,-0.025538798904790383,0.005460348012320537,-0.06836318974046662,-0.029502441543627356,0.0014980626735336955,0.0871505944833757,0.11815109870053675,0.0443243285784547,-0.0522979649843478,-0.021298756212559056,0.06435019635944172,0.09534940513123047,0.021525720073441335,-0.09335609850228366,-0.062357458892790874,0.023289921118077928,0.05428856072757071,-0.019533768887356473,-0.11349456813974257,-0.08251533737654881,0.003078417157439617,0.03405764792063337,-0.0397184601095546,-0.1465898354317119,-0.11522045704759876,-0.028548748062462437,0.0028206303216506967,-0.0718846025550306
1859,-0.1437364797789087,-0.11397915564720051,-0.03176145576998124,-0.0020041316382730656,-0.07287030570859088,-0.013313382381795691,0.016445149013350147,0.09866618448683084,0.12842471588197668,0.057555666750090495,-0.050848268055347035,-0.021090896277257798,0.061126935244089964,0.0908843070221792,0.020018019483416083,-0.06830817473229445,-0.038550470183110974,0.043668280764620704,0.07342598531380418,0.002558905290754865,-0.12291973165736181,-0.09317260763765489,-0.010983090057550271,0.018764033962156645,-0.05207784884760258,-0.111915716012561,-0.08156911734971573,0.0022767126756093603,0.03262331133845464,-0.03964620233705318
