variable,OHF,OHF,OHF,OHF,OHF,GHG,GHG,GHG,GHG,GHG,OHFcomb,OHFcomb,OHFcomb,OHFcomb,OHFcomb,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,-1.644853627,-0.954165253,0.9541652531461864,1.6448536269514875,0,-1.644853627,-0.954165253,0.9541652531461864,1.6448536269514875,0,-1.644853627,-0.954165253,0.9541652531461864,1.6448536269514875,0,-1.644853627,-0.954165253,0.9541652531461864,1.6448536269514875,0,-1.644853627,-0.954165253,0.9541652531461864,1.6448536269514875,0,-1.644853627,-0.954165253,0.9541652531461864,1.6448536269514875,0
1851,0.044254557,0.045458429,0.048784655,0.049988526808988354,0.047121542,0.038062521,0.039266374,0.042592548,0.043796401,0.040929461,0.044823893494935874,0.046027756,0.049353956,0.050557819146888505,0.047690856,0.029132131831261177,0.030336005984281655,0.033662238,0.034866112,0.031999122,0.047850255,0.049054021,0.052379956,0.053583723,0.050716989,-0.027093392,0.00174132,0.081409898,0.11024461038203981,0.041575609
1852,0.09373102,0.095424555,0.10010369157549803,0.1017972269160623,0.097764123,0.056948002,0.058641523,0.063320622,0.065014143,0.060981073,0.091600886,0.093294413,0.097973526,0.099667052,0.095633969,0.041488088812627666,0.043181616,0.047860729,0.049554256,0.045521172332030346,0.067558277,0.069251773,0.073930799,0.075624294,0.071591286,-0.00772434,0.026476663608150375,0.12097198185233538,0.15517298501981713,0.073724323
1853,0.10567348977775737,0.10744330396056512,0.11233319428384902,0.11410300846665677,0.10988824912220707,0.03731758,0.039087364,0.043977171,0.045746954578135046,0.041532267,0.11450385460017287,0.11627365400920553,0.12116350351345773,0.12293330292249038,0.11871857876133163,0.038034033,0.039803799,0.044693555492983705,0.046463321,0.042248677,0.090616717,0.092386505,0.097276321,0.099046109,0.094831413,0.001545831,0.036510819,0.13311698277198047,0.16808197122122692,0.084813901
1854,0.1445937029053539,0.14625808996561318,0.15085669147947556,0.15252107853973484,0.14855739072254437,0.026002051,0.027666392,0.032264864978799324,0.033929205520905725,0.029965628485342677,0.14794435518166438,0.14960873089194138,0.15420730104654012,0.15587167675681712,0.15190801596924075,0.027918987,0.02958329,0.034181658,0.035845961,0.031882473893347196,0.075978186,0.077642557,0.082241114,0.083905484,0.079941835,0.004243657,0.038158524,0.1318632649422966,0.16577813182084356,0.085010895
1855,0.16607339911843155,0.16763015183448715,0.1719313661178603,0.1734881188339159,0.16978075897617373,0.041083108549742064,0.042639773,0.046940742,0.048497406,0.044790257,0.14198298969546386,0.14353971740939642,0.14784086261357743,0.14939759,0.14569029001148692,0.019306184424237927,0.020862784219332298,0.025163575991257403,0.026720175786351774,0.02301318,0.071737465,0.073294106,0.077595014,0.079151655,0.07544456,0.004160468,0.036985262721486833,0.1276782,0.16050299424932746,0.082331731
1856,0.15286658454658664,0.15432725035776684,0.15836298229243084,0.15982364810361105,0.15634511632509884,0.030190545096559163,0.031651111,0.035686567,0.037147132763664104,0.033668839,0.13226193965152788,0.13372254705370779,0.1377581176076319,0.1392187250098118,0.13574033233066984,0.002781497,0.004241962,0.008277136,0.0097376,0.006259549,0.043692037,0.045151636528487415,0.049184423,0.050644022,0.04716803,-0.040582902,-0.008737081,0.079251011,0.11109683175055807,0.035256965
1857,0.16608599950512826,0.16745406999621082,0.17123396662088908,0.17260203711197164,0.16934401830854995,0.02676365,0.028131634,0.031911293244831995,0.033279277645590355,0.030021463863704412,0.13619274126585879,0.13756074362305526,0.14134045199790535,0.14270845435510182,0.1394505978104803,-0.023144152,-0.021776274,-0.017996909,-0.016629031,-0.019886592,0.016586909398768057,0.017953034758818376,0.021727557,0.023093682,0.019840295931089713,-0.122217884,-0.091304072,-0.005891067,0.025022744,-0.04859757
1858,0.1497612043028198,0.1510430274587975,0.154584628,0.1558664510311587,0.15281382766698925,0.015249972164951942,0.016531722,0.02007312,0.021354869796937237,0.018302421,0.12698296699426237,0.1282647179747869,0.1318061189745663,0.1330878699550908,0.1300354184746766,-0.008570365,-0.007288701,-0.00374754,-0.002465876,-0.005518121,0.029843976221570756,0.031124271643705015,0.034661651,0.035941946,0.032892961,-0.128811424,-0.098732696,-0.015626977,0.014451751213812258,-0.057179837
1859,0.11159811253486396,0.1127991247529394,0.11611744939995106,0.1173184616180265,0.11445828707644523,0.023432444826084975,0.024633406996031226,0.027951593,0.029152555532959923,0.0262925,0.10791341415665556,0.10911436118971096,0.11243250573448904,0.11363345276754444,0.110773433,0.016729279483513437,0.017930212402916368,0.021248318,0.022449251,0.019589265177614834,0.06235969,0.063559908,0.066876037,0.068076255,0.065217972,-0.092381284,-0.063069595,0.017916842020895274,0.047228531,-0.022576377
1860,0.10747851084170179,0.10862018224554504,0.11177455178574291,0.11291622318958616,0.11019736701564398,0.03846354,0.039605197322771346,0.042759528722854157,0.043901186,0.041182363,0.11238297873597958,0.11352459565677009,0.1166788146636577,0.11782043158444822,0.1151017051602139,0.011768685,0.012910356593408778,0.016064725395551704,0.017206396532230883,0.014487540994480241,0.067543092,0.068684546,0.071838317,0.072979772,0.070261432,-0.074180825,-0.045352407,0.034298779222524445,0.063127197,-0.005526814
1861,0.10479470249038059,0.10590161646427987,0.10895995331247832,0.1100668672863776,0.1074307848883791,0.048085393,0.049192322,0.052250702,0.053357631929998206,0.050721512,0.11173501339953873,0.11284187606162277,0.11590007113846923,0.11700693380055327,0.114370974,0.000463869,0.001570818,0.004629254,0.005736203,0.003100036,0.067380548,0.068487587,0.071546269,0.072653308,0.070016928,-0.065099566,-0.036387316,0.042942905376662566,0.071655155,0.003277795
1862,0.094708902,0.095782575,0.098749072,0.099822746,0.097265824,0.031225848,0.03229956,0.035266161,0.036339872,0.03378286,0.11186646101094766,0.11294008075361717,0.11590642764014092,0.11698004738281043,0.11442325419687904,-0.022389356,-0.02131564,-0.018349027,-0.017275311,-0.019832334,0.058940029,0.060013815426032124,0.062980623,0.06405441,0.061497219278976445,-0.086747586,-0.058139234,0.020903924421872944,0.049512276279244816,-0.018617655
1863,0.084771698,0.085828173,0.088747151,0.089803626,0.087287662,0.025648447,0.026704978,0.029624112320220775,0.030680644136623414,0.028164545334220747,0.10620012003107604,0.10725653395661539,0.1101753422034335,0.11123175612897285,0.10871593808002444,-0.018946898,-0.017890385,-0.014971304,-0.013914791,-0.016430845,0.061299762858652684,0.062356394653420466,0.065275805,0.066332437,0.0638161,-0.077512158,-0.048737801,0.030764019049001945,0.059538376,-0.008986891
1864,0.085014825,0.086049491,0.088908212,0.089942878,0.087478852,0.038871152181513935,0.039905890968725544,0.042764812,0.043799551,0.041335352,0.10181256790417592,0.102847166,0.10570569865626567,0.10674029681513275,0.10427643235965434,-0.026762153,-0.025727449,-0.022868625,-0.021833921,-0.024298037,0.080932618,0.081967549,0.084827002,0.085861933,0.083397276,-0.077595394,-0.048770547,0.030870772517289424,0.059695619,-0.008949887
1865,0.086087208,0.087106277,0.089921902,0.090940971,0.088514089,0.04114299,0.042162150847332214,0.04497803,0.045997191,0.043570091,0.097351088,0.098370083,0.10118550621700706,0.10220450148659666,0.099777795,-0.023521373,-0.022502266,-0.019686534,-0.018667427,-0.0210944,0.096047037,0.09706647,0.0998831,0.10090253196665344,0.098474785,-0.061357924,-0.032400754,0.047606169,0.07656334,0.007602708
1866,0.088070759,0.089069896,0.091830451,0.092829588,0.090450173,0.045787690224642574,0.046786930748112354,0.049547772317737326,0.050547012841207106,0.048167352,0.093716027,0.094715087,0.097475429,0.098474488,0.096095258,-0.023014578,-0.022015405,-0.019254749,-0.018255576,-0.020635077,0.098440919,0.09944047,0.10220216897988621,0.10320171977900827,0.10082131955857676,-0.0484833,-0.019548602,0.060396233398307686,0.089330932,0.020423815868866768
1867,0.090433122,0.091421809,0.094153491,0.095142178,0.09278765,0.050028138,0.051016945,0.053748959,0.054737766061236925,0.052382952,0.091383181,0.092371786,0.095103245,0.096091851,0.093737516,-0.025043092,-0.024054371,-0.021322596,-0.020333876,-0.022688484,0.10393601235927008,0.10492514099422579,0.10765804402302592,0.10864717265798163,0.10629159250862585,-0.04103584,-0.011959632,0.068376187,0.097452395,0.028208278
1868,0.078823483,0.079794703,0.082478124,0.083449343,0.081136413,0.056388247,0.057359599,0.060043385,0.061014736040533535,0.058701492,0.084762183,0.085733326,0.088416535,0.089387678,0.08707493,-0.025468241,-0.024496969,-0.021813402,-0.02084213,-0.023155186,0.10576353793322824,0.10673521313668743,0.10941989338215308,0.11039156858561228,0.10807755325942026,-0.033754578,-0.004767819,0.075320858,0.10430761781282172,0.03527652
1869,0.072007701,0.072957084,0.075580171,0.076529554,0.074268627,0.04801692,0.048966436,0.051589891,0.052539407,0.050278164,0.079002144,0.079951458,0.082574356,0.08352367,0.081262907,-0.020722515,-0.019773048,-0.017149727,-0.01620026,-0.018461388,0.11804302272463474,0.11899285940131676,0.12161720110867691,0.12256703778535893,0.12030503025499684,-0.022294097,0.006419894,0.085754925,0.11446891547092264,0.046087409
