variable,Aer,Aer,Aer,Aer,Aer,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,0.321323577,0.322145246,0.324415466,0.325237134,0.323280356,0.321323577,0.322145246,0.324415466,0.325237134,0.323280356,0.367222525,0.368043866,0.37031318,0.371134521,0.369178523,0.321323577,0.322145246,0.324415466,0.325237134,0.323280356,0.321323577,0.322145246,0.324415466,0.325237134,0.323280356,0.258255801,0.285560178,0.361000533,0.38830491,0.323280356
1921,0.310755213,0.311555359,0.313766115,0.314566261,0.312660737,0.310755213,0.311555359,0.313766115,0.314566261,0.312660737,0.36258302,0.363382881,0.365592847,0.366392707,0.364487864,0.310755213,0.311555359,0.313766115,0.314566261,0.312660737,0.310755213,0.311555359,0.313766115,0.314566261,0.312660737,0.248656838,0.275532633,0.349788841,0.376664636,0.312660737
1922,0.310216446,0.31100094,0.313168449,0.313952943,0.312084695,0.310216446,0.31100094,0.313168449,0.313952943,0.312084695,0.360681664,0.361465863,0.36363256,0.36441676,0.362549212,0.310216446,0.31100094,0.313168449,0.313952943,0.312084695,0.310216446,0.31100094,0.313168449,0.313952943,0.312084695,0.248985428,0.27548136,0.348688029,0.375183962,0.312084695
1923,0.305483863,0.306258434,0.308398527,0.309173098,0.307328481,0.305483863,0.306258434,0.308398527,0.309173098,0.307328481,0.365366468,0.36614073,0.36827997,0.369054232,0.36721035,0.305483863,0.306258434,0.308398527,0.309173098,0.307328481,0.305483863,0.306258434,0.308398527,0.309173098,0.307328481,0.244843731,0.271081622,0.343575339,0.36981323,0.307328481
1924,0.308096601,0.308875847,0.311028858,0.311808104,0.309952353,0.308096601,0.308875847,0.311028858,0.311808104,0.309952353,0.351707556,0.352486494,0.354638651,0.355417588,0.353562572,0.308096601,0.308875847,0.311028858,0.311808104,0.309952353,0.308096601,0.308875847,0.311028858,0.311808104,0.309952353,0.247408043,0.273670944,0.346233762,0.372496663,0.309952353
1925,0.336307059,0.337089779,0.339252387,0.340035107,0.338171083,0.336307059,0.337089779,0.339252387,0.340035107,0.338171083,0.336999165,0.337781577,0.339943335,0.340725747,0.338862456,0.336307059,0.337089779,0.339252387,0.340035107,0.338171083,0.336307059,0.337089779,0.339252387,0.340035107,0.338171083,0.275540424,0.301839583,0.374502583,0.400801742,0.338171083
1926,0.357110806,0.35788881,0.360038389,0.360816393,0.358963599,0.357110806,0.35788881,0.360038389,0.360816393,0.358963599,0.332198243,0.332975963,0.335124759,0.335902479,0.334050361,0.357110806,0.35788881,0.360038389,0.360816393,0.358963599,0.357110806,0.35788881,0.360038389,0.360816393,0.358963599,0.296642609,0.322811736,0.395115463,0.42128459,0.358963599
1927,0.386170779,0.386946023,0.389087976,0.389863221,0.388017,0.386170779,0.386946023,0.389087976,0.389863221,0.388017,0.337398355,0.338173333,0.340314553,0.341089532,0.339243943,0.386170779,0.386946023,0.389087976,0.389863221,0.388017,0.386170779,0.386946023,0.389087976,0.389863221,0.388017,0.325948184,0.352011421,0.424022579,0.450085815,0.388017
1928,0.390548067,0.391323649,0.393466535,0.394242117,0.392395092,0.390548067,0.391323649,0.393466535,0.394242117,0.392395092,0.347261062,0.348036416,0.350178674,0.350954028,0.349107545,0.390548067,0.391323649,0.393466535,0.394242117,0.392395092,0.390548067,0.391323649,0.393466535,0.394242117,0.392395092,0.33028966,0.356368273,0.428421912,0.454500524,0.392395092
1929,0.375135032,0.375905925,0.378035857,0.37880675,0.376970891,0.375135032,0.375905925,0.378035857,0.37880675,0.376970891,0.354437127,0.355207847,0.3573373,0.358108019,0.356272573,0.375135032,0.375905925,0.378035857,0.37880675,0.376970891,0.375135032,0.375905925,0.378035857,0.37880675,0.376970891,0.31504264,0.341046853,0.412894929,0.438899142,0.376970891
1930,0.374592136,0.375361759,0.377488182,0.378257805,0.37642497,0.374592136,0.375361759,0.377488182,0.378257805,0.37642497,0.338943378,0.339712829,0.341838774,0.342608225,0.340775801,0.374592136,0.375361759,0.377488182,0.378257805,0.37642497,0.374592136,0.375361759,0.377488182,0.378257805,0.37642497,0.314473878,0.340487681,0.412362259,0.438376063,0.37642497
1931,0.380659015,0.381429017,0.383556486,0.384326488,0.382492751,0.380659015,0.381429017,0.383556486,0.384326488,0.382492751,0.312680258,0.313450077,0.315577042,0.316346861,0.314513559,0.380659015,0.381429017,0.383556486,0.384326488,0.382492751,0.380659015,0.381429017,0.383556486,0.384326488,0.382492751,0.320524124,0.346545291,0.418440212,0.444461379,0.382492751
1932,0.386848738,0.38761794,0.389743198,0.3905124,0.388680569,0.386848738,0.38761794,0.389743198,0.3905124,0.388680569,0.312893048,0.313662095,0.315786925,0.316555971,0.31472451,0.386848738,0.38761794,0.389743198,0.3905124,0.388680569,0.386848738,0.38761794,0.389743198,0.3905124,0.388680569,0.326791673,0.35277936,0.424581778,0.450569465,0.388680569
1933,0.401129511,0.401896732,0.404016516,0.404783737,0.402956624,0.401129511,0.401896732,0.404016516,0.404783737,0.402956624,0.302588068,0.303355143,0.305474526,0.306241601,0.304414834,0.401129511,0.401896732,0.404016516,0.404783737,0.402956624,0.401129511,0.401896732,0.404016516,0.404783737,0.402956624,0.341210645,0.36713832,0.438774928,0.464702603,0.402956624
1934,0.423595426,0.42436501,0.426491326,0.42726091,0.425428168,0.423595426,0.42436501,0.426491326,0.42726091,0.425428168,0.301318327,0.302087759,0.304213653,0.304983084,0.303150706,0.423595426,0.42436501,0.426491326,0.42726091,0.425428168,0.423595426,0.42436501,0.426491326,0.42726091,0.425428168,0.363698077,0.38961908,0.461237256,0.487158259,0.425428168
1935,0.427750628,0.428509422,0.430605926,0.431364721,0.429557674,0.427750628,0.428509422,0.430605926,0.431364721,0.429557674,0.317666889,0.31842554,0.320521649,0.321280301,0.319473595,0.427750628,0.428509422,0.430605926,0.431364721,0.429557674,0.427750628,0.428509422,0.430605926,0.431364721,0.429557674,0.368388264,0.394073833,0.465041516,0.490727084,0.429557674
1936,0.434618021,0.435377276,0.437475051,0.438234305,0.436426163,0.434618021,0.435377276,0.437475051,0.438234305,0.436426163,0.336215322,0.33697443,0.339071801,0.33983091,0.338023116,0.434618021,0.435377276,0.437475051,0.438234305,0.436426163,0.434618021,0.435377276,0.437475051,0.438234305,0.436426163,0.375338745,0.400989884,0.471862442,0.497513582,0.436426163
1937,0.440723917,0.441480392,0.443570485,0.44432696,0.442525438,0.440723917,0.441480392,0.443570485,0.44432696,0.442525438,0.345452629,0.34620895,0.348298618,0.349054938,0.347253784,0.440723917,0.441480392,0.443570485,0.44432696,0.442525438,0.440723917,0.441480392,0.443570485,0.44432696,0.442525438,0.381532548,0.407143994,0.477906883,0.503518329,0.442525438
1938,0.428969652,0.429731365,0.431835931,0.432597644,0.430783648,0.428969652,0.429731365,0.431835931,0.432597644,0.430783648,0.349725237,0.350486799,0.352590951,0.353352513,0.351538875,0.428969652,0.429731365,0.431835931,0.432597644,0.430783648,0.428969652,0.429731365,0.431835931,0.432597644,0.430783648,0.369583463,0.395281954,0.466285342,0.491983833,0.430783648
1939,0.429024134,0.429788739,0.431901296,0.432665901,0.430845017,0.429024134,0.429788739,0.431901296,0.432665901,0.430845017,0.356417519,0.357181966,0.359294087,0.360058534,0.358238027,0.429024134,0.429788739,0.431901296,0.432665901,0.430845017,0.429024134,0.429788739,0.431901296,0.432665901,0.430845017,0.369436311,0.395222362,0.466467673,0.492253724,0.430845017
1940,0.423476551,0.424242157,0.426357481,0.427123087,0.425299819,0.423476551,0.424242157,0.426357481,0.427123087,0.425299819,0.354323352,0.355088782,0.35720362,0.35796905,0.356146201,0.423476551,0.424242157,0.426357481,0.427123087,0.425299819,0.423476551,0.424242157,0.426357481,0.427123087,0.425299819,0.363624994,0.38952279,0.461076848,0.486974644,0.425299819
1941,0.41817848,0.418969445,0.421154835,0.4219458,0.42006214,0.41817848,0.418969445,0.421154835,0.4219458,0.42006214,0.351391118,0.352181861,0.354366638,0.355157381,0.353274249,0.41817848,0.418969445,0.421154835,0.4219458,0.42006214,0.41817848,0.418969445,0.421154835,0.4219458,0.42006214,0.356291145,0.383069142,0.457055138,0.483833134,0.42006214
1942,0.416836962,0.417640394,0.419860231,0.420663663,0.418750313,0.416836962,0.417640394,0.419860231,0.420663663,0.418750313,0.352910984,0.353714184,0.355933377,0.356736577,0.354823781,0.416836962,0.417640394,0.419860231,0.420663663,0.418750313,0.416836962,0.417640394,0.419860231,0.420663663,0.418750313,0.353676352,0.381001475,0.45649915,0.483824273,0.418750313
1943,0.420461735,0.421276047,0.423525943,0.424340256,0.422400995,0.420461735,0.421276047,0.423525943,0.424340256,0.422400995,0.346190432,0.347004506,0.349253742,0.350067815,0.348129124,0.420461735,0.421276047,0.423525943,0.424340256,0.422400995,0.420461735,0.421276047,0.423525943,0.424340256,0.422400995,0.356203486,0.384000397,0.460801594,0.488598505,0.422400995
1944,0.417521256,0.418336821,0.420590178,0.421405743,0.4194635,0.417521256,0.418336821,0.420590178,0.421405743,0.4194635,0.344893628,0.345708944,0.347961615,0.348776932,0.34683528,0.417521256,0.418336821,0.420590178,0.421405743,0.4194635,0.417521256,0.418336821,0.420590178,0.421405743,0.4194635,0.352858111,0.380826294,0.458100705,0.486068888,0.4194635
1945,0.413201787,0.414014252,0.416259045,0.417071511,0.415136649,0.413201787,0.414014252,0.416259045,0.417071511,0.415136649,0.350302651,0.351114869,0.353358978,0.354171196,0.352236923,0.413201787,0.414014252,0.416259045,0.417071511,0.415136649,0.413201787,0.414014252,0.416259045,0.417071511,0.415136649,0.348458494,0.376457232,0.453816065,0.481814803,0.415136649
1946,0.408822764,0.409636482,0.411884737,0.412698455,0.410760609,0.408822764,0.409636482,0.411884737,0.412698455,0.410760609,0.362308473,0.363121941,0.365369506,0.366182974,0.364245723,0.408822764,0.409636482,0.411884737,0.412698455,0.410760609,0.408822764,0.409636482,0.411884737,0.412698455,0.410760609,0.344437631,0.372287227,0.449233991,0.477083588,0.410760609
1947,0.401095309,0.401899078,0.404119843,0.404923612,0.403009461,0.401095309,0.401899078,0.404119843,0.404923612,0.403009461,0.362902486,0.363706018,0.365926126,0.366729657,0.364816072,0.401095309,0.401899078,0.404119843,0.404923612,0.403009461,0.401095309,0.401899078,0.404119843,0.404923612,0.403009461,0.337610218,0.36507193,0.440946991,0.468408703,0.403009461
1948,0.392800802,0.393598395,0.395802098,0.396599691,0.394700246,0.392800802,0.393598395,0.395802098,0.396599691,0.394700246,0.359666035,0.360463393,0.362666446,0.363463804,0.36156492,0.392800802,0.393598395,0.395802098,0.396599691,0.394700246,0.392800802,0.393598395,0.395802098,0.396599691,0.394700246,0.329979113,0.357156081,0.432244412,0.459421379,0.394700246
1949,0.381908877,0.382691746,0.384854766,0.385637635,0.383773256,0.381908877,0.382691746,0.384854766,0.385637635,0.383773256,0.367187853,0.367970508,0.370132935,0.370915589,0.369051721,0.381908877,0.382691746,0.384854766,0.385637635,0.383773256,0.381908877,0.382691746,0.384854766,0.385637635,0.383773256,0.320319727,0.346964417,0.420582094,0.447226784,0.383773256
1950,0.383155473,0.383930057,0.386070187,0.386844772,0.385000122,0.383155473,0.383930057,0.386070187,0.386844772,0.385000122,0.389108662,0.389883038,0.392022591,0.392796967,0.390952814,0.383155473,0.383930057,0.386070187,0.386844772,0.385000122,0.383155473,0.383930057,0.386070187,0.386844772,0.385000122,0.322352961,0.34865905,0.421341194,0.447647283,0.385000122
1951,0.400020077,0.400784606,0.402896952,0.403661481,0.401840779,0.400020077,0.400784606,0.402896952,0.403661481,0.401840779,0.398808993,0.399573307,0.40168506,0.402449373,0.400629183,0.400020077,0.400784606,0.402896952,0.403661481,0.401840779,0.400020077,0.400784606,0.402896952,0.403661481,0.401840779,0.34014411,0.366051079,0.437630479,0.463537448,0.401840779
1952,0.387366615,0.388129213,0.390236224,0.390998822,0.389182718,0.387366615,0.388129213,0.390236224,0.390998822,0.389182718,0.395710623,0.396473016,0.398579462,0.399341855,0.397526239,0.387366615,0.388129213,0.390236224,0.390998822,0.389182718,0.387366615,0.388129213,0.390236224,0.390998822,0.389182718,0.327763214,0.353553799,0.424811638,0.450602223,0.389182718
1953,0.35489822,0.355662596,0.357774523,0.358538899,0.356718559,0.35489822,0.355662596,0.357774523,0.358538899,0.356718559,0.392676729,0.393440905,0.395552278,0.396316454,0.394496592,0.35489822,0.355662596,0.357774523,0.358538899,0.356718559,0.35489822,0.355662596,0.357774523,0.358538899,0.356718559,0.295336838,0.321111558,0.392325561,0.418100281,0.356718559
1954,0.346382486,0.347140562,0.349235081,0.349993157,0.348187822,0.346382486,0.347140562,0.349235081,0.349993157,0.348187822,0.382566535,0.383324414,0.385418389,0.386176268,0.384371401,0.346382486,0.347140562,0.349235081,0.349993157,0.348187822,0.346382486,0.347140562,0.349235081,0.349993157,0.348187822,0.28721932,0.312820525,0.383555118,0.409156323,0.348187822
1955,0.335091138,0.335838775,0.33790445,0.338652087,0.336871613,0.335091138,0.335838775,0.33790445,0.338652087,0.336871613,0.36895579,0.369703232,0.371768368,0.37251581,0.3707358,0.335091138,0.335838775,0.33790445,0.338652087,0.336871613,0.335091138,0.335838775,0.33790445,0.338652087,0.336871613,0.276467355,0.301831629,0.371911596,0.39727587,0.336871613
1956,0.329556701,0.330300562,0.332355802,0.333099663,0.331328182,0.329556701,0.330300562,0.332355802,0.333099663,0.331328182,0.385114204,0.38585787,0.387912576,0.388656243,0.386885223,0.329556701,0.330300562,0.332355802,0.333099663,0.331328182,0.329556701,0.330300562,0.332355802,0.333099663,0.331328182,0.271302527,0.296507823,0.366148541,0.391353837,0.331328182
1957,0.355518322,0.356259243,0.358306363,0.359047284,0.357282803,0.355518322,0.356259243,0.358306363,0.359047284,0.357282803,0.422019279,0.422760001,0.424806572,0.425547294,0.423783286,0.355518322,0.356259243,0.358306363,0.359047284,0.357282803,0.355518322,0.356259243,0.358306363,0.359047284,0.357282803,0.297677647,0.322706372,0.391859234,0.416887958,0.357282803
1958,0.393108041,0.393848487,0.395894295,0.396634741,0.394871391,0.393108041,0.393848487,0.395894295,0.396634741,0.394871391,0.449035924,0.449776169,0.451821421,0.452561665,0.450798795,0.393108041,0.393848487,0.395894295,0.396634741,0.394871391,0.393108041,0.393848487,0.395894295,0.396634741,0.394871391,0.335487244,0.360423165,0.429319618,0.454255539,0.394871391
1959,0.41261333,0.41334767,0.415376606,0.416110945,0.414362138,0.41261333,0.41334767,0.415376606,0.416110945,0.414362138,0.460162628,0.46089677,0.46292516,0.463659302,0.461910965,0.41261333,0.41334767,0.415376606,0.416110945,0.414362138,0.41261333,0.41334767,0.415376606,0.416110945,0.414362138,0.355376514,0.380145092,0.448579184,0.473347762,0.414362138
1960,0.421533957,0.422264816,0.424284134,0.425014993,0.423274475,0.421533957,0.422264816,0.424284134,0.425014993,0.423274475,0.457115645,0.457846334,0.459865185,0.460595874,0.458855759,0.421533957,0.422264816,0.424284134,0.425014993,0.423274475,0.421533957,0.422264816,0.424284134,0.425014993,0.423274475,0.36455733,0.389213171,0.457335779,0.48199162,0.423274475
1961,0.398870106,0.399596149,0.401602164,0.402328208,0.400599157,0.398870106,0.399596149,0.401602164,0.402328208,0.400599157,0.428870566,0.429596495,0.431602195,0.432328124,0.430599345,0.398870106,0.399596149,0.401602164,0.402328208,0.400599157,0.398870106,0.399596149,0.401602164,0.402328208,0.400599157,0.342238452,0.36674462,0.434453693,0.458959862,0.400599157
1962,0.388082796,0.388807465,0.390809682,0.391534351,0.389808574,0.388082796,0.388807465,0.390809682,0.391534351,0.389808574,0.425416822,0.42614142,0.42814344,0.428868038,0.42714243,0.388082796,0.388807465,0.390809682,0.391534351,0.389808574,0.388082796,0.388807465,0.390809682,0.391534351,0.389808574,0.331577199,0.356029061,0.423588086,0.448039948,0.389808574
1963,0.324303704,0.325027675,0.327027963,0.327751934,0.326027819,0.324303704,0.325027675,0.327027963,0.327751934,0.326027819,0.43083193,0.431556031,0.433556677,0.434280778,0.432556354,0.324303704,0.325027675,0.327027963,0.327751934,0.326027819,0.324303704,0.325027675,0.327027963,0.327751934,0.326027819,0.267871495,0.292291842,0.359763796,0.384184143,0.326027819
1964,0.251084137,0.251805322,0.253797914,0.2545191,0.252801618,0.251084137,0.251805322,0.253797914,0.2545191,0.252801618,0.448638635,0.449360179,0.45135376,0.452075303,0.450356969,0.251084137,0.251805322,0.253797914,0.2545191,0.252801618,0.251084137,0.251805322,0.253797914,0.2545191,0.252801618,0.194897597,0.219212,0.286391236,0.310705639,0.252801618
1965,0.206641097,0.207359194,0.209343254,0.210061351,0.208351224,0.206641097,0.207359194,0.209343254,0.210061351,0.208351224,0.458550811,0.459269228,0.461254169,0.461972586,0.460261699,0.206641097,0.207359194,0.209343254,0.210061351,0.208351224,0.206641097,0.207359194,0.209343254,0.210061351,0.208351224,0.15057947,0.174838333,0.241864115,0.266122979,0.208351224
1966,0.213942746,0.214663244,0.216653937,0.217374435,0.215658591,0.213942746,0.214663244,0.216653937,0.217374435,0.215658591,0.447311375,0.44803205,0.450023233,0.450743909,0.449027642,0.213942746,0.214663244,0.216653937,0.217374435,0.215658591,0.213942746,0.214663244,0.216653937,0.217374435,0.215658591,0.157794879,0.182092356,0.249224825,0.273522302,0.215658591
1967,0.244177699,0.244897679,0.246886943,0.247606924,0.245892311,0.244177699,0.244897679,0.246886943,0.247606924,0.245892311,0.424653973,0.425374007,0.427363417,0.428083451,0.426368712,0.244177699,0.244897679,0.246886943,0.247606924,0.245892311,0.244177699,0.244897679,0.246886943,0.247606924,0.245892311,0.188114927,0.212376154,0.279408468,0.303669695,0.245892311
1968,0.254922684,0.255641293,0.257626769,0.258345379,0.256634031,0.254922684,0.255641293,0.257626769,0.258345379,0.256634031,0.437244204,0.437962875,0.439948521,0.440667192,0.438955698,0.254922684,0.255641293,0.257626769,0.258345379,0.256634031,0.254922684,0.255641293,0.257626769,0.258345379,0.256634031,0.198935998,0.223163905,0.290104158,0.314332065,0.256634031
1969,0.248748651,0.249465598,0.251446482,0.252163429,0.25045604,0.248748651,0.249465598,0.251446482,0.252163429,0.25045604,0.445857949,0.446574993,0.448556144,0.449273189,0.447565569,0.248748651,0.249465598,0.251446482,0.252163429,0.25045604,0.248748651,0.249465598,0.251446482,0.252163429,0.25045604,0.192876548,0.217054679,0.283857402,0.308035532,0.25045604
1970,0.264164957,0.264859053,0.266776798,0.267470894,0.265817926,0.264164957,0.264859053,0.266776798,0.267470894,0.265817926,0.45346912,0.454163226,0.456081,0.456775106,0.455122113,0.264164957,0.264859053,0.266776798,0.267470894,0.265817926,0.264164957,0.264859053,0.266776798,0.267470894,0.265817926,0.209034294,0.232878236,0.298757616,0.322601558,0.265817926
1971,0.296494337,0.297184129,0.299089983,0.299779775,0.298137056,0.296494337,0.297184129,0.299089983,0.299779775,0.298137056,0.438240657,0.438930362,0.440835976,0.441525681,0.439883169,0.296494337,0.297184129,0.299089983,0.299779775,0.298137056,0.296494337,0.297184129,0.299089983,0.299779775,0.298137056,0.241484188,0.265273221,0.331000891,0.354789924,0.298137056
1972,0.324239105,0.324929408,0.326836676,0.327526979,0.325883042,0.324239105,0.324929408,0.326836676,0.327526979,0.325883042,0.44530852,0.445998677,0.447905539,0.448595696,0.446952108,0.324239105,0.324929408,0.326836676,0.327526979,0.325883042,0.324239105,0.324929408,0.326836676,0.327526979,0.325883042,0.269227659,0.293017748,0.358748336,0.382538425,0.325883042
1973,0.332742054,0.333432526,0.335340257,0.336030728,0.334386391,0.332742054,0.333432526,0.335340257,0.336030728,0.334386391,0.460365745,0.46105606,0.462963357,0.463653671,0.462009708,0.332742054,0.333432526,0.335340257,0.336030728,0.334386391,0.332742054,0.333432526,0.335340257,0.336030728,0.334386391,0.277774967,0.301546597,0.367226185,0.390997815,0.334386391
1974,0.313847912,0.314537795,0.3164439,0.317133784,0.315490848,0.313847912,0.314537795,0.3164439,0.317133784,0.315490848,0.487905338,0.488595082,0.490500801,0.491190545,0.489547942,0.313847912,0.314537795,0.3164439,0.317133784,0.315490848,0.313847912,0.314537795,0.3164439,0.317133784,0.315490848,0.2589384,0.282685266,0.348296429,0.372043295,0.315490848
1975,0.272813049,0.27350076,0.275400863,0.276088574,0.274450811,0.272813049,0.27350076,0.275400863,0.276088574,0.274450811,0.492403485,0.493091151,0.494991132,0.495678798,0.494041141,0.272813049,0.27350076,0.275400863,0.276088574,0.274450811,0.272813049,0.27350076,0.275400863,0.276088574,0.274450811,0.217986195,0.241696179,0.307205443,0.330915428,0.274450811
1976,0.261673097,0.262356994,0.26424656,0.264930457,0.263301777,0.261673097,0.262356994,0.26424656,0.264930457,0.263301777,0.479726624,0.480410432,0.482299751,0.482983559,0.481355092,0.261673097,0.262356994,0.26424656,0.264930457,0.263301777,0.261673097,0.262356994,0.26424656,0.264930457,0.263301777,0.206974337,0.23062672,0.295976834,0.319629217,0.263301777
1977,0.272014079,0.272697766,0.274586752,0.275270439,0.273642259,0.272014079,0.272697766,0.274586752,0.275270439,0.273642259,0.473524152,0.474207683,0.476096239,0.47677977,0.475151961,0.272014079,0.272697766,0.274586752,0.275270439,0.273642259,0.272014079,0.272697766,0.274586752,0.275270439,0.273642259,0.217281821,0.24094806,0.306336458,0.330002697,0.273642259
1978,0.296457234,0.297144331,0.29904274,0.299729837,0.298093535,0.296457234,0.297144331,0.29904274,0.299729837,0.298093535,0.471366943,0.472053871,0.47395181,0.474638737,0.47300284,0.296457234,0.297144331,0.29904274,0.299729837,0.298093535,0.296457234,0.297144331,0.29904274,0.299729837,0.298093535,0.241603842,0.265324357,0.330862714,0.354583229,0.298093535
1979,0.301584241,0.302267254,0.304154375,0.304837388,0.303210814,0.301584241,0.302267254,0.304154375,0.304837388,0.303210814,0.464896941,0.465579773,0.467466397,0.468149229,0.466523085,0.301584241,0.302267254,0.304154375,0.304837388,0.303210814,0.301584241,0.302267254,0.304154375,0.304837388,0.303210814,0.246963339,0.270582144,0.335839485,0.35945829,0.303210814
1980,0.311193684,0.311877961,0.313768578,0.314452856,0.31282327,0.311193684,0.311877961,0.313768578,0.314452856,0.31282327,0.453793475,0.454477573,0.456367696,0.457051795,0.455422635,0.311193684,0.311877961,0.313768578,0.314452856,0.31282327,0.311193684,0.311877961,0.313768578,0.314452856,0.31282327,0.256550963,0.280180195,0.345466345,0.369095577,0.31282327
1981,0.317687999,0.318371838,0.320261244,0.320945083,0.319316541,0.317687999,0.318371838,0.320261244,0.320945083,0.319316541,0.460180687,0.460864361,0.462753313,0.463436987,0.461808837,0.317687999,0.318371838,0.320261244,0.320945083,0.319316541,0.317687999,0.318371838,0.320261244,0.320945083,0.319316541,0.26309397,0.286702317,0.351930764,0.375539112,0.319316541
1982,0.279668298,0.2803528,0.282244039,0.282928541,0.28129842,0.279668298,0.2803528,0.282244039,0.282928541,0.28129842,0.474232518,0.474916966,0.476808056,0.477492504,0.475862511,0.279668298,0.2803528,0.282244039,0.282928541,0.28129842,0.279668298,0.2803528,0.282244039,0.282928541,0.28129842,0.225009613,0.248645773,0.313951066,0.337587226,0.28129842
1983,0.218378675,0.219061681,0.220948786,0.221631792,0.220005234,0.218378675,0.219061681,0.220948786,0.221631792,0.220005234,0.472984551,0.473667655,0.475555031,0.476238135,0.474611343,0.218378675,0.219061681,0.220948786,0.221631792,0.220005234,0.218378675,0.219061681,0.220948786,0.221631792,0.220005234,0.16376814,0.187382586,0.252627882,0.276242327,0.220005234
1984,0.193185202,0.193867266,0.195751769,0.196433833,0.194809517,0.193185202,0.193867266,0.195751769,0.196433833,0.194809517,0.458601742,0.459283867,0.461168538,0.461850664,0.460226203,0.193185202,0.193867266,0.195751769,0.196433833,0.194809517,0.193185202,0.193867266,0.195751769,0.196433833,0.194809517,0.138590504,0.162197357,0.227421677,0.251028531,0.194809517
1985,0.194660417,0.195342916,0.19722862,0.197911119,0.196285768,0.194660417,0.195342916,0.19722862,0.197911119,0.196285768,0.432511191,0.433193654,0.43507926,0.435761723,0.434136457,0.194660417,0.195342916,0.19722862,0.197911119,0.196285768,0.194660417,0.195342916,0.19722862,0.197911119,0.196285768,0.140053468,0.163665901,0.228905635,0.252518068,0.196285768
1986,0.186844784,0.187526503,0.18941005,0.190091768,0.188468276,0.186844784,0.187526503,0.18941005,0.190091768,0.188468276,0.411679038,0.412360684,0.414244032,0.414925678,0.413302358,0.186844784,0.187526503,0.18941005,0.190091768,0.188468276,0.186844784,0.187526503,0.18941005,0.190091768,0.188468276,0.1322911,0.155880386,0.221056167,0.244645452,0.188468276
1987,0.193735705,0.194414265,0.196289085,0.196967645,0.195351675,0.193735705,0.194414265,0.196289085,0.196967645,0.195351675,0.420242666,0.420921109,0.422795608,0.423474052,0.421858359,0.193735705,0.194414265,0.196289085,0.196967645,0.195351675,0.193735705,0.194414265,0.196289085,0.196967645,0.195351675,0.139309836,0.162842292,0.227861058,0.251393514,0.195351675
1988,0.222920157,0.223599288,0.225475685,0.226154816,0.224537486,0.222920157,0.223599288,0.225475685,0.226154816,0.224537486,0.437579276,0.438258254,0.440134229,0.440813206,0.439196241,0.222920157,0.223599288,0.225475685,0.226154816,0.224537486,0.222920157,0.223599288,0.225475685,0.226154816,0.224537486,0.168450742,0.192002055,0.257072918,0.280624231,0.224537486
1989,0.240380125,0.241063176,0.242950407,0.243633458,0.242006792,0.240380125,0.241063176,0.242950407,0.243633458,0.242006792,0.445618104,0.446300976,0.448187712,0.448870584,0.447244344,0.240380125,0.241063176,0.242950407,0.243633458,0.242006792,0.240380125,0.241063176,0.242950407,0.243633458,0.242006792,0.18576383,0.20938074,0.274632843,0.298249753,0.242006792
1990,0.224104921,0.224784779,0.226663185,0.227343043,0.225723982,0.224104921,0.224784779,0.226663185,0.227343043,0.225723982,0.439507669,0.440187336,0.442065214,0.442744881,0.441126275,0.224104921,0.224784779,0.226663185,0.227343043,0.225723982,0.224104921,0.224784779,0.226663185,0.227343043,0.225723982,0.16959406,0.193163504,0.258284461,0.281853904,0.225723982
1991,0.158952421,0.159633611,0.161515698,0.162196889,0.160574655,0.158952421,0.159633611,0.161515698,0.162196889,0.160574655,0.427780198,0.428461416,0.430343579,0.431024796,0.429402497,0.158952421,0.159633611,0.161515698,0.162196889,0.160574655,0.158952421,0.159633611,0.161515698,0.162196889,0.160574655,0.104397759,0.127986927,0.193162382,0.216751551,0.160574655
1992,0.011373163,0.012059934,0.013957442,0.014644214,0.013008688,0.011373163,0.012059934,0.013957442,0.014644214,0.013008688,0.406023233,0.406710455,0.408609208,0.40929643,0.407659831,0.011373163,0.012059934,0.013957442,0.014644214,0.013008688,0.011373163,0.012059934,0.013957442,0.014644214,0.013008688,-0.043350123,-0.019684567,0.045701943,0.069367499,0.013008688
1993,-0.031678956,-0.030999334,-0.02912158,-0.028441959,-0.030060457,-0.031678956,-0.030999334,-0.02912158,-0.028441959,-0.030060457,0.402934788,0.403614776,0.405493542,0.40617353,0.404554159,-0.031678956,-0.030999334,-0.02912158,-0.028441959,-0.030060457,-0.031678956,-0.030999334,-0.02912158,-0.028441959,-0.030060457,-0.086163222,-0.062605182,0.002484268,0.026042307,-0.030060457
1994,-0.003327589,-0.00264958,-0.000776282,-9.83E-05,-0.001712931,-0.003327589,-0.00264958,-0.000776282,-9.83E-05,-0.001712931,0.408081382,0.408759492,0.410633071,0.411311181,0.409696282,-0.003327589,-0.00264958,-0.000776282,-9.83E-05,-0.001712931,-0.003327589,-0.00264958,-0.000776282,-9.83E-05,-0.001712931,-0.057781737,-0.034237957,0.030812095,0.054355875,-0.001712931
