year,aer_p5,aer_p17,aer_p83,aer_p95,aer_p50,ghg_p5,ghg_p17,ghg_p83,ghg_p95,ghg_p50,ohf_p5,ohf_p17,ohf_p83,ohf_p95,ohf_p50,ant_p5,ant_p17,ant_p83,ant_p95,ant_p50,nat_p5,nat_p17,nat_p83,nat_p95,nat_p50,tot_p5,tot_p17,tot_p83,tot_p95,tot_p50
1850,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0
1851,-0.09839752186240958,-0.061430514487767596,0.04070710730360361,0.07767411467824559,-0.010361703592081994,-0.06368219748952697,-0.030569626387091375,0.06091841941349685,0.09403099051593244,0.015174396513202737,-0.05652614322440286,-0.025876697080036593,0.05880588235305595,0.08945532849742222,0.01646459263650968,-0.054827644254999086,-0.026596480458010774,0.05140453004855772,0.07963569384554603,0.012404024795273472,-0.05613952092198815,-0.024830642286133298,0.06167390952691676,0.09298278816277161,0.01842163362039173,-0.04405380812272597,-0.015823818597084482,0.06217394746835225,0.09040393699399374,0.023175064435633885
1852,-0.15090853386971048,-0.09139417130046468,0.07304043909806524,0.13255480166731104,-0.009176866101199721,-0.09080326577509368,-0.04351994111686963,0.08712104591336356,0.1344043705715876,0.021800552398246964,-0.06589387815176906,-0.02366662936844932,0.09300472359791456,0.1352319723812343,0.03466904711473262,-0.06311943677729914,-0.028523692253941135,0.06706227265527787,0.10165801717863587,0.019269290200668365,-0.05182710310867833,-0.013559492777460491,0.0921716168914486,0.13043922722266643,0.03930606205699405,-0.035229119251027896,-0.0006334014585718251,0.09495248959478886,0.12954820738724493,0.047159544068108517
1853,-0.18598217756192525,-0.11465492568777336,0.08241798858682614,0.15374524046097804,-0.016118468550473608,-0.1408687184184032,-0.07978021365551058,0.08900365710888991,0.15009216187178254,0.004611721726689666,-0.06511600295988274,-0.017488393295593596,0.11410383253451073,0.16173144219879987,0.04830771961945857,-0.06962320142378076,-0.03317266711957245,0.06753797058837563,0.10398850489258393,0.01718265173440159,-0.036747265448468625,0.003880164402005448,0.11613131371365171,0.15675874356412578,0.06000573905782858,-0.027617643072744613,0.00883641453430073,0.10955678691624371,0.14601084452328905,0.05919660072527222
1854,-0.20372715523586749,-0.11832841581349385,0.11762317367208652,0.20302191309446016,-0.00035262107070366255,-0.17402964614052507,-0.10495254924018127,0.08590332194643224,0.15498041884677605,-0.009524613646874514,-0.05568816038692148,-0.0027887737145420033,0.14336905545940226,0.19626844213178174,0.07029014087243013,-0.07580797829012909,-0.0397512071294841,0.05987148665519726,0.09592825781584224,0.01006013976285658,-0.05160314546259315,-0.009436122475108277,0.10706883023340197,0.14923585322088684,0.048816353879146845,-0.02304243226529934,0.013029175783003666,0.11269286299761916,0.14876447104592216,0.06286101939031141
1855,-0.23249453280180887,-0.13619864746209487,0.12986110190314548,0.2261569872428595,-0.0031687727794746934,-0.18650948280509283,-0.10434509041931506,0.12267019240198351,0.2048345847877613,0.009162550991334228,-0.0787908064114049,-0.021899573840073572,0.13528748587305017,0.1921787184443815,0.0566939560164883,-0.08016052661156436,-0.04516876128224112,0.05151138533591393,0.08650315066523717,0.0031713120268364037,-0.06079649188791336,-0.01726169540859246,0.10302233333379718,0.14655712981311808,0.04288031896260236,-0.021123535607102895,0.01391432692332728,0.11072183734029295,0.14575969987072313,0.062318082131810115
1856,-0.2376992179640638,-0.14437636790779607,0.1134690634773392,0.20679191353360693,-0.01545365221522843,-0.22544655016190518,-0.13529044824565517,0.11380544816734073,0.20396155008359074,-0.010742500039157221,-0.08153399723795474,-0.026494590543222785,0.12557598546055715,0.1806153921552891,0.04954069745866718,-0.09173653737667564,-0.05803237988368437,0.035090183593752045,0.06879434108674332,-0.011471098144966163,-0.06503553069450163,-0.026761574446823033,0.07898706860839866,0.11726102485607726,0.026112747080787813,-0.06423689418897993,-0.030431398740859095,0.06297115542184883,0.09677665086996967,0.01626987834049487
1857,-0.24660760808762916,-0.149672381647747,0.11815382878990022,0.2150890552297824,-0.015759276428923386,-0.21757134998114225,-0.13686962458899643,0.08610439715067741,0.16680612254282323,-0.025382613719159508,-0.08531904809740354,-0.02934479731891315,0.12530869675833856,0.18128294753682894,0.0479819497197127,-0.11036404039919034,-0.07803346438868175,0.011293975925582345,0.04362455193609094,-0.0333697442315497,-0.08612454715176909,-0.050261497828614665,0.048825954150629514,0.08468900347378394,-0.0007177718389925758,-0.14138091570521283,-0.1088483473598103,-0.0189628143522782,0.013569753993124323,-0.06390558085604425
1858,-0.23541496553860952,-0.14404355106779576,0.10841018096340349,0.19978159543421725,-0.017816685052196135,-0.23211588764240787,-0.1508529297825021,0.07367174356778605,0.15493470142769183,-0.03859059310735802,-0.07939430262439373,-0.02640464658708197,0.12000259142229197,0.17299224745960373,0.046798972417605,-0.09335609850228366,-0.062357458892790874,0.023289921118077928,0.05428856072757071,-0.019533768887356473,-0.09832337468202468,-0.05854732580047539,0.051351509013045415,0.0911275578945947,-0.003597908393714988,-0.1465898354317119,-0.11522045704759876,-0.028548748062462437,0.0028206303216506967,-0.0718846025550306
1859,-0.2169432069279651,-0.13698892222015502,0.08391996578683347,0.16387425049464355,-0.026534478216660773,-0.22756638507507887,-0.1447953126852326,0.08389619056094944,0.1666672629507957,-0.030449561062141584,-0.07008556958265899,-0.02252187832539221,0.10889374478415448,0.15645743604142126,0.043185933229381135,-0.06830817473229445,-0.038550470183110974,0.043668280764620704,0.07342598531380418,0.002558905290754865,-0.11279250420830067,-0.06309242372594781,0.07422591453882887,0.12392599502118173,0.005566745406440532,-0.111915716012561,-0.08156911734971573,0.0022767126756093603,0.03262331133845464,-0.03964620233705318
