experiment,approach,firstcross1,firstcross2,firstcross5,kl,ncrosses,rmse
fut_ESM1-2-LR_SSP126_constVolc,inverse_variance,0.24959279713469795,0.46780780977408626,0.8299771241357724,0.46924415804056485,1.26,0.03442846156147064
fut_ESM1-2-LR_SSP126_constVolc,sharpened_blended,0.23406583987755028,0.4384342652109666,0.7991245002146844,0.4968295643902873,1.34,0.03490111707942395
fut_ESM1-2-LR_SSP245_constVolc,inverse_variance,0.594111219333199,0.8637034465552701,0.9921655040529767,0.32303117054899555,1.0,0.029814532562886447
fut_ESM1-2-LR_SSP245_constVolc,sharpened_blended,0.566393638172924,0.8680593960781512,0.9910003490824711,0.45001713410895194,1.0,0.033660558843859566
fut_ESM1-2-LR_SSP370_constVolc,inverse_variance,0.6008652185360194,0.8757524056081882,0.9999999021170831,0.2727631527900834,1.06,0.03397072019875803
fut_ESM1-2-LR_SSP370_constVolc,sharpened_blended,0.6091865104485188,0.9004168975262015,0.9999999988279327,0.6635447813112922,1.04,0.03292701925113783
fut_NorESM_RCP45_Volc,inverse_variance,0.3061564159037172,0.5599541632681692,0.8907262322364599,0.6469543886830664,1.1016949152542372,0.0493840872460938
fut_NorESM_RCP45_Volc,sharpened_blended,0.34393443501137033,0.6263468824087711,0.9460332110944161,0.8152942078209227,1.0338983050847457,0.04690003045411302
fut_NorESM_RCP45_VolcConst,inverse_variance,0.585940768276602,0.8902605452842972,0.99999965806632,0.3988392604071614,1.0169491525423728,0.028372983600309987
fut_NorESM_RCP45_VolcConst,sharpened_blended,0.549488597937778,0.8651841695814219,0.9999938660859488,0.4025908088482621,1.0169491525423728,0.027702419056302108
