experiment,approach,firstcross1,firstcross2,firstcross5,kl,ncrosses,rmse
fut_ESM1-2-LR_SSP126_constVolc,inverse_variance,0.2360728909212579,0.4441352716743917,0.8075730745410494,0.4620932942357308,1.4,0.033914897114344505
fut_ESM1-2-LR_SSP126_constVolc,sharpened_blended,0.22375015864383122,0.4251257118897117,0.797616620242327,0.5349320053761544,1.5,0.03581407351149732
fut_ESM1-2-LR_SSP245_constVolc,inverse_variance,0.5879575182646817,0.8719780614762852,0.992205758559314,0.3367787534059082,1.0,0.031029812756371466
fut_ESM1-2-LR_SSP245_constVolc,sharpened_blended,0.519666367282648,0.8312269925003148,0.9866266768846556,0.49943052299797797,1.02,0.03498266047512585
fut_ESM1-2-LR_SSP370_constVolc,inverse_variance,0.6273094238627439,0.8973490734868731,0.9999999453879441,0.24322392361839343,1.08,0.03157689944309899
fut_ESM1-2-LR_SSP370_constVolc,sharpened_blended,0.594959249657446,0.8906435839567016,0.9999999628051103,0.6903620308157776,1.08,0.03436133326161176
fut_NorESM_RCP45_Volc,inverse_variance,0.31496447926416715,0.5714268016690787,0.8879353975957178,0.659350223249558,1.0833333333333333,0.05004878149512148
fut_NorESM_RCP45_Volc,sharpened_blended,0.3283970711439216,0.5963518901147948,0.9194117950686056,0.8114531531781827,1.1,0.04628771037397682
fut_NorESM_RCP45_VolcConst,inverse_variance,0.5901606688176877,0.9069378964695326,0.9999999939070346,0.3999157365468241,1.0333333333333334,0.028482501542114482
fut_NorESM_RCP45_VolcConst,sharpened_blended,0.5720302160667764,0.8671781764232135,0.9999595563139299,0.41384106806625826,1.0166666666666666,0.028409527555125755
