Time,Mean,Ensemble_uncertainty_(1sigma),Coverage_uncertainty_(1sigma),Total_uncert_(1sigma)
1854.5,-0.319686694,0.040907927,0.014813142,0.043507329
1855.5,-0.316932072,0.040251565,0.01448638,0.04277901
1856.5,-0.336508386,0.040058857,0.014705482,0.042672746
1857.5,-0.367205419,0.039352768,0.014804078,0.042045226
1858.5,-0.37459438,0.038736177,0.015474914,0.04171288
1859.5,-0.391988804,0.040130659,0.016003395,0.043203917
1860.5,-0.395545261,0.04150051,0.016777151,0.044763435
1861.5,-0.397638639,0.042677523,0.017329345,0.046061667
1862.5,-0.386615046,0.043878483,0.017982441,0.047420348
1863.5,-0.38292119,0.044697911,0.018366217,0.048324126
1864.5,-0.386453868,0.046557756,0.01846692,0.050086443
1865.5,-0.380230103,0.046886463,0.018368422,0.050356126
1866.5,-0.374175085,0.046693631,0.018025945,0.050052271
1867.5,-0.353349203,0.045754882,0.017688588,0.049055024
1868.5,-0.353054487,0.044388123,0.016832474,0.047472494
1869.5,-0.3438331,0.043007672,0.016179789,0.045950467
1870.5,-0.348147562,0.042943231,0.015167512,0.045543106
1871.5,-0.356429802,0.042719686,0.014245852,0.045032387
1872.5,-0.330841274,0.041168694,0.013137128,0.04321395
1873.5,-0.296790079,0.040173831,0.0122232,0.041992181
1874.5,-0.295494316,0.039515668,0.011719433,0.041216903
1875.5,-0.294284768,0.039489805,0.011498394,0.041129768
1876.5,-0.280653044,0.039174504,0.01124543,0.040756613
1877.5,-0.277394994,0.039773277,0.010938771,0.041250095
1878.5,-0.277912744,0.039702917,0.010748904,0.041132232
1879.5,-0.28981963,0.039204149,0.01044693,0.040572203
1880.5,-0.299369394,0.038570766,0.010192636,0.039894784
1881.5,-0.299048766,0.037590043,0.009784892,0.038842702
1882.5,-0.338816458,0.037882964,0.009543246,0.039066514
1883.5,-0.375622828,0.038372731,0.009380985,0.039502777
1884.5,-0.370248952,0.0383781,0.00927128,0.039482087
1885.5,-0.389351564,0.039028379,0.009180557,0.040093603
1886.5,-0.406258506,0.040193707,0.009183151,0.041229411
1887.5,-0.427461348,0.040970425,0.009341457,0.042021881
1888.5,-0.44227583,0.042381243,0.00946457,0.043425198
1889.5,-0.441420217,0.044009911,0.009650135,0.045055492
1890.5,-0.439183019,0.044971514,0.00991495,0.046051529
1891.5,-0.425493385,0.046572846,0.010145489,0.047665092
1892.5,-0.401594826,0.047511332,0.010357816,0.048627267
1893.5,-0.41223615,0.048692017,0.010413878,0.049793187
1894.5,-0.422789958,0.049664028,0.010337631,0.050728516
1895.5,-0.395553531,0.050052043,0.010271604,0.051095136
1896.5,-0.384763061,0.050305545,0.010138136,0.051316953
1897.5,-0.377902864,0.050380174,0.00995061,0.051353447
1898.5,-0.381769652,0.050073869,0.009829633,0.051029541
1899.5,-0.393144364,0.049537039,0.009586766,0.050456162
1900.5,-0.389048526,0.049677906,0.009273808,0.050536104
1901.5,-0.392558676,0.049731062,0.009092766,0.050555484
1902.5,-0.416986289,0.048854,0.008866865,0.049652136
1903.5,-0.419789046,0.048121099,0.00874913,0.048909994
1904.5,-0.437814397,0.04664504,0.008762641,0.047460969
1905.5,-0.467455957,0.045530076,0.008733569,0.046360145
1906.5,-0.492022833,0.044041439,0.008686426,0.044889891
1907.5,-0.495681044,0.042233988,0.008632147,0.043107119
1908.5,-0.489053444,0.041529794,0.008590875,0.042409043
1909.5,-0.455545996,0.040795711,0.008651548,0.04170299
1910.5,-0.433933893,0.040009585,0.008878364,0.040982829
1911.5,-0.444025329,0.039597853,0.009240256,0.040661681
1912.5,-0.447899669,0.03993031,0.009819924,0.041120075
