YEAR,DJ,JF,FM,MA,AM,MJ,JJ,JA,AS,SO,ON,ND,Avg
1899,-0.608,-0.694,-0.539,-0.245,0.03,0.182,0.482,0.883,1.114,0.966,0.906,1.079,0.296333333
1900,1.056,1.05,1.187,1.46,1.713,1.653,1.361,0.688,0.314,0.354,0.467,0.438,0.978416667
1901,0.612,0.533,0.156,-0.09,-0.013,-0.062,-0.112,0.074,-0.121,-0.383,-0.576,-0.425,-0.033916667
1902,-0.328,-0.256,0.098,0.487,0.955,1.519,1.917,1.591,1.395,1.706,2.039,1.713,1.069666667
1903,0.925,0.853,0.978,0.606,-0.058,-0.397,-0.46,-0.657,-0.495,-0.504,-0.784,-0.925,-0.0765
1904,-1.194,-1.251,-1.09,-0.924,-0.563,-0.208,0.3,0.657,0.707,0.812,0.743,0.736,-0.10625
1905,0.789,0.893,1.124,1.261,1.129,1.457,1.954,1.869,1.641,1.482,1.221,1.232,1.337666667
1906,1.053,0.664,0.512,0.477,0.37,0.169,-0.28,-0.492,-0.792,-1.184,-0.874,-0.674,-0.087583333
1907,-0.828,-0.727,-0.669,-0.89,-1.016,-0.923,-0.511,-0.008,0.143,0.024,-0.356,-0.466,-0.518916667
1908,-0.447,-0.465,-0.644,-0.988,-1.306,-1.32,-0.873,-0.672,-0.885,-1.004,-1.064,-1.282,-0.9125
1909,-1.029,-0.613,-0.677,-0.914,-0.975,-1.203,-1.5,-1.673,-1.753,-1.6,-1.532,-1.498,-1.24725
1910,-1.385,-1.42,-1.623,-1.813,-1.911,-1.985,-2.008,-1.65,-1.488,-1.611,-1.426,-1.348,-1.639
1911,-1.196,-0.728,-0.55,-1.047,-1.55,-1.556,-0.919,-0.05,0.301,0.502,0.744,0.789,-0.438333333
1912,0.913,1.004,0.798,0.619,0.36,-0.306,-0.58,-0.569,-0.285,0.003,0.003,-0.048,0.159333333
1913,-0.019,0.194,0.17,-0.548,-0.944,-0.376,0.056,0.342,0.681,0.531,0.548,0.78,0.117916667
1914,0.805,0.809,0.796,0.604,0.451,0.354,0.613,1.219,1.328,0.974,1.028,1.257,0.853166667
1915,1.308,1.173,0.885,1.091,1.556,1.552,0.983,0.523,0.21,-0.317,-0.688,-0.589,0.640583333
1916,-0.405,-0.675,-0.993,-0.872,-0.851,-1.053,-1.498,-2.099,-2.173,-1.773,-1.678,-1.899,-1.33075
1917,-1.915,-1.764,-1.606,-1.572,-1.745,-1.713,-1.127,-0.967,-1.093,-1.116,-1.127,-1.202,-1.41225
1918,-1.328,-1.138,-0.949,-0.787,-0.574,-0.055,1.046,1.479,1.052,0.969,1.051,1.158,0.160333333
1919,1.527,1.753,1.538,1.083,1.026,1.279,1.224,1.151,0.995,0.81,0.5,0.145,1.085916667
1920,0.265,0.564,0.663,0.567,0.347,0.248,-0.197,-0.342,-0.235,-0.3,-0.054,0.037,0.13025
1921,0.034,-0.052,-0.638,-1.124,-0.834,-0.578,-0.605,-0.563,-0.595,-0.617,-0.368,-0.296,-0.519666667
1922,-0.483,-0.565,-0.365,-0.044,0.029,-0.223,-0.492,-0.401,-0.37,-0.506,-0.465,-0.691,-0.381333333
1923,-0.838,-0.623,-0.517,-0.528,-0.41,-0.035,0.494,0.788,0.895,0.92,1.021,0.929,0.174666667
1924,0.664,0.409,0.124,-0.216,-0.685,-1.093,-1.244,-1.448,-1.458,-0.996,-0.845,-0.956,-0.645333333
1925,-0.954,-0.79,-0.482,-0.134,0.048,0.025,0.217,0.802,1.286,1.511,1.511,1.588,0.385666667
1926,1.407,1.35,1.602,1.71,1.33,1.06,1.067,0.685,0.179,-0.03,-0.025,-0.001,0.861166667
1927,0.014,0.158,0.193,-0.274,-0.399,-0.239,-0.405,-0.195,0.162,0.206,0.376,0.343,-0.005
1928,0.312,0.476,0.346,-0.001,-0.131,0.071,0.346,0.06,-0.471,-0.466,-0.296,-0.161,0.007083333
1929,-0.064,-0.054,-0.189,-0.237,0.076,0.418,0.557,0.734,0.845,0.677,0.459,0.468,0.3075
1930,0.506,0.552,0.767,1.038,1.199,1.054,1.143,1.395,1.507,1.652,1.723,1.925,1.205083333
1931,1.915,1.855,1.955,1.905,1.496,0.877,0.425,0.262,0.172,0.179,0.248,0.197,0.957166667
1932,0.187,0.276,0.485,0.787,0.964,0.998,1.114,1.025,0.483,-0.05,-0.147,-0.023,0.50825
1933,-0.059,-0.126,-0.396,-0.497,-0.388,-0.671,-0.769,-0.827,-1.014,-1.001,-0.987,-1.093,-0.652333333
1934,-1.251,-1.214,-1.007,-0.651,-0.246,-0.074,-0.133,-0.174,0.037,0.114,-0.084,-0.141,-0.402
1935,-0.197,-0.331,-0.511,-0.508,-0.11,0.096,-0.055,0.017,0.322,0.412,0.364,0.372,-0.01075
1936,0.193,0.156,0.319,0.44,0.513,0.474,0.292,0.249,0.206,0.138,0.258,0.361,0.299916667
1937,0.34,0.206,0.218,0.082,-0.13,-0.277,-0.292,-0.071,0.186,0.26,0.157,-0.081,0.049833333
1938,-0.277,-0.408,-0.477,-0.68,-0.971,-1.035,-1.25,-1.392,-1.198,-0.787,-0.595,-0.714,-0.815333333
1939,-0.786,-0.824,-0.979,-0.93,-0.433,0.033,0.269,0.579,0.877,0.715,0.313,0.313,-0.071083333
1940,0.658,0.921,1.163,1.419,1.441,1.419,1.352,1.119,0.988,0.965,0.873,0.967,1.107083333
1941,1.35,1.55,1.793,2.07,2.269,2.001,1.496,1.522,1.514,1.435,1.629,1.605,1.686166667
1942,1.324,1.029,0.87,0.798,0.41,-0.262,-0.706,-0.879,-0.908,-0.968,-1.089,-1.165,-0.128833333
1943,-1.257,-1.166,-0.846,-0.463,-0.004,0.375,0.504,0.145,-0.179,-0.363,-0.428,-0.347,-0.33575
1944,-0.289,-0.035,0.22,0.258,0.239,0.161,0.108,0.029,-0.257,-0.273,-0.256,-0.425,-0.043333333
1945,-0.395,-0.41,-0.471,-0.425,-0.193,0.024,-0.362,-0.645,-0.462,-0.01,0.234,-0.018,-0.261083333
1946,-0.213,-0.247,-0.223,-0.158,-0.214,-0.193,-0.072,-0.043,0.141,0.36,0.33,0.212,-0.026666667
1947,0.197,0.111,-0.116,-0.301,-0.382,-0.157,-0.177,-0.476,-0.633,-0.67,-0.541,-0.406,-0.295916667
1948,-0.063,0.326,0.606,0.569,0.259,0.18,0.067,-0.042,-0.027,-0.083,-0.279,-0.175,0.1115
1949,0.066,-0.063,-0.252,-0.133,0.194,0.007,-0.519,-0.698,-0.611,-0.726,-0.957,-0.924,-0.384666667
1950,-0.941,-1.131,-1.347,-1.377,-1.282,-1.232,-1.538,-1.797,-1.433,-1.03,-1.109,-1.378,-1.299583333
1951,-1.264,-1.18,-1.176,-0.795,-0.13,0.382,0.782,1.116,1.233,1.04,0.867,0.738,0.134416667
1952,0.613,0.565,0.449,0.437,0.434,0.017,-0.303,-0.251,0.004,0.178,-0.035,-0.119,0.16575
1953,0.154,0.403,0.59,0.69,0.758,0.581,0.31,0.447,0.778,0.568,0.104,0.138,0.460083333
1954,0.103,-0.137,-0.024,0.137,-0.065,-0.419,-0.838,-1.041,-0.962,-0.954,-1.049,-1.155,-0.533666667
1955,-0.955,-0.858,-1.147,-1.292,-1.497,-1.887,-1.749,-1.543,-1.647,-1.96,-2.081,-1.965,-1.548416667
1956,-1.763,-1.614,-1.532,-1.329,-1.366,-1.538,-1.371,-0.898,-0.754,-0.95,-1.076,-0.947,-1.2615
1957,-0.736,-0.387,0.049,0.41,0.792,1.371,1.628,1.551,1.436,1.152,1.157,1.312,0.81125
1958,1.478,1.549,1.505,1.38,1.5,1.602,1.419,1.02,0.604,0.424,0.373,0.534,1.115666667
1959,0.639,0.747,0.86,0.748,0.797,0.864,0.549,0.308,0.232,0.142,0.048,-0.125,0.484083333
1960,-0.07,0.073,0.106,0.167,0.177,0.071,-0.078,-0.303,-0.253,-0.256,-0.286,-0.197,-0.07075
1961,-0.011,0.016,-0.065,0.156,0.273,0.193,0.087,0.108,0.006,-0.396,-0.508,-0.526,-0.055583333
1962,-0.894,-0.891,-0.434,-0.436,-0.975,-0.894,-0.408,-0.408,-0.534,-0.59,-0.616,-0.3,-0.615
1963,-0.371,-0.579,-0.461,-0.233,0.037,0.232,0.508,0.91,1.059,1.11,1.07,0.974,0.354666667
1964,0.933,0.73,0.25,-0.349,-0.827,-1.093,-1.277,-1.289,-1.191,-1.171,-1.059,-0.895,-0.603166667
1965,-0.66,-0.333,-0.132,0.076,0.519,1.025,1.363,1.731,1.73,1.42,1.523,1.726,0.832333333
1966,1.682,1.526,1.213,0.889,0.823,0.648,0.357,0.264,0.076,-0.05,0.07,0.023,0.62675
1967,-0.208,-0.501,-0.753,-0.727,-0.55,-0.582,-0.741,-0.828,-0.837,-0.785,-0.591,-0.372,-0.622916667
1968,-0.456,-0.62,-0.658,-0.759,-0.733,-0.525,-0.544,-0.338,0.204,0.619,0.726,0.655,-0.202416667
1969,0.755,1.04,1.027,0.941,1.092,1.219,1.077,0.906,0.857,0.831,0.76,0.744,0.937416667
1970,0.675,0.575,0.439,0.309,0.09,-0.501,-1.153,-1.347,-1.228,-1.1,-1.06,-1.128,-0.452416667
1971,-1.281,-1.563,-1.873,-1.979,-1.764,-1.534,-1.304,-1.041,-1.296,-1.398,-1.102,-0.986,-1.42675
1972,-0.651,-0.258,-0.146,0.08,0.751,1.546,2.087,2.209,2.068,1.88,1.844,2.008,1.118166667
1973,2.023,1.756,1.303,0.743,0.154,-0.52,-1.077,-1.363,-1.664,-1.742,-1.591,-1.768,-0.312166667
1974,-2.024,-2.188,-2.088,-1.802,-1.241,-0.821,-0.976,-0.858,-0.543,-0.815,-1.094,-1.033,-1.29025
1975,-0.703,-0.479,-0.625,-0.953,-1.083,-1.168,-1.408,-1.744,-2.055,-2.27,-2.19,-1.909,-1.38225
1976,-1.764,-1.626,-1.459,-1.289,-0.777,-0.007,0.674,0.771,0.948,1.272,0.982,0.731,-0.128666667
1977,0.71,0.651,0.548,0.558,0.511,0.421,0.641,0.749,0.715,0.831,1.01,1.112,0.70475
1978,0.939,0.846,0.895,0.57,0.023,-0.235,-0.137,0.19,-0.056,-0.142,0.39,0.626,0.32575
1979,0.47,0.29,-0.05,0.21,0.27,-0.11,-0.11,0.47,0.38,0.23,0.53,0.63,0.2675
1980,0.33,0.2,0.39,0.51,0.45,0.55,0.47,0.03,0.12,0.02,-0.07,-0.12,0.24
1981,-0.36,-0.23,0.33,0.43,-0.24,-0.7,-0.61,-0.34,-0.07,-0.16,-0.27,-0.19,-0.200833333
1982,-0.43,-0.49,-0.27,-0.36,-0.12,0.62,1.65,1.91,1.69,1.78,2.14,2.37,0.874166667
1983,2.48,2.68,2.61,2.76,2.86,1.98,0.63,-0.17,-0.49,-0.53,-0.47,-0.5,1.153333333
1984,-0.54,-0.56,-0.16,0.07,-0.45,-0.66,-0.34,-0.2,-0.14,-0.19,-0.58,-0.28,-0.335833333
1985,-0.25,-0.58,-0.6,-0.76,-1.23,-0.67,-0.1,-0.49,-0.56,-0.08,-0.06,-0.42,-0.483333333
1986,-0.4,-0.34,-0.4,-0.53,-0.26,0.01,0.41,0.97,1.29,0.56,0.64,1.06,0.250833333
1987,1.03,1.16,1.57,1.74,1.96,2.07,1.88,1.46,1.26,1.18,0.9,0.79,1.416666667
1988,0.63,0.33,0.17,-0.01,-0.39,-1.17,-1.78,-1.81,-1.8,-1.59,-1.7,-1.55,-0.889166667
1989,-1.12,-1.1,-1.24,-1.09,-1.03,-0.99,-1.08,-0.66,-0.53,-0.49,-0.36,-0.07,-0.813333333
1990,0.13,0.45,0.61,0.17,0.08,0.05,0.13,0.02,0.22,-0.07,0.12,0.31,0.185
1991,0.19,0.08,0.2,0.2,0.35,0.97,0.91,0.37,0.54,0.97,1.04,1.23,0.5875
1992,1.68,1.58,1.71,1.97,1.68,1.51,0.62,-0.02,0.4,0.67,0.62,0.73,1.095833333
1993,0.79,0.89,0.77,0.98,1.47,1.51,0.9,0.6,0.61,0.96,0.7,0.27,0.870833333
1994,-0.01,-0.21,-0.23,0.01,-0.03,0.25,0.96,0.87,1.1,1.52,1.01,0.91,0.5125
1995,0.82,0.54,0.17,0.13,0.14,0.01,-0.29,-0.7,-0.94,-0.74,-0.77,-0.9,-0.210833333
1996,-0.85,-0.8,-0.66,-0.76,-0.85,-0.91,-0.83,-0.64,-0.31,-0.37,-0.34,-0.47,-0.649166667
1997,-0.65,-0.72,-0.3,0.15,0.71,2.34,2.26,2.26,2.2,2.06,2.14,2.11,1.213333333
1998,2.3,2.45,2.27,2.61,2.33,0.42,-1.53,-1.82,-1.4,-1.29,-1.34,-1.29,0.309166667
1999,-1.28,-1.2,-1.15,-1.16,-1.33,-1.26,-1.18,-1.03,-1.16,-1.33,-1.33,-1.43,-1.236666667
2000,-1.25,-1.26,-1.37,-0.9,-0.93,-1.18,-0.61,-0.08,-0.35,-0.52,-0.86,-0.79,-0.841666667
2001,-0.83,-0.86,-0.78,-0.55,-0.51,-0.73,0.04,0.38,-0.06,-0.22,-0.28,0.06,-0.361666667
2002,0.09,-0.26,-0.2,-0.36,-0.14,0.34,0.44,1.01,0.88,0.84,0.84,0.91,0.365833333
2003,0.82,0.63,0.53,-0.11,-0.61,-0.1,0.01,0.05,0.18,0.28,0.3,0.14,0.176666667
2004,0.19,-0.05,-0.43,-0.23,-0.46,-0.39,0.46,0.77,0.59,0.4,0.56,0.48,0.1575
2005,0.09,0.61,0.83,0.14,0.19,0.2,0,0.01,-0.02,-0.66,-0.7,-0.7,-0.000833333
2006,-0.64,-0.48,-0.62,-0.84,-0.42,-0.18,0.21,0.59,0.65,0.77,1,0.64,0.056666667
2007,0.64,0.39,-0.19,-0.32,-0.41,-0.83,-0.75,-0.9,-1.06,-1.13,-1.12,-1.19,-0.5725
2008,-1.06,-1.27,-1.52,-1.11,-0.99,-0.8,-0.78,-1.01,-1.02,-1.08,-0.98,-1.01,-1.0525
2009,-1.01,-0.85,-0.95,-0.81,-0.72,-0.05,0.56,0.56,0.42,0.56,1.04,0.95,-0.025
2010,0.93,1.28,1.33,0.49,-0.12,-1.29,-2.43,-2.38,-2.26,-2.16,-2.01,-1.86,-0.873333333
2011,-1.77,-1.59,-1.75,-1.69,-1.23,-1.02,-0.75,-0.81,-1.08,-1.3,-1.14,-1.18,-1.275833333
2012,-1.07,-0.68,-0.58,-0.38,-0.32,-0.28,0.34,-0.02,-0.29,-0.19,-0.03,-0.03,-0.294166667
2013,-0.06,-0.08,-0.12,-0.35,-0.68,-1.14,-0.79,-0.45,-0.33,-0.13,-0.16,-0.34,-0.385833333
2014,-0.5,-0.42,-0.05,-0.16,-0.17,0,0.42,0.23,-0.09,0.12,0.37,0.35,0.008333333
2015,0.23,0.06,0.15,0.31,0.95,1.9,1.79,1.95,2.24,2.15,1.94,1.93,1.3
2016,1.94,1.81,1.32,1.33,1.24,0.36,-0.53,-0.27,-0.29,-0.54,-0.48,-0.37,0.46
2017,-0.43,-0.42,-0.58,-0.19,0.19,-0.24,-0.63,-0.73,-0.74,-0.59,-0.62,-0.74,-0.476666667
2018,-0.79,-0.71,-0.8,-1.32,-0.94,-0.52,-0.05,0.46,0.62,0.52,0.33,0.18,-0.251666667
2019,0.09,0.5,0.76,0.3,0.23,0.35,0.3,0.32,0.16,0.31,0.47,0.36,0.345833333
2020,0.25,0.26,0.13,-0.15,-0.23,-0.68,-0.94,-0.96,-1.15,-1.17,-1.13,-1.14,-0.575833333
2021,-1.2,-0.96,-0.79,-0.95,-1.07,-1.05,-1.44,-1.29,-1.38,-1.46,-1.39,-1.2,-1.181666667
2022,-1.01,-0.98,-1.31,-1.61,-1.63,-1.9,-2.17,-1.75,-1.73,-1.73,-1.53,-1.28,-1.5525
2023,-1.11,-0.91,-0.76,-0.37,-0.06,0.43,0.5,0.51,0.68,0.48,0.91,1.13,0.119166667
2024,0.7,0.68,0.78,0.34,0.12,-0.23,-0.72,-0.73,-0.677975716,-0.68451514,-0.657045501,-0.622997488,-0.126538346
