"(Intercept)","s(Time).1","s(Time).2","s(Time).3","s(Time).4","s(Time).5","s(Time).6","s(Time).7","s(Time).8","s(Time).9"
1,-1.17688745732141,-0.63974380850068,-1.455679949884,0.742523457981092,1.57856728875235,-0.80868624172107,-1.64650509779336,-0.578846183555277,-1.72212493324796
1,-1.17701549367705,-0.633044111150388,-1.45580964818647,0.734659677575405,1.57869264493534,-0.800055575206954,-1.64662062654797,-0.559399986808123,-1.70221597448209
1,-1.17714029627674,-0.626343242641184,-1.4559211285785,0.726774088067439,1.57876174094631,-0.791356861725221,-1.64660963170232,-0.539950133881085,-1.68230701571621
1,-1.17725655913089,-0.619639078591304,-1.45598455570388,0.718831488845018,1.57868402160989,-0.782482797343597,-1.64627250984457,-0.520490912643047,-1.66239805695034
1,-1.17735669429007,-0.612928264716333,-1.45595739589642,0.710782544620505,1.57833304407916,-0.773287168449931,-1.64533739811326,-0.501014610136566,-1.64248909818447
1,-1.17743107735767,-0.606206127720536,-1.45578594606808,0.702566152617719,1.57755296647677,-0.763594791427113,-1.64347911746229,-0.481512059639271,-1.6225801394186
1,-1.17746828026537,-0.599466608382319,-1.45540683088699,0.694111740481387,1.57616489928493,-0.75321102649143,-1.64033755182248,-0.461973143977062,-1.60267118065272
1,-1.17745529183989,-0.59270221530919,-1.45474846683559,0.685341489028517,1.57397309258525,-0.741930813321304,-1.6355352912583,-0.442387257175859,-1.58276222188685
1,-1.17737772672348,-0.585903997712699,-1.45373249141615,0.676172473034161,1.5707709281963,-0.729547169812164,-1.62869434856472,-0.422743726683639,-1.56285326312098
1,-1.1772200232229,-0.579061535494359,-1.45227515547736,0.66651871259008,1.56634668277532,-0.715859091931876,-1.61945174953637,-0.403032198453952,-1.54294430435511
1,-1.17696563065168,-0.572162944942107,-1.450288676372,0.656293127182503,1.56048902601333,-0.70067879204026,-1.6074737968789,-0.383242987154433,-1.52303534558923
1,-1.1765971866989,-0.565194898408493,-1.44768254941863,0.645409384494227,1.55299221711951,-0.683838214984952,-1.59246881580845,-0.363367393653898,-1.50312638682336
1,-1.17609668530674,-0.55814265647319,-1.44436481493394,0.633783636030503,1.5436609628152,-0.66519477557604,-1.57419820509566,-0.343397991754042,-1.48321742805749
1,-1.17544563547066,-0.550990111276234,-1.440243277925,0.621336131982146,1.53231490099172,-0.644636267445892,-1.55248563984132,-0.323328885877339,-1.46330846929162
1,-1.17462521129308,-0.543719839936266,-1.43522667738489,0.607992708250493,1.51879267596889,-0.622084901556651,-1.52722430070471,-0.303155941111162,-1.44339951052575
1,-1.1736163935275,-0.536313167229893,-1.42922580202439,0.593686139249576,1.5029555738649,-0.597500442462515,-1.49838203766913,-0.28287698665366,-1.42349055175987
1,-1.17240010274939,-0.528750236992624,-1.42215454919575,0.578357350943008,1.48469068987957,-0.57088242158133,-1.46600441364539,-0.262491993324973,-1.403581592994
