"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175"
-0.567574199612529,-0.576335532258344,-0.585191261949189,-0.594171903074976,-0.603167628665422,-0.611918135478806,-0.62007587530418,-0.627300433088296,-0.633333470412755,-0.638023673611455,-0.641305507978496,-0.64316199515238,-0.643604647295115,-0.642683872285316,-0.640516009647223,-0.6372976083409,-0.633283501948559,-0.628727788769182,-0.623810689379208,-0.618584447446971,-0.612962745526088,-0.606757229456666,-0.599744575854262,-0.591738366055226,-0.582643776354264,-0.572484038267266,-0.561397879743786,-0.549612276733447,-0.537395541625346,-0.524995388684344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.575933057952563,-0.583166100267048,-0.590435338638718,-0.597735684167435,-0.604979928533443,-0.611991449299006,-0.618534003590309,-0.624361980792928,-0.629268569731972,-0.633113873404321,-0.635827400212095,-0.637392720987359,-0.63782929993467,-0.6371841443724,-0.635536014845421,-0.633003782015459,-0.629745058649471,-0.625935128932115,-0.621727660638369,-0.617211364660067,-0.61238317556937,-0.607154218066197,-0.601391019346502,-0.594977646868635,-0.587873258863131,-0.580140092319058,-0.571929565551491,-0.563433164255303,-0.554820985384703,-0.546196403226612,-0.537587908923831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.578108518798614,-0.584928951551733,-0.591775833775158,-0.59863834621952,-0.605433919250123,-0.612002256698585,-0.61813030765619,-0.623594766548121,-0.628203783759989,-0.631822964411068,-0.634380422002324,-0.635856314616901,-0.636268346082743,-0.635663385630829,-0.634118084598807,-0.631742860000157,-0.628679146019402,-0.625082258707311,-0.621090453877009,-0.616790271686842,-0.612193592118191,-0.6072395064511,-0.601824564297265,-0.595852384407732,-0.589283970885673,-0.582168162688653,-0.574638802339557,-0.566878644525277,-0.559064069517725,-0.551313340572821,-0.543660845155053,-0.536070925149529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.580184385650872,-0.586575410170698,-0.592988496278983,-0.599410858434062,-0.605763472083768,-0.611896160578355,-0.617611256654502,-0.622703125241131,-0.626996187805559,-0.630367669051388,-0.632750910856798,-0.634125263067422,-0.634503737359324,-0.633927404545971,-0.632467916920317,-0.630231603979789,-0.62735540139032,-0.623988551161194,-0.620262524783758,-0.616260012132017,-0.611997078417043,-0.607428503424822,-0.602476666027668,-0.597073871278974,-0.591201852213626,-0.584913145962417,-0.578326426907941,-0.571598082507561,-0.564880912151156,-0.558284730658746,-0.551852274255167,-0.545558761014125,-0.539337347034507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.575594855492911,-0.582701643722164,-0.589843015841764,-0.597012339570953,-0.604120754870528,-0.610989214424225,-0.617377920538644,-0.623037132108777,-0.627756706375198,-0.631395900067385,-0.633887396581151,-0.635223173683266,-0.635437207142238,-0.634597525850832,-0.632810035011495,-0.630225450413059,-0.6270357334897,-0.62345095297593,-0.619659173283346,-0.615784030822222,-0.611859821082239,-0.607838552486337,-0.603629690172643,-0.599158049030142,-0.594416296817916,-0.589490355660078,-0.584547621456441,-0.579793491595889,-0.575413797447685,-0.57152436186079,-0.568143769071195,-0.565195604922179,-0.562537561895198,-0.560010864235488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.565538732357823,-0.554208356391931,-0.548771700586614,-0.554369698189638,-0.57250502485215,-0.599904077398871,-0.630001571647225,-0.655906905062982,-0.673179360882765,-0.681030845336503,-0.681539640685949,-0.677572321045919,-0.670772162508793,-0.660835662370758,-0.646463298290534,-0.627322414242456,-0.605701006732874,-0.586644494346991,-0.576204292543618,-0.578530597361926,-0.593297614514829,-0.614922546725261,-0.63421517746193,-0.641890367623381,-0.632418203290389,-0.606476479448508,-0.570915625745264,-0.536309325987715,-0.513247819182095,-0.509000146914076,-0.525833795645186,-0.561373189187629,-0.610423243640146,-0.667187671854044,-0.726986629943097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.564404330405722,-0.55450262249058,-0.549914238149711,-0.555432541262432,-0.572719551355167,-0.599103601670338,-0.628693700401052,-0.654930718415051,-0.673164176383748,-0.681993827904608,-0.682872000413591,-0.678422564298417,-0.670587011307342,-0.659717961717864,-0.645116847597636,-0.626611197286837,-0.606096240068587,-0.587911476580142,-0.57753713411772,-0.579060731159016,-0.592657377906604,-0.613497703970298,-0.632910278951456,-0.641546468511844,-0.63326251574181,-0.607982285347758,-0.572189507965896,-0.536755466525491,-0.513027996240935,-0.508892344186556,-0.52647987865462,-0.56237272899468,-0.609953337466187,-0.662578943324115,-0.715992549252365,-0.768908143973903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.56688088448047,-0.555356519440949,-0.549180579036138,-0.553353161999148,-0.56989379093385,-0.596451060291357,-0.627189045924981,-0.655217133916059,-0.675246453708901,-0.685196228195459,-0.686117071372162,-0.680709600175158,-0.671424464713411,-0.659273898835544,-0.644003344298856,-0.62543371061347,-0.605050974730043,-0.58670126348558,-0.575689074561348,-0.576465004895639,-0.589965181809967,-0.612045987895871,-0.634095912250678,-0.645927166811045,-0.639908014375879,-0.614561259891267,-0.575925061084326,-0.535870997718881,-0.507915997018554,-0.502228869793211,-0.52195722840865,-0.56245815142179,-0.613731256139835,-0.664907244623536,-0.708703845372708,-0.743753599182151,-0.773610960592902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.559608361049567,-0.555201252127422,-0.554252042689403,-0.560205050524067,-0.574842031380367,-0.597198725140258,-0.623782919371877,-0.649802766068816,-0.670763407747022,-0.683728422676487,-0.68779218863205,-0.683736543285553,-0.673233343534843,-0.658114260770274,-0.640093250973547,-0.620983393599398,-0.603094980418784,-0.589339677609297,-0.582699870195101,-0.585097874271836,-0.596124318842316,-0.612322436238131,-0.627615925734341,-0.635018969258181,-0.629161104432557,-0.608680113040564,-0.57743419900694,-0.543854691135192,-0.518481240258129,-0.510497421230318,-0.52457131728892,-0.559265326267079,-0.607695666598608,-0.660218348795635,-0.708068094921909,-0.746441314003857,-0.775680039852779,-0.799899111028767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.560117730559729,-0.556000529397528,-0.554935844860526,-0.560134242711296,-0.573543169860014,-0.594754974173193,-0.620956912881743,-0.647786693707681,-0.670653280157578,-0.685973560816701,-0.691899800733891,-0.688397022508152,-0.67682912904704,-0.659385004985415,-0.63864970084556,-0.617434408162584,-0.598741296688948,-0.585598244008283,-0.580545802599238,-0.58478414319904,-0.597278079781856,-0.614309678516749,-0.629927358847503,-0.637438588229601,-0.631632376034387,-0.610996622641522,-0.57902447352583,-0.543906202113709,-0.516446546879418,-0.506741672764958,-0.520715698806839,-0.557800101852174,-0.610724132905241,-0.66765294312915,-0.716022277677618,-0.746713813739961,-0.756974982905417,-0.750813634206681,-0.736359323537273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
