yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
197708,3.76902,0.121253,99
197709,3.7705,0.121447,99
197710,3.77485,0.120991,99
197711,3.77143,0.11968,99
197712,3.76999,0.121081,99
197801,3.77548,0.120503,99
197802,3.77542,0.119659,98
197803,3.77459,0.119954,99
197804,3.77678,0.119468,99
197805,3.77813,0.119151,99
197806,3.77991,0.119656,99
197807,3.76865,0.11906,98
197808,3.77052,0.119706,99
197809,3.76973,0.120679,99
197810,3.77293,0.119869,99
197811,3.77079,0.119737,99
197812,3.76953,0.120528,99
197901,3.77559,0.118767,98
197902,3.7758,0.118954,98
197903,3.77438,0.11976,98
197904,3.77713,0.119544,98
197905,3.77891,0.118736,98
197906,3.78038,0.118298,98
197907,3.76664,0.11871,98
197908,3.76829,0.119181,98
197909,3.76948,0.119748,99
197910,3.77283,0.119607,99
197911,3.77239,0.118723,98
197912,3.77108,0.119371,98
198001,3.77874,0.118871,98
198002,3.77925,0.117787,98
198003,3.77921,0.117064,98
198004,3.7798,0.118372,98
198005,3.78074,0.118598,98
198006,3.7809,0.119247,98
198007,3.7678,0.117794,98
198008,3.76832,0.117138,98
198009,3.77093,0.11696,98
198010,3.77538,0.117676,98
198011,3.77393,0.11873,98
198012,3.77073,0.119034,99
198101,3.77466,0.118746,98
198102,3.77463,0.118089,98
198103,3.77539,0.118331,98
198104,3.77688,0.118442,98
198105,3.7773,0.117376,98
198106,3.77842,0.118457,98
198107,3.76627,0.118166,98
198108,3.7675,0.118256,98
198109,3.77086,0.118154,98
198110,3.77553,0.117762,98
198111,3.77161,0.117315,98
198112,3.76735,0.118731,98
198201,3.77166,0.1195,99
198202,3.773,0.118317,98
198203,3.77322,0.118784,98
198204,3.77602,0.11946,99
198205,3.77543,0.117933,98
198206,3.77537,0.11762,98
198207,3.76164,0.116109,98
198208,3.7624,0.116859,98
198209,3.76595,0.117189,98
198210,3.76935,0.116296,98
198211,3.76634,0.116847,98
198212,3.765,0.117279,98
198301,3.77038,0.118358,98
198302,3.77054,0.117847,98
198303,3.77151,0.117355,98
198304,3.77522,0.117446,98
198305,3.77692,0.117921,98
198306,3.77724,0.118503,98
198307,3.76444,0.117132,98
198308,3.76477,0.116441,98
198309,3.76577,0.116548,98
198310,3.76807,0.116491,98
198311,3.76661,0.117777,98
198312,3.76673,0.118643,98
198401,3.7726,0.118839,98
198402,3.77339,0.117761,98
198403,3.77177,0.118962,98
198404,3.77354,0.118807,98
198405,3.77406,0.118091,98
198406,3.77484,0.118809,98
198407,3.76387,0.117661,98
198408,3.76434,0.118128,98
198409,3.76528,0.118319,98
198410,3.76894,0.116832,98
198411,3.76705,0.117069,98
198412,3.76518,0.118457,98
198501,3.76908,0.117162,98
198502,3.76801,0.115152,98
198503,3.76825,0.115721,98
198504,3.77107,0.115405,97
198505,3.7725,0.115647,98
198506,3.77179,0.116103,98
198507,3.76052,0.114192,98
198508,3.76323,0.114009,98
198509,3.76607,0.114856,98
198510,3.76536,0.115264,98
198511,3.762,0.116517,98
198512,3.76039,0.117944,98
198601,3.76756,0.11701,98
198602,3.76667,0.116163,98
198603,3.76547,0.117203,98
198604,3.76924,0.116555,98
198605,3.77178,0.115562,98
198606,3.77385,0.11672,98
198607,3.7628,0.115005,98
198608,3.76093,0.114975,98
198609,3.76199,0.114965,98
198610,3.76156,0.114768,98
198611,3.7593,0.11488,98
198612,3.75849,0.116776,98
198701,3.76436,0.115981,98
198702,3.76451,0.114443,98
198703,3.76514,0.114558,98
198704,3.76898,0.115898,98
198705,3.76982,0.114661,98
198706,3.7693,0.115505,98
198707,3.75942,0.11345,97
198708,3.75967,0.114452,98
198709,3.76323,0.114085,98
198710,3.76319,0.113643,97
198711,3.76105,0.115035,98
198712,3.76034,0.115413,98
198801,3.7666,0.115176,98
198802,3.76484,0.115444,98
198803,3.76341,0.115808,98
198804,3.76651,0.115814,98
198805,3.77003,0.115717,98
198806,3.7714,0.115684,98
198807,3.76153,0.114235,98
198808,3.76324,0.114324,98
198809,3.76437,0.115108,98
198810,3.76243,0.114199,98
198811,3.76045,0.116099,98
198812,3.76104,0.11833,98
198901,3.76728,0.117363,98
198902,3.76751,0.115835,97
198903,3.76654,0.116668,98
198904,3.76925,0.115993,98
198905,3.77079,0.114673,98
198906,3.77314,0.116563,98
198907,3.76462,0.116029,98
198908,3.76474,0.114585,98
198909,3.76436,0.11475,98
198910,3.76255,0.115424,98
198911,3.76228,0.116179,98
198912,3.76205,0.117296,98
199001,3.768,0.115638,98
199002,3.76865,0.114137,97
199003,3.76658,0.114054,97
199004,3.76801,0.115052,98
199005,3.76945,0.113923,98
199006,3.77076,0.114694,98
199007,3.75831,0.113512,98
199008,3.75828,0.113634,98
199009,3.76278,0.113103,98
199010,3.76485,0.112751,98
199011,3.76198,0.115407,98
199012,3.75909,0.116274,98
199101,3.76699,0.115185,98
199102,3.76799,0.113848,97
199103,3.76767,0.114711,97
199104,3.7708,0.115251,98
199105,3.77325,0.115133,98
199106,3.77285,0.114681,98
199107,3.76176,0.113206,97
199108,3.76212,0.113725,97
199109,3.76451,0.11354,97
199110,3.76487,0.113324,97
199111,3.76374,0.114873,98
199112,3.76154,0.11625,98
199201,3.76577,0.116145,98
199202,3.76564,0.115318,98
199203,3.76774,0.115951,98
199204,3.77105,0.115713,98
199205,3.77306,0.114332,97
199206,3.77384,0.11491,97
199207,3.76495,0.113409,97
199208,3.76594,0.113958,97
199209,3.76767,0.112926,97
199210,3.76575,0.111787,97
199211,3.76436,0.114924,97
199212,3.76338,0.116257,98
199301,3.76766,0.115584,97
199302,3.76921,0.114761,97
199303,3.76926,0.114795,97
199304,3.77095,0.114158,97
199305,3.77141,0.114229,98
199306,3.77303,0.114795,98
199307,3.7642,0.112327,97
199308,3.76424,0.112167,97
199309,3.765,0.111661,97
199310,3.76305,0.111854,97
199311,3.76109,0.114068,97
199312,3.76113,0.115554,98
199401,3.76952,0.114555,97
199402,3.77022,0.113999,97
199403,3.76871,0.114903,97
199404,3.77006,0.115141,97
199405,3.77195,0.114484,97
199406,3.77191,0.115105,98
199407,3.76183,0.113536,97
199408,3.76257,0.113365,97
199409,3.76489,0.113379,97
199410,3.7643,0.113199,97
199411,3.76205,0.114578,97
199412,3.76122,0.11511,98
199501,3.7699,0.115357,97
199502,3.76832,0.114149,97
199503,3.76904,0.113845,97
199504,3.77336,0.113606,97
199505,3.7717,0.114242,97
199506,3.77244,0.11436,97
199507,3.76217,0.112468,97
199508,3.7625,0.112196,97
199509,3.76412,0.112788,97
199510,3.77071,0.112316,97
199511,3.7715,0.114852,98
199512,3.77291,0.115779,98
199601,3.77517,0.115853,97
199602,3.77632,0.115184,97
199603,3.77653,0.116282,98
199604,3.78188,0.115434,98
199605,3.78122,0.115543,98
199606,3.78026,0.116765,98
199607,3.77042,0.115326,98
199608,3.77041,0.114977,98
199609,3.77226,0.114726,98
199610,3.77768,0.113959,97
199611,3.77787,0.116205,98
199612,3.78006,0.1171,98
199701,3.78171,0.117113,98
199702,3.78105,0.115979,98
199703,3.78108,0.116253,98
199704,3.78494,0.115568,98
199705,3.78327,0.115915,98
199706,3.78321,0.114809,97
199707,3.77479,0.112985,97
199708,3.7756,0.113411,97
199709,3.7756,0.113948,97
199710,3.77916,0.113674,97
199711,3.7778,0.117069,98
199712,3.77902,0.116705,98
199801,3.78175,0.11631,98
199802,3.78204,0.116766,98
199803,3.78365,0.116421,98
199804,3.78694,0.115555,98
199805,3.78557,0.115512,98
199806,3.78612,0.115125,98
199807,3.77511,0.113942,97
199808,3.77659,0.114344,97
199809,3.77899,0.113864,97
199810,3.78502,0.113005,97
199811,3.78279,0.114796,98
199812,3.78449,0.115291,98
199901,3.78675,0.114945,98
199902,3.78367,0.115324,98
199903,3.7843,0.115785,98
199904,3.78824,0.115897,98
199905,3.78892,0.115652,98
199906,3.79163,0.11527,98
199907,3.78194,0.11374,97
199908,3.78153,0.114233,97
199909,3.78298,0.114927,98
199910,3.78754,0.113536,97
199911,3.787,0.115181,98
199912,3.78585,0.116983,98
200001,3.78553,0.115877,98
200002,3.7837,0.116505,98
200003,3.7833,0.11648,98
200004,3.7856,0.116681,98
200005,3.78736,0.116623,98
200006,3.78861,0.116828,98
200007,3.77565,0.117333,98
200008,3.77666,0.117589,98
200009,3.77789,0.11667,98
200010,3.78415,0.115521,97
200011,3.7827,0.115554,97
200012,3.78211,0.116189,98
200101,3.78455,0.115524,97
200102,3.78466,0.114999,97
200103,3.78298,0.114511,97
200104,3.78495,0.115382,98
200105,3.78704,0.114668,97
200106,3.78691,0.114648,97
200107,3.77465,0.114473,97
200108,3.77563,0.115652,98
200109,3.77734,0.115596,98
200110,3.78241,0.114247,97
200111,3.78081,0.114209,97
200112,3.77935,0.11457,97
200201,3.78159,0.115171,97
200202,3.78183,0.113881,97
200203,3.7832,0.113035,97
200204,3.78518,0.113812,97
200205,3.78665,0.113887,97
200206,3.78867,0.113507,97
200207,3.77711,0.112832,97
200208,3.77523,0.114131,97
200209,3.77694,0.114426,97
200210,3.78397,0.113197,97
200211,3.78155,0.113322,97
200212,3.77955,0.113899,97
200301,3.78288,0.113582,97
200302,3.78203,0.112741,96
200303,3.78138,0.112277,96
200304,3.78458,0.11176,96
200305,3.78647,0.111126,96
200306,3.78842,0.110352,96
200307,3.77581,0.11001,96
200308,3.77728,0.110431,96
200309,3.77701,0.109997,95
200310,3.78309,0.109295,95
200311,3.78191,0.108211,95
200312,3.781,0.108919,95
200401,3.78451,0.10924,95
200402,3.78336,0.108668,95
200403,3.78381,0.108111,95
