yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
197707,0.482806,0.111352,100
197708,0.48485,0.111545,100
197709,0.486601,0.112304,100
197710,0.486158,0.112432,100
197711,0.484586,0.112282,100
197712,0.481808,0.112305,100
197801,0.473911,0.111501,99
197802,0.47316,0.111281,99
197803,0.473557,0.111923,100
197804,0.480334,0.112117,100
197805,0.481932,0.111753,100
197806,0.484501,0.111285,100
197807,0.481522,0.111561,100
197808,0.484228,0.111526,100
197809,0.486663,0.111174,100
197810,0.483654,0.112334,100
197811,0.481475,0.112641,100
197812,0.482848,0.112208,100
197901,0.481401,0.111412,100
197902,0.481428,0.111346,99
197903,0.477637,0.111885,100
197904,0.480772,0.112339,100
197905,0.481416,0.111572,100
197906,0.482387,0.111273,100
197907,0.481975,0.111778,100
197908,0.481933,0.111843,100
197909,0.483775,0.112201,100
197910,0.483369,0.112752,100
197911,0.481789,0.112918,100
197912,0.485388,0.112229,100
198001,0.483203,0.111665,100
198002,0.482575,0.112049,100
198003,0.480641,0.112122,100
198004,0.483716,0.111998,100
198005,0.484075,0.111707,100
198006,0.486725,0.111028,100
198007,0.485015,0.110615,99
198008,0.486511,0.110717,100
198009,0.4875,0.111688,100
198010,0.486849,0.112179,100
198011,0.484522,0.112359,100
198012,0.481314,0.112142,100
198101,0.474702,0.110862,99
198102,0.473764,0.109936,99
198103,0.472002,0.110225,99
198104,0.477165,0.111653,100
198105,0.480228,0.11211,100
198106,0.483324,0.111707,100
198107,0.481319,0.111622,100
198108,0.481645,0.111153,100
198109,0.48407,0.111677,100
198110,0.485051,0.111369,100
198111,0.48317,0.111594,100
198112,0.478588,0.112019,100
198201,0.473901,0.111882,100
198202,0.47656,0.111189,99
198203,0.475701,0.111475,100
198204,0.480004,0.112065,100
198205,0.481215,0.111853,100
198206,0.483163,0.111055,100
198207,0.479302,0.111295,100
198208,0.481478,0.110903,100
198209,0.484598,0.111345,100
198210,0.484496,0.112234,100
198211,0.482597,0.112609,100
198212,0.482838,0.111982,100
198301,0.480804,0.111334,99
198302,0.479626,0.111364,99
198303,0.476734,0.111793,100
198304,0.480366,0.11232,100
198305,0.481695,0.11204,100
198306,0.483346,0.111111,100
198307,0.483147,0.110936,100
198308,0.484005,0.11067,100
198309,0.485388,0.111834,100
198310,0.484052,0.111857,100
198311,0.480922,0.111567,100
198312,0.480834,0.111068,99
198401,0.477571,0.109852,99
198402,0.475772,0.109734,99
198403,0.473689,0.110751,99
198404,0.480762,0.111534,99
198405,0.483467,0.111661,100
198406,0.484439,0.111399,100
198407,0.481922,0.110672,100
198408,0.484373,0.110007,99
198409,0.48642,0.111005,100
198410,0.484588,0.112107,100
198411,0.482251,0.111864,100
198412,0.482138,0.112024,100
198501,0.481272,0.111639,100
198502,0.479819,0.110711,99
198503,0.480623,0.111064,99
198504,0.482539,0.111614,100
198505,0.483678,0.111003,100
198506,0.485372,0.111178,100
198507,0.481766,0.111269,100
198508,0.483705,0.110128,99
198509,0.486601,0.110452,100
198510,0.486027,0.111277,100
198511,0.483563,0.111695,100
198512,0.479691,0.112038,100
198601,0.477546,0.110673,99
198602,0.476023,0.110168,99
198603,0.476213,0.11166,99
198604,0.480458,0.11127,100
198605,0.482654,0.111047,100
198606,0.485405,0.111472,100
198607,0.481003,0.110791,99
198608,0.483682,0.110246,99
198609,0.485292,0.110674,99
198610,0.484102,0.111103,100
198611,0.482243,0.111182,99
198612,0.478554,0.111461,99
198701,0.47819,0.110661,99
198702,0.478832,0.11006,99
198703,0.479683,0.111089,99
198704,0.481081,0.111172,100
198705,0.484687,0.111401,100
198706,0.485882,0.111298,100
198707,0.480286,0.110717,100
198708,0.481508,0.110297,99
198709,0.485176,0.11087,100
198710,0.484868,0.11093,100
198711,0.484356,0.111101,99
198712,0.482904,0.111628,100
198801,0.482783,0.111016,99
198802,0.481587,0.110047,99
198803,0.481163,0.110637,99
198804,0.482545,0.111995,100
198805,0.483338,0.111588,100
198806,0.484187,0.111521,100
198807,0.480752,0.110769,100
198808,0.483144,0.110521,99
198809,0.485209,0.111219,100
198810,0.484948,0.111354,100
198811,0.481759,0.111634,100
198812,0.48028,0.112739,100
198901,0.480006,0.112498,100
198902,0.480528,0.111704,99
198903,0.479357,0.112007,100
198904,0.483535,0.11181,100
198905,0.484801,0.110889,100
198906,0.488868,0.110837,100
198907,0.484162,0.110862,100
198908,0.485898,0.110566,99
198909,0.487978,0.110171,99
198910,0.490405,0.110746,99
198911,0.488298,0.111487,100
198912,0.483676,0.111644,100
199001,0.483997,0.111527,99
199002,0.484945,0.110832,99
199003,0.483031,0.111599,99
199004,0.485011,0.112195,100
199005,0.487488,0.111556,100
199006,0.490713,0.110998,100
199007,0.485433,0.110242,99
199008,0.489002,0.110158,99
199009,0.491821,0.110688,100
199010,0.491711,0.111904,100
199011,0.488681,0.112546,100
199012,0.486048,0.112819,100
199101,0.485016,0.113061,100
199102,0.48526,0.112522,100
199103,0.485465,0.112517,100
199104,0.487753,0.112695,100
199105,0.487475,0.112431,100
199106,0.489062,0.112567,100
199107,0.485362,0.111957,100
199108,0.487732,0.111483,100
199109,0.489817,0.111711,100
199110,0.488746,0.112389,100
199111,0.48603,0.112341,100
199112,0.485122,0.113152,100
199201,0.484527,0.113298,100
199202,0.484793,0.112105,100
199203,0.482985,0.111662,100
199204,0.484517,0.11275,100
199205,0.485606,0.112772,100
199206,0.487625,0.112907,100
199207,0.486465,0.112492,100
199208,0.488602,0.111898,100
199209,0.489168,0.112378,100
199210,0.488949,0.112431,100
199211,0.486821,0.111862,99
199212,0.487081,0.112255,99
199301,0.48726,0.11227,99
199302,0.485069,0.111793,99
199303,0.482515,0.111707,99
199304,0.48401,0.111792,100
199305,0.484615,0.111966,100
199306,0.484984,0.112061,100
199307,0.48227,0.111729,100
199308,0.484755,0.111306,100
199309,0.487529,0.111853,100
199310,0.486739,0.112465,100
199311,0.484484,0.11249,100
199312,0.483556,0.112871,100
199401,0.483124,0.112193,100
199402,0.486738,0.111088,99
199403,0.485105,0.111231,99
199404,0.482184,0.112272,100
199405,0.482604,0.112374,100
199406,0.48383,0.112339,100
199407,0.479903,0.1118,100
199408,0.482112,0.111483,100
199409,0.484597,0.112026,100
199410,0.485051,0.112078,100
199411,0.483473,0.111983,100
199412,0.48199,0.112163,100
199501,0.492621,0.111714,99
199502,0.491782,0.111389,100
199503,0.490682,0.111638,99
199504,0.487253,0.111797,99
199505,0.487487,0.112054,100
199506,0.488128,0.112442,100
199507,0.491189,0.111727,100
199508,0.498495,0.111584,100
199509,0.500839,0.112082,100
199510,0.498346,0.112758,100
199511,0.495923,0.112607,100
199512,0.495834,0.112958,100
199601,0.490861,0.112033,99
199602,0.489937,0.111093,99
199603,0.490397,0.111389,99
199604,0.493211,0.112054,99
199605,0.493511,0.111078,99
199606,0.491538,0.111265,99
199607,0.492638,0.111505,100
199608,0.495998,0.111201,100
199609,0.498696,0.111502,100
199610,0.500112,0.112076,100
199611,0.497754,0.112066,100
199612,0.498221,0.11276,100
199701,0.493588,0.113105,100
199702,0.491174,0.112363,100
199703,0.489933,0.112182,100
199704,0.48976,0.112159,100
199705,0.489135,0.111613,100
199706,0.490695,0.111944,100
199707,0.493659,0.11168,100
199708,0.494527,0.110946,99
199709,0.497422,0.111098,99
199710,0.498577,0.112209,100
199711,0.498223,0.112741,100
199712,0.50037,0.112898,100
199801,0.496258,0.112381,100
199802,0.493492,0.11179,100
199803,0.491561,0.111592,99
199804,0.493732,0.111695,99
199805,0.49564,0.111898,100
199806,0.496175,0.11229,100
199807,0.496891,0.111902,100
199808,0.498754,0.111516,100
199809,0.50055,0.111784,100
199810,0.502194,0.1123,100
199811,0.501131,0.112579,100
199812,0.501611,0.112405,100
199901,0.496959,0.112494,100
199902,0.495291,0.112109,100
199903,0.493805,0.11207,100
199904,0.495157,0.112124,100
199905,0.495784,0.111838,100
199906,0.496894,0.11233,100
199907,0.49937,0.111818,100
199908,0.500744,0.111391,100
199909,0.503439,0.111831,100
199910,0.502921,0.112341,100
199911,0.501231,0.112139,100
199912,0.500625,0.112691,100
200001,0.496446,0.112682,100
200002,0.495637,0.112252,100
200003,0.494264,0.112674,100
200004,0.494825,0.113069,100
200005,0.494584,0.112151,100
200006,0.495606,0.112411,100
200007,0.495965,0.112455,100
200008,0.49796,0.1123,100
200009,0.499645,0.112652,100
200010,0.501697,0.112911,100
200011,0.500907,0.112707,100
200012,0.502544,0.112387,100
200101,0.500356,0.112276,100
200102,0.499916,0.11222,100
200103,0.497242,0.11252,100
200104,0.496393,0.11265,100
200105,0.497296,0.111285,100
200106,0.497496,0.111728,100
200107,0.499941,0.111764,100
200108,0.501862,0.111613,100
200109,0.504505,0.112177,100
200110,0.505478,0.112158,100
200111,0.502015,0.111768,100
200112,0.500546,0.111961,100
200201,0.497826,0.112105,100
200202,0.496706,0.111706,100
200203,0.494667,0.111885,100
200204,0.496774,0.112024,100
200205,0.49782,0.111398,99
200206,0.499838,0.111549,100
200207,0.502385,0.111605,100
200208,0.5028,0.111016,99
200209,0.504327,0.11125,99
200210,0.505964,0.111813,100
200211,0.502875,0.111892,100
200212,0.501337,0.111837,99
200301,0.499222,0.111271,99
200302,0.499922,0.110727,99
200303,0.499583,0.11049,99
200304,0.501504,0.110712,99
200305,0.503457,0.110779,99
200306,0.503331,0.111184,99
200307,0.507263,0.111008,99
200308,0.510151,0.111113,99
200309,0.508406,0.111388,99
200310,0.508465,0.111454,99
200311,0.508424,0.111729,100
200312,0.505662,0.111943,99
200401,0.499159,0.111766,99
200402,0.499117,0.110832,99
200403,0.499568,0.109947,99
200404,0.501506,0.110138,99
200405,0.50441,0.109785,99
200406,0.50679,0.110277,99
200407,0.507903,0.11041,99
200408,0.508874,0.110571,99
200409,0.511464,0.110662,99
