yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
197707,0.778409,0.178099,99
197708,0.78207,0.178442,99
197709,0.78526,0.179794,99
197710,0.788804,0.180027,99
197711,0.785964,0.179765,99
197712,0.780917,0.179813,99
197801,0.768609,0.178429,99
197802,0.767428,0.178064,98
197803,0.768106,0.179171,99
197804,0.771382,0.17949,99
197805,0.774224,0.178846,99
197806,0.778882,0.177986,99
197807,0.77605,0.178472,99
197808,0.780964,0.178438,99
197809,0.785136,0.177831,99
197810,0.784034,0.179906,99
197811,0.780339,0.180438,99
197812,0.782817,0.179635,99
197901,0.782016,0.178208,99
197902,0.782032,0.178097,99
197903,0.775186,0.179082,99
197904,0.772096,0.179918,99
197905,0.773253,0.178549,99
197906,0.774994,0.177971,99
197907,0.776778,0.178868,99
197908,0.776782,0.178985,99
197909,0.780192,0.17961,99
197910,0.783779,0.180593,100
197911,0.780921,0.180894,100
197912,0.786573,0.179697,99
198001,0.784801,0.178727,99
198002,0.783196,0.179414,99
198003,0.780047,0.179515,99
198004,0.777532,0.17925,99
198005,0.778164,0.178734,99
198006,0.782937,0.177561,99
198007,0.782436,0.176845,99
198008,0.785158,0.177006,99
198009,0.7869,0.178715,99
198010,0.79007,0.17958,99
198011,0.785843,0.179924,99
198012,0.779982,0.179544,99
198101,0.769709,0.177313,98
198102,0.767811,0.175797,98
198103,0.764741,0.176223,98
198104,0.765712,0.178624,99
198105,0.771242,0.179439,99
198106,0.776815,0.178717,99
198107,0.775724,0.178579,99
198108,0.776331,0.177749,99
198109,0.780728,0.178685,99
198110,0.78668,0.178144,99
198111,0.783186,0.178555,99
198112,0.775016,0.179303,99
198201,0.768532,0.179051,99
198202,0.773236,0.177862,99
198203,0.771624,0.178375,99
198204,0.770779,0.179372,99
198205,0.773,0.179001,99
198206,0.776531,0.177596,99
198207,0.772128,0.178005,99
198208,0.776115,0.177291,99
198209,0.78177,0.178094,99
198210,0.785849,0.179684,99
198211,0.782359,0.180383,99
198212,0.782757,0.179263,99
198301,0.780842,0.178156,99
198302,0.778658,0.178228,99
198303,0.773578,0.17892,99
198304,0.771531,0.179824,99
198305,0.773936,0.179324,99
198306,0.777017,0.177688,99
198307,0.779204,0.177359,99
198308,0.780666,0.176854,99
198309,0.783113,0.178952,99
198310,0.785018,0.179002,99
198311,0.779411,0.17852,99
198312,0.778848,0.177686,99
198401,0.774883,0.175606,98
198402,0.772175,0.175355,98
198403,0.768824,0.177181,99
198404,0.771965,0.178638,99
198405,0.77666,0.17869,99
198406,0.77873,0.178179,99
198407,0.776601,0.176899,99
198408,0.781003,0.175703,99
198409,0.784834,0.177476,99
198410,0.785838,0.179455,99
198411,0.78165,0.179066,99
198412,0.781579,0.179365,99
198501,0.784731,0.178706,99
198502,0.782051,0.177078,99
198503,0.783381,0.177698,99
198504,0.777466,0.178608,99
198505,0.77963,0.177484,99
198506,0.782632,0.177801,99
198507,0.777751,0.177958,99
198508,0.781264,0.175898,99
198509,0.786532,0.176472,99
198510,0.790145,0.177947,99
198511,0.785746,0.178713,99
198512,0.778647,0.179357,99
198601,0.777774,0.177057,98
198602,0.775056,0.176203,98
198603,0.775565,0.178744,99
198604,0.77394,0.178004,99
198605,0.777899,0.177607,99
198606,0.782785,0.178298,99
198607,0.776485,0.177145,99
198608,0.78123,0.176197,99
198609,0.784132,0.176931,99
198610,0.786739,0.177673,99
198611,0.783507,0.177843,99
198612,0.777427,0.178374,99
198701,0.780736,0.177047,98
198702,0.78115,0.175978,98
