year,0-2000m_polarLat,0-2000m_polarLat_se,0-6000m_polarLat,0-6000m_polarLat_se,2000-6000m_allLat,2000-6000m_allLat_se,700-6000m_allLat,700-6000m_allLat_se
2011,5.737857248,1.20297771,7.481656152,1.194099389,-1.084624991,0.981730445,29.03204853,1.358888998
2012,6.236723314,1.053249014,7.94371905,1.043680839,-1.197803251,0.952564595,35.3824579,1.329867964
2013,6.273520382,1.137662986,7.967921751,1.127040745,-1.24967662,0.958176517,37.78399915,1.335622474
2014,5.938739553,1.091421989,7.649829105,1.080215891,-1.233171458,0.932065953,42.17870723,1.307958659
2015,6.229284507,1.164849124,7.933844846,1.154037934,-1.13414048,0.931584005,40.87115981,1.306659797
2016,7.690345574,1.065299894,9.402235506,1.054089897,-0.978520373,0.916889213,45.44944905,1.29186976
2017,5.163964515,1.081181976,7.116715549,1.0695359,-0.50930217,0.916613102,47.34145892,1.291175165
2018,6.308142764,0.928445278,8.492344762,0.916446188,0.136757064,0.936058893,52.24569838,1.312093445
2019,6.278819022,0.980454988,8.460012196,0.968686722,0.160335868,0.947649649,55.98475947,1.32400484
2020,4.072427475,1.565739208,6.96810411,1.556705977,-3.105328508,1.011099208,59.26674096,1.387963856
2021,3.649796235,1.233326796,6.761773745,1.223302191,-1.421801891,0.997304473,63.72514046,1.374931452
2022,4.781047184,1.232409349,8.166527187,1.222173734,-1.068119828,1.003199269,61.69825463,1.380720234
2023,5.212463465,1.15866646,8.867159569,1.147327699,-1.365212761,0.997181916,64.51191684,1.374138653
