yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
196001,1.68902,0.0168117,100
196002,1.68925,0.0167326,99
196003,1.68909,0.0167594,100
196004,1.69307,0.0166849,100
196005,1.69294,0.0167977,100
196006,1.69303,0.0167643,100
196007,1.68914,0.0167471,100
196008,1.68918,0.0167677,100
196009,1.68906,0.0167993,100
196010,1.68944,0.0168436,100
196011,1.68947,0.0168271,100
196012,1.68941,0.0168429,100
196101,1.68911,0.0168311,100
196102,1.68915,0.0168251,100
196103,1.689,0.016829,100
196104,1.69296,0.0168257,100
196105,1.69287,0.0168157,100
196106,1.69299,0.0168295,100
196107,1.6892,0.0168066,100
196108,1.68915,0.0168105,100
196109,1.68892,0.0168034,100
196110,1.68919,0.0168248,100
196111,1.68938,0.0168144,100
196112,1.68925,0.0168509,100
196201,1.68882,0.0168487,100
196202,1.68893,0.0168076,100
196203,1.68904,0.0167474,100
196204,1.69311,0.0167641,100
196205,1.69306,0.0167824,100
196206,1.69318,0.0167976,100
196207,1.68925,0.0167336,100
196208,1.68918,0.016741,100
196209,1.68927,0.0167834,100
196210,1.68975,0.0167942,100
196211,1.68973,0.0168137,100
196212,1.68944,0.0168316,100
196301,1.68919,0.0167948,100
196302,1.68943,0.0167302,99
196303,1.6893,0.0166971,99
196304,1.6932,0.0166929,99
196305,1.69302,0.016771,100
196306,1.69308,0.0168027,100
196307,1.68935,0.0167559,100
196308,1.68963,0.0167012,99
196309,1.68963,0.0166925,99
196310,1.68975,0.0167642,100
196311,1.68971,0.016788,100
196312,1.68972,0.0168133,100
196401,1.68922,0.0167978,100
196402,1.6891,0.0167783,100
196403,1.68935,0.0167467,100
196404,1.6934,0.0167507,100
196405,1.69334,0.0167505,100
196406,1.69349,0.0167218,100
196407,1.68922,0.0167508,100
196408,1.68927,0.0167511,100
196409,1.68933,0.016791,100
196410,1.68941,0.0168074,100
196411,1.6894,0.0168091,100
196412,1.68936,0.0168108,100
196501,1.68903,0.016829,100
196502,1.68919,0.0168102,100
196503,1.68943,0.0167706,100
196504,1.69372,0.0167136,99
196505,1.69355,0.0167435,99
196506,1.69332,0.0167927,100
196507,1.68928,0.0167695,100
196508,1.6894,0.0167469,100
196509,1.68909,0.0168135,100
196510,1.68911,0.0168373,100
196511,1.68924,0.0168297,100
196512,1.68928,0.0168507,100
196601,1.68904,0.016801,100
196602,1.68935,0.0167598,100
196603,1.68942,0.0167718,100
196604,1.69344,0.0167602,100
196605,1.69334,0.0167748,100
196606,1.69322,0.0167929,100
196607,1.6892,0.0167906,100
196608,1.68916,0.0167742,100
196609,1.68902,0.0168154,100
196610,1.68924,0.0168355,100
196611,1.68912,0.0168457,100
196612,1.68901,0.0168768,100
196701,1.68905,0.0168266,100
196702,1.68954,0.016708,99
196703,1.68943,0.0167106,99
196704,1.69329,0.016777,100
196705,1.69321,0.0168042,100
196706,1.69314,0.0167952,100
196707,1.68906,0.0167901,100
196708,1.68902,0.0168198,100
196709,1.68913,0.0168007,100
196710,1.68948,0.0168046,100
196711,1.68922,0.0168453,100
196712,1.68908,0.0168658,100
196801,1.68874,0.0168623,100
196802,1.689,0.0168236,100
196803,1.68914,0.0167836,100
196804,1.69346,0.0167913,100
196805,1.69324,0.0168025,100
196806,1.69309,0.0168112,100
196807,1.68924,0.0167662,100
196808,1.68937,0.0167826,100
196809,1.68912,0.0168268,100
196810,1.68931,0.0168181,100
196811,1.68932,0.0168161,100
196812,1.68928,0.0168057,100
196901,1.68914,0.0167555,100
196902,1.68925,0.0167093,99
196903,1.68914,0.0167518,100
196904,1.69332,0.0167495,100
196905,1.69319,0.0167841,100
196906,1.69305,0.0168069,100
196907,1.68889,0.0168384,100
196908,1.68894,0.0168444,100
196909,1.68912,0.016811,100
196910,1.68918,0.0168169,100
196911,1.6892,0.0168174,100
196912,1.68934,0.0167812,100
197001,1.68913,0.0167615,100
197002,1.68926,0.0167756,100
197003,1.689,0.0168349,100
197004,1.69315,0.0168199,100
197005,1.69325,0.0167655,100
