method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
lag10y,42/1_Run_Means,c,3.136922970583099,0.03300471520584916,157,76,7.21516938084426e-05,0.00011680640753819168,0.30387897072451353,0.06442085223726392,-0.042074526587258215,69.89216326663811,-133.56022003786535,0.08429085197180733,-0.07804126953810789,1.5632017330439614,0.22369706996437613,-0.05621114373207092,7.083333333472638,3.5000000001678018,7.083333333472638,3.5000000001678018,7.083333333472638,3.5000000001678018,3.948717948882474,4.157040161850719,13.0,-511.650915368225,0.1197140240057617,-0.11437447933881896,0.011236345651492929,0.0007580665123215517,-0.09818316609885344,8.666666666802712,7.750000000160071,8.666666666802712,7.750000000160071,8.666666666802712,7.750000000160071,6.096153846308828,6.096153846308828,13.0
lag5y,42/1_Run_Means,c,6.616267133720855,0.0398106758094306,93,32,8.800212056138068e-22,0.002058831829584525,0.8213849287728929,0.0578497881422768,-0.018046921588804412,188.91853361776538,48.0551088923375,0.054419403665541446,-0.03138386935330509,3.748648004932917,8.901100381966566,-0.02067265510559082,6.083333333473547,2.166666666835681,6.083333333473547,2.166666666835681,6.083333333473547,2.166666666835681,2.1570512822167283,2.6904240206585066,16.0,-210.6047587556779,0.0825065622005359,-0.06771707915401615,2.0249761610406454,6.710280336182076e-05,-0.06264467747237333,7.666666666803621,6.41666666682795,7.666666666803621,6.41666666682795,7.666666666803621,6.41666666682795,4.304487179643572,4.304487179643572,16.0
raw1y,42/1_Run_Means,c,35.118156592220636,0.10619025454343162,0,0,0.8553780351762379,0.9546088389911701,0.9146873795220027,0.09594942196254508,0.0007921889424324036,210.37809729006062,91.00304037915683,0.08566134452384976,0.005283584085743079,3.0029086453434393,2.1818055328785597,0.008023482561111451,-0.6388888887427129,-1.899999999827196,-5.749999999849024,-10.74999999981901,-5.749999999849024,-10.74999999981901,0.3507936509606854,2.168944731479049,44.3,85.10040532999531,0.0927657742061165,-0.03104962571496798,3.7225497050033076,3.7704784636468434,-0.033948539805671064,0.9444444445873614,2.3500000001650734,6.416666666804531,10.000000000158252,-4.16666666651895,-6.499999999826741,2.4982295483876458,2.4982295483876458,44.3
raw1y,42/1_Run_Means,r,35.118156592220636,0.10619025454343162,0,0,0.8553780351762379,0.9546088389911701,0.9146873795220027,0.09594942196254508,0.0007921889424324036,210.37809729006062,91.00304037915683,0.08566134452384976,0.005283584085743079,3.0029086453434393,2.1818055328785597,0.008023482561111451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.10040532999531,0.0927657742061165,-0.03104962571496798,3.7225497050033076,3.7704784636468434,-0.033948539805671064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent10y,42/1_Run_Means,r,1.9284908439316606,0.033080129551695044,0,0,0.9934249063035102,0.9934249063035102,2.121338422385516,0.028573256687310106,0.0008517977336178655,487.90783714866865,202.38584546218888,0.02555348020313132,0.0034468528929721106,3.037230252637714,11.354117144003174,0.004558739066123962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.60780378351443,0.04527175902147735,-0.03288635690773895,1.4095225409245367,0.2083703874582693,-0.03741328330065855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent20y,42/1_Run_Means,r,1.0,0.02830700634113572,0,0,1.0,1.0,2.6624369176191784,0.0,0.0,612.360491052411,234.79639888707314,0.0,0.0,11.719557609303417,17.144784482970756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.24362975326648,0.04056113789246062,-0.03633320980071106,5.83233168831559,3.4772880071582066,-0.04197202236678251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent21y,42/1_Run_Means,r,1.4575350717579543,0.02808638343563986,0,0,0.999325172969625,0.999325172969625,2.663046035845427,0.0034112612504958086,-6.925431282623955e-05,612.5005882444482,233.75975391447406,0.003012772459168469,-0.00040752968091643257,11.187112705880875,16.932000356415976,-0.0006326526403427124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.01929615747235,0.04070725195354299,-0.03674073948162749,5.386770053334061,2.960478309935211,-0.042604675007125226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
etrend15y,42/1_Run_Means,c,6.436474229857691,0.04677195899436139,36,0,0.24493317607676363,0.24493317607676363,1.4253470292842894,0.05559938262838599,0.0012740460446977893,322.1284286182494,142.78899903928044,0.04814204159961145,0.006490500991264094,7.656904408621061,7.643137546200424,0.01532034575939134,2.6666666668097605,0.04166666683772746,6.000000000140062,1.5833333335031057,-0.6666666665205412,-1.4999999998276508,-0.7467948716277638,2.285364294150432,16.2,116.12168799369726,0.06142854001829261,-0.029842708809446967,7.235735275679194,2.3364120557330024,-0.02665167660739117,4.250000000139835,4.291666666829997,7.5833333334701365,5.833333333495375,0.9166666668095331,2.7500000001646185,1.4006410257992894,1.4006410257992894,16.2
etrend15y,42/1_Run_Means,r,1.0630245516736898,0.03862462127529548,0,0,0.9956498459518227,0.9956498459518227,2.23445611620678,0.0192733885198589,0.00015702882443187192,493.8148016816984,198.30357643350845,0.01608352969010872,-0.0031501206695810965,8.94155685945797,12.502314635089311,-0.006978263203336001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.4066483143014,0.043163239664890794,-0.04033679628802665,6.674262248767377,4.369074085589762,-0.051804148184977236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent30y,42/1_Run_Means,r,0.6640276161858818,0.027477530081025044,0,0,0.9895704218755967,0.9895704218755967,2.415346808882561,0.019177532325982356,0.00024315748702396047,531.3762979541634,200.37365037886497,0.015832489535784807,-0.002987474203109741,10.002231550946595,15.163398612918705,-0.00708113397870745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.95619024975679,0.042973843922612165,-0.0401741498215553,6.609719367806176,2.2929981626287095,-0.05190701896034868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
