method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,bias50,xyear0.5,xyear1.0,xyear1.5
cent20y,42/1_Run_Means,r,1.0,0.026681473992236165,0,0,1.0,1.0,2.7157925706609984,0.0,0.0,420.94784845245476,244.7043932972881,0.0,0.0,0.0,0.0,1987.708333333319,2013.624999999962,
GWI_anthro_CGWL,43/3_Human_Induced,c,2.759762689329557,0.0808388791593761,0,0,0.9979639615535286,0.9979639615535286,1.478282586237631,0.030955601129410298,0.005337699233723423,104.9580636228718,104.95806362287179,0.030955601129410298,0.030955601129410298,0.005337699233723423,-0.0075868468778117135,1987.4583333333192,2015.7916666666267,
GWI_anthro_SR15,43/3_Human_Induced,c,2.541570861166924,0.07244459146748339,0,0,0.9502910713460663,0.9502910713460663,1.4833759436837068,0.043364448944231346,0.009241042401592769,105.31969200154319,105.3196920015432,0.04336444894423134,0.04336444894423134,0.009241042401592769,-0.0113954158872569,1987.708333333319,2016.0416666666265,
GWI_anthro,43/3_Human_Induced,c,2.6550424804963253,0.07572734616478237,0,0,0.9889779459513113,0.9889779459513113,1.4839572161061112,0.03819969615900797,0.008286269464050908,105.3609623435339,105.36096234353388,0.03819969615900797,0.03819969615900797,0.008286269464050906,-0.008880069823587647,1987.374999999986,2015.87499999996,
FaIR_nonat_unB,43/1_ERF_FaIR,c,2.3496271448260386,0.02833519831791698,0,0,0.6492271105826397,0.7175668064334438,2.146834509988206,0.02782551882602902,0.016392603680284227,195.36194040892676,195.36194040892678,0.027825518826029016,0.026132383178625145,0.016392603680284227,0.011060296747829162,1988.374999999985,2013.958333333295,
