method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
EBMKF_ta3,43/2_Kalman,c,1.624,0.05596735351222748,2,0,0.19412676998279965,0.9285158143120845,1.7117466151791798,0.04140482735406813,-0.00283236915468477,395.41346810639055,178.5667762827795,0.032919058547205525,0.016067159235558487,9.615802497098661,0.0,0.016062343677327597,2.8333333334908275,-1,0.2777777779428258,3.8965202900393665,7.0,176.4229762103044,0.033129437270869484,-0.015838546852730354,10.60030612560161,0.0,-0.007026872576867788,2.1666666668256767,-1,1.9166666668174912,1.9166666668174912,6.0
GAM_AR0,42/4_GAM_AR1,c,4.154,0.0534632989944222,7,0,0.136982122443495,0.2719826080759389,1.4831579444035656,0.05402882337819269,-0.0009344964436408422,314.4294842135559,156.64815448950995,0.040728584892889025,0.016490007207608907,6.425394213852071,0.0,0.022468349822134213,-0.6666666665059893,-1,-0.795138888726683,1.5113622518172685,9.0,143.92097417634136,0.049740345680283404,-0.015415698880679932,5.787750916011226,0.0,-0.0006208664320611679,-1.3333333331711401,-1,0.7048611112630283,0.7048611112630283,9.0
OLS_refit_CO2forc,43/4_Linear,c,0.745,0.02554756451216663,164,79,1.0990960302687633e-05,5.2592558163269714e-05,0.8178853932866005,0.048439060960798246,0.006217380728946202,188.93152584920472,154.42231456281556,0.03757707036889246,0.013007844273026734,9.696530179655687,0.0,0.015393036854289378,-1.2499999998385647,-1,1.3055555556812426,6.314848756260847,5.0,97.86994547570256,0.05214899080367966,-0.018897861815262103,7.367609388544193,0.0,-0.007696179399906006,-1.9166666665037155,-1,-1.2499999998462197,1.2499999998462197,6.0
etrend30y,42/3_ST_Fits,c,2.702,0.04902151011565778,12,0,0.24178170955246805,0.29317845631392014,1.4675708145903061,0.05335831505709153,0.001374822836952506,311.1250126931449,152.7441288568965,0.04319540616091995,0.02155857225686432,5.803593297053521,0.0,0.03187557299290927,-0.8333333331725044,-1,-1.069444444283287,2.0646383414706864,8.0,145.08397289084877,0.049394094248768734,-0.010347133831424521,5.237107926764747,0.0,0.008786356738713886,-1.4999999998376552,-1,0.8750000001516961,0.8750000001516961,9.0
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,4.796,0.052046198143877766,0,0,0.9994595367400407,0.9994595367400407,1.6834272433174902,0.04109275116702577,0.00916410152990879,370.35399352984786,149.5740300139073,0.04067570493487362,0.02146300808949904,5.579365926306479,0.0,0.02755083535846911,-0.31249999983958787,-1,-0.6909722220613238,1.903506298010823,12.4,146.19803167077518,0.0439761635631835,-0.010512140650364371,5.202557550850551,0.0,0.004764830323474371,-0.9791666665047387,-1,1.1076388890404651,1.1076388890404651,13.4
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,2.872,0.05358427558094263,0,0,0.7789816249012816,0.7789816249012816,1.6543492822623627,0.04074577151390158,0.009424729309764436,363.9568420977198,149.4663828343616,0.03876417680782705,0.023229173638603905,6.074146595151624,0.0,0.030642195751792507,2.083333333491737,-1,0.7013888890513348,1.8902925749220576,8.2,148.91008863296125,0.04054926863164744,-0.008745975101259507,5.765257202184704,0.0,0.007856190716797768,1.4166666668265862,-1,1.645833333484499,1.645833333484499,9.2
Kal_flexLin,42/5_Kalman,c,4.288,0.051925582581174703,2,0,0.35287895211772785,0.7710633175213912,1.5359708770559788,0.051806970345515596,6.218620564119902e-05,354.8092725999311,149.4115294218841,0.04579607560822574,0.015608859258522283,5.768744380997931,0.0,0.01827219016859616,-0.6666666665059893,-1,-0.7083333331720496,2.067999122361148,8.0,134.7480117251401,0.05367586653357221,-0.016296846829766558,5.005804311132581,0.0,-0.004817026085599224,-1.3333333331711401,-1,1.046296296447963,1.046296296447963,9.0
etrend30y_3CS,42/3_ST_Fits,c,2.737,0.04902151011565778,12,0,0.24178170955246805,0.29317845631392014,1.4468054752540982,0.054568280693646255,-0.001095697002857923,306.72276075386884,148.20064128401086,0.04675867534093791,0.015548929338386813,5.803593297053521,0.0,0.03187557299290927,-0.8333333331725044,-1,-1.3680555553941076,1.7782931109333127,9.0,127.96633812958503,0.05966402999807425,-0.016356776749902026,5.237107926764747,0.0,0.008786356738713886,-1.4999999998376552,-1,0.5763888890408756,0.5763888890408756,10.0
Kalman_RW,42/5_Kalman,c,5.675,0.05393480369437872,3,2,0.023902288147717148,0.5156350135927709,1.4037323367667134,0.05875991996253769,-0.017634180841627035,324.2621697931108,131.20672994852117,0.05611843369134175,-0.017068910793977175,7.3394034465380935,0.0,0.005662718365130414,1.5416666668254493,-1,2.7685185186814656,3.6940441165750313,12.2,78.55123106609523,0.08019111068786605,-0.048974616882266016,7.026411596759559,0.0,-0.017426497889064967,4.972222222378757,-1,3.5300925927419438,3.5300925927419438,12.3
etrend15y,42/3_ST_Fits,c,5.101,0.06604301552274003,9,0,0.38473532812669053,0.3993283312806445,1.2696107392878992,0.06585155005216507,-0.0008723796188619416,288.2016378183531,124.89780604087474,0.059697725602708175,0.009379849036534743,4.041718708329515,0.0,0.0019497150182726075,-3.7916666665030334,-1,0.02777777794043838,2.4234817698753957,9.2,101.93654592524854,0.06845842970363814,-0.022525857051754094,3.9508650876573568,0.0,-0.021139501235922776,1.4166666668264345,-1,1.9791666668174281,1.9791666668174281,11.3
cubic_spline,42/4_GAM_AR1,c,8.078,0.09743420967420717,0,0,0.9868739927300361,0.9868739927300361,1.048036086682972,0.08754740497085223,-0.0012875652491612525,221.13561429010713,119.38207611866049,0.05388699862637785,-0.008362058489558096,4.397358299824947,0.0,0.0037888474004005523,1.4583333334921917,-1,2.923611111272862,3.173557925801843,10.2,107.53070878668646,0.07057265141698979,-0.040267764577846935,4.36563795935138,0.0,-0.019300368853794832,0.7916666668270409,-1,3.437500000149498,3.437500000149498,10.2
GAM_AR1,42/4_GAM_AR1,c,4.779,0.055861581621918434,65,12,8.828956418911504e-06,0.005134036125096421,0.8801833314345665,0.07010220695508647,-0.013199912268071403,186.5988662641281,112.94269355982891,0.06567618611404258,0.015962701136204543,4.3953933941089085,0.0,0.05049422920202571,-1.5833333331715949,-1,-0.8611111109508632,2.497336544086275,10.0,83.88724181431516,0.08096292710018274,-0.015943004952084294,3.99430288904364,0.0,0.02740501294783032,-2.2499999998367457,-1,0.9814814816331566,0.9814814816331566,11.0
removeGreensfx,42/6_Remove_IV,c,12.273,0.06000000000000001,60,9,0.01040971311250552,0.037450073174311094,0.9211754066476668,0.08371222607083995,0.0025016329701268215,212.79151893561104,103.80314182580949,0.07304757610991523,0.01329419281747606,1.6396683397479201,0.0,-0.002617725729942322,3.791666666823403,-1,0.16898148164160717,2.678365781832345,13.2,108.10226275311699,0.07065421927492553,-0.018611513270812778,1.3131713371397358,0.0,-0.025706941984137706,3.125000000158252,-1,2.710648148298269,2.710648148298269,13.2
Kal_flexLin_ocn,42/5_Kalman,c,4.47,0.04783952300212699,91,0,0.13735310201028703,0.13735310201028703,1.2387505004743462,0.06165148669424791,0.018553177500145,286.151365609574,91.37735707996109,0.06860878486487676,0.0515405995240232,2.4152482996574345,0.0,0.05981963994881734,-4.291666666502579,-1,-2.3958333331713297,3.111219616028338,8.2,120.48861987025748,0.05836220391817271,0.019634893435734362,1.805842937179193,0.0,0.036730423694621955,-4.9583333331677295,-1,-0.5995370368839178,0.5995370368839178,9.2
lowess1dg20wnc,42/3_ST_Fits,c,3.18,0.09821406837492701,0,0,0.9974134233746274,0.9974134233746274,1.324534424336657,0.049122545403728596,0.0006140423079376065,305.96745202176777,90.74500190667075,0.043115826290284966,0.020002885659535726,2.9338167556360295,0.0,0.031477993726730345,-0.6666666665059893,-1,-1.2824074072462333,2.1718539518112596,8.0,83.25295548506801,0.051016218723787934,-0.011902820428753113,2.8862060260443965,0.0,0.008388777472534964,-1.3333333331711401,-1,0.7048611112629904,0.7048611112629904,9.0
removeMEI_volc_cons,42/6_Remove_IV,c,24.526,0.07600053922554893,47,10,2.3406688084039297e-07,0.04185386623183182,0.5031835322849427,0.12230384095629641,0.008022919753689968,60.38202387419313,89.57413782055119,0.08937379392671574,-0.03657189971770897,1.0688032346558745,0.0,-0.07469576932367286,-0.9999999998388679,-1,2.1490740742358434,3.2829063770641675,17.3,71.16344679889727,0.10249918906052402,-0.0684776058059978,1.236561490244322,0.0,-0.09778498557786823,2.041666666825904,-1,5.308796296444007,5.308796296444007,18.4
butterworth,42/2_LT_Fits,c,7.618,0.1361974269038373,3,2,0.005013102304822352,0.6684625488304178,0.8816949200738015,0.06039439231010129,-0.017626580414941157,125.2006786504798,89.36227393729192,0.0551686245168538,-0.014406713665272767,1.9052185387639065,0.0,-0.010621438486749974,2.3333333334914337,-1,1.8229166668279755,2.147568742842061,14.3,80.66622439700603,0.07633961142905579,-0.0463124197535616,1.8904865858230169,0.0,-0.03371065474094535,4.520833333490373,-1,2.8854166668166195,2.8854166668166195,14.4
opt_clim_norm,42/3_ST_Fits,c,11.453,0.05341918995000675,66,21,0.0,3.025475856888528e-16,-38.142640107055904,0.08730854077113924,-0.009242940870732536,-8810.949864729913,86.01070293934784,0.08223571833735134,0.00300511982705858,3.870648834813057,0.0,0.014784610271453858,-0.111111110950939,-1,0.43009259275276884,3.3609735585607527,14.3,30.057223704271628,0.09319863661076981,-0.02890058626123026,4.166343814556539,0.0,-0.008304605982741525,-0.7777777776160898,-1,1.946759259409992,1.946759259409992,14.3
lowess1dt20wAR,42/3_ST_Fits,c,6.093,0.10361121444748109,21,3,0.056828821095026995,0.13246189220548013,0.9649643933717547,0.07031718967635048,-0.0006884541460796707,222.90677486887532,76.72750321981556,0.06316635412658904,0.009131234884262086,2.5121212453596575,0.0,6.0409307479858395e-06,-3.6249999998365183,-1,0.27083333349586763,2.611794384615561,9.2,74.26955704901302,0.06932309260646549,-0.022774471204026755,2.4793919962509747,0.0,-0.023083175323447398,1.6944444446039597,-1,2.2060185186690737,2.2060185186690737,11.3
lag5y,42/1_Run_Means,c,5.235,0.05280908135681163,56,20,4.851685139120432e-12,0.0021749871224651857,0.8651539417232711,0.0678832493550623,-0.013799481396386964,199.85056053807563,76.03902594660636,0.06408620256487929,-0.011401860581503973,4.333593890108398,0.0,0.002239915728569031,3.0833333334908275,-1,3.604166666828102,4.195490579768296,10.2,-88.39190128431049,0.08086883474092361,-0.04330756666979281,4.399813711599761,0.0,-0.020849300525626353,2.4166666668256767,-1,4.013888889037844,4.013888889037844,10.2
lowess1dt20wARMA,42/3_ST_Fits,c,5.929,0.12094055615410672,14,0,0.20055105300784332,0.32248805362196026,0.9549182854622786,0.07115538494086494,-0.00040311176713590547,206.2623496598522,68.78378032139939,0.06316635412658904,0.009131234884262086,2.270612417305784,0.0,6.0409307479858395e-06,-3.6249999998365183,-1,0.27083333349586763,2.611794384615561,9.2,66.77463074138552,0.06932309260646549,-0.022774471204026755,2.2466779009736846,0.0,-0.023083175323447398,1.6944444446039597,-1,2.2060185186690737,2.2060185186690737,11.3
lag10y,42/1_Run_Means,c,2.751,0.04249963206291461,103,9,7.729884625828751e-08,0.05937849938459267,1.1547825017982456,0.05766517375689105,-0.030058029742395652,266.75475791539475,65.01024970521459,0.06306345660186759,-0.03836478061146206,5.109014623252046,0.0,0.0029256522655487062,5.583333333488554,-1,5.166666666826283,5.3030826117300585,7.0,-191.69058624551533,0.09556235689807799,-0.07027048669975092,5.555340436874522,0.0,-0.020163563988646677,4.916666666823403,-1,7.444444444590317,7.444444444590317,6.0
lowess1dt30wnc,42/3_ST_Fits,c,4.332,0.13044686091973656,0,0,0.9973210920640524,0.9973210920640524,1.0965962585018567,0.056876483793574364,-0.00011151036609456072,253.3137357139289,61.88680863012776,0.04962820134891139,0.011915764543745253,2.068470194851907,0.0,0.008683344721794129,-0.41666666650598927,-1,0.3055555557182288,1.917270436343222,7.0,59.23958206411937,0.057669089040954,-0.019989941544543584,2.0540578388656345,0.0,-0.014405871532401254,-1.0833333331711401,-1,1.2361111112625924,1.2361111112625924,8.0
raw1y,42/1_Run_Means,c,25.332,0.137248812463335,0,0,0.9506714321957532,0.9506714321957532,0.6179295547632883,0.12894760424436408,4.2896734165567984e-05,142.74172715031958,60.5683097334382,0.12305852735775205,0.0048733691374460856,1.836139780165134,0.0,-0.0022910267114639284,-3.1833333331703217,-1,0.4615740742360155,2.569503252605108,23.5,55.741432777886324,0.1303345255833633,-0.027032336950842752,1.7280133020368922,0.0,-0.02538024296565931,-1.0138888887269484,-1,1.1208333334848348,1.1208333334848348,23.6
CGWL10y_pUKCP,44/44_EarthModel_CGWL,c,1.34,0.12821124074575693,0,0,0.7860849374127987,0.7860849374127987,1.0155111205294653,0.06344759010150666,0.02605391028220257,232.55204660124755,54.28752301224663,0.08865705656025619,0.0704089416698976,1.8646214290023524,0.0,0.11949727096055683,-1.4999999998385647,-1,1.0277777779037176,6.341916698204227,5.0,55.019329454925675,0.07782511824207106,0.03843379293003419,1.851415368075475,0.0,0.0967112659255621,-2.1666666665037155,-1,-1.8611111109567748,1.8611111109567748,6.0
