method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e75RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
etrend30y,42/3_ST_Fits,c,2.897,0.04692952827448942,0,0,0.886702334161227,0.886702334161227,1.6909291131613275,0.043237176012827214,-0.00377290744196771,358.47697199020143,175.2649333211856,0.03158873164121065,0.030422776111315414,0.006785877421765186,9.942491617244741,3.4509670103740326,0.02012567908533125,0.5000000001459739,-1.416666666497349,0.5000000001459739,-1.416666666497349,0.5000000001459739,-1.416666666497349,-0.4255952379278857,1.6596952411413064,16.0,158.72910350553713,0.04286745091029557,0.03862538479712685,0.01287413551602298,4.461208363095035,4.99107399796849,0.024137295911388683,1.0833333334778672,-0.9166666664987133,1.0833333334778672,-0.9166666664987133,1.0833333334778672,-0.9166666664987133,-0.5982142855473934,0.5982142855473934,16.0
GAM_AR0,42/4_GAM_AR1,c,4.859,0.051648040067042406,38,10,0.005331826014031814,0.02458812871917101,1.236007335108989,0.07477814951794544,-0.0055341140660751485,262.0335550431057,175.1814393992708,0.026439432415880867,0.026117381288030976,0.005452295148495007,7.575697008052626,3.9747089158412674,0.014661298168400594,0.8333333334790041,-1.416666666497349,0.8333333334790041,-1.416666666497349,0.8333333334790041,-1.416666666497349,0.09523809540558302,1.2622416441734088,14.0,161.6806407662596,0.0381239636256963,0.03308612659578142,0.011540553242752797,6.289597503134084,4.924135333912525,0.01867291499445803,1.4166666668108974,-0.9166666664987133,1.4166666668108974,-0.9166666664987133,1.4166666668108974,-0.9166666664987133,-0.07738095221392476,0.07738095221392476,14.0
offset11y,42/3_ST_Fits,c,2.347,0.04019240706976587,118,56,1.641068547591556e-08,5.29784906834893e-06,0.31974873183006725,0.07425843720655749,0.05668509917903704,73.86195705274554,174.14199159698592,0.03513366965597025,0.03559748834401428,0.024731436702940198,10.01344939893076,5.938418641267276,0.03461561501026154,-0.6666666665196317,-1.3333333331638642,-0.6666666665196317,-1.3333333331638642,-0.6666666665196317,-1.3333333331638642,-1.2023809522142008,2.264722555517866,14.0,140.84350951981503,0.04956658972822318,0.0432729765347626,0.03081969479719799,10.740763566868957,7.004758119831435,0.03862723183631897,-0.08333333318773839,-0.8333333331652284,-0.08333333318773839,-0.8333333331652284,-0.08333333318773839,-0.8333333331652284,-1.3749999998337086,1.3749999998337086,14.0
Kal_flexLin,42/5_Kalman,c,4.189,0.051925582581174703,0,0,0.8445513888610465,0.8445513888610465,1.5984810631189796,0.048887930850359355,-0.004640662871180535,369.2491255804843,168.5393412194815,0.032784596266962764,0.03251611943479746,0.0063272082641240195,7.968404669993329,3.0230018047996365,0.014953616835297629,0.5000000001459739,-1.416666666497349,0.5000000001459739,-1.416666666497349,0.5000000001459739,-1.416666666497349,-0.24404761888078091,1.716588648204075,18.0,151.1341341040432,0.04477947168660765,0.03933059973619127,0.012415466358381809,6.590426777219175,3.875381067617679,0.018965233661355062,1.0833333334778672,-0.9166666664987133,1.0833333334778672,-0.9166666664987133,1.0833333334778672,-0.9166666664987133,-0.41666666650028866,0.41666666650028866,18.0
GWI_anthro_AR6,43/3_Human_Induced,c,1.133,0.0460276297709916,14,2,0.04847011166620716,0.28975767692120974,1.4137706243583628,0.05448322115759924,0.027713691997887348,199.34165803452916,167.06091196896392,0.03781796552884466,0.032522973378717505,0.002420999081115328,9.436347126874638,6.3614979863846015,-0.032850993289430766,-0.9999999998526619,2.0833333334994677,-0.9999999998526619,2.0833333334994677,-0.9999999998526619,2.0833333334994677,0.31547619064427374,2.104534974885961,14.0,146.45051133382043,0.05002141843665277,0.03109574395180991,0.00850925717537312,8.327272867843762,6.114828825104877,-0.028839376463373333,-0.41666666652076856,2.5833333334981035,-0.41666666652076856,2.5833333334981035,-0.41666666652076856,2.5833333334981035,0.142857143024766,0.142857143024766,14.0
GWI_tot_AR6,43/3_Human_Induced,c,1.224,0.044883706018848994,24,15,1.720267153374044e-07,2.0302996669009293e-05,0.7081241511117218,0.06363428042130043,0.028264627029859383,99.84550530675277,158.892981864358,0.041352257562309216,0.03413504310497176,0.003395517447677934,7.1566243147108874,6.25363613377532,-0.03417339665582293,-1.083333333185692,2.1666666668329526,-1.083333333185692,2.1666666668329526,-1.083333333185692,2.1666666668329526,0.04761904778742324,2.552426483273787,14.0,149.3508533060198,0.05151429740927493,0.0325692967004533,0.009483775541935725,7.367118704659607,5.925766840465155,-0.0301617798297655,-0.4999999998537987,2.6666666668315884,-0.4999999998537987,2.6666666668315884,-0.4999999998537987,2.6666666668315884,-0.12499999983208454,0.12499999983208454,14.0
GWI_anthro_SR15,43/3_Human_Induced,c,1.46,0.052432004445056905,4,0,0.26494585604078397,0.7770061676123975,1.5654610649836125,0.05515817778853325,0.02067006379052038,220.73001016268935,155.70775304686958,0.046760883282200794,0.04114276440413394,0.0030609039108592437,8.68469745407361,6.0229252490253655,-0.042724743713551686,-1.5833333331852373,2.416666666832498,-1.5833333331852373,2.416666666832498,-1.5833333331852373,2.416666666832498,0.35714285731153594,2.6539877154805143,14.0,143.6136327136458,0.056887410882495056,0.037023430027298534,0.009149162005117034,7.60143476797214,5.86329506613967,-0.03871312688749425,-0.999999999853344,2.9166666668311336,-0.999999999853344,2.9166666668311336,-0.999999999853344,2.9166666668311336,0.18452380969202814,0.18452380969202814,14.0
OLS_hinge75,42/2_LT_Fits,c,2.169,0.03460067154384779,17,2,0.007408166136762098,0.1105954027941812,1.7321406506294408,0.04282790958263192,-0.011530424541160164,270.21394149819275,154.80978666344527,0.03417071007143803,0.037824793858949685,-0.007183251763753004,10.866482111549894,9.41310196013896,0.0008801263307221419,0.916666666812489,1.166666666833862,0.916666666812489,1.166666666833862,0.916666666812489,1.166666666833862,0.5416666668326278,1.980685507457076,14.0,109.24719460298851,0.04380616077936897,0.04864853872170514,-0.0010949936694952132,8.36499006539485,6.376029821815837,0.004891743156779577,1.5000000001443823,1.6666666668324979,1.5000000001443823,1.6666666668324979,1.5000000001443823,1.6666666668324979,0.36904761921312,0.36904761921312,14.0
hinge75meet,42/2_LT_Fits,c,1.861,0.061658056468831664,0,0,0.6275012300868441,0.9999827777429283,1.7335610579792642,0.03593595723839123,0.005257783264687143,270.4355250447652,154.72093316398744,0.03272046295720934,0.03591475116983016,0.00637083269238644,7.058481838337426,7.767755624087715,0.0079306754659061,-0.16666666652008644,0.9166666668338621,-0.16666666652008644,0.9166666668338621,-0.16666666652008644,0.9166666668338621,-0.1607142855478157,1.891789905749089,14.0,139.29069718604177,0.04481420367086293,0.045176395877104605,0.01245909078664423,6.893785591958941,6.960755047743618,0.011942292291963535,0.41666666681180686,1.4166666668324979,0.41666666681180686,1.4166666668324979,0.41666666681180686,1.4166666668324979,-0.3333333331673235,0.3333333331673235,14.0
GWI_anthro,43/3_Human_Induced,c,1.524,0.05332989736313967,4,0,0.29567639334471535,0.6918569371560536,1.5041263676416061,0.0600341022666384,0.024397726369282342,212.08181783746647,153.4830410828674,0.048631233790852435,0.04187413555511719,0.0040662947402071645,8.560799159699306,5.983306952192244,-0.0435687325300959,-1.5833333331852373,2.500000000165983,-1.5833333331852373,2.500000000165983,-1.5833333331852373,2.500000000165983,0.327380952549642,2.755135896791774,14.0,141.9884351020899,0.058944187875270705,0.03780130820080634,0.010154552834464956,7.618222482068955,5.819586040139737,-0.03955711570403846,-0.999999999853344,3.0000000001646185,-0.999999999853344,3.0000000001646185,-0.999999999853344,3.0000000001646185,0.15476190493013423,0.15476190493013423,14.0
