method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
lag10y,42/1_Run_Means,c,3.087976437086679,0.036800955292828993,147,68,1.6531095785492796e-09,5.783224440749009e-07,0.006044541889407454,0.07023673618931162,-0.03769467561141304,1.3902446345637145,-185.2545600866165,0.09647277214398459,0.09570303125278615,-0.06721768325634218,0.025605854205347806,0.05148262128240634,-0.02646226882934572,5.416666666807259,4.33333333349583,5.416666666807259,4.33333333349583,5.416666666807259,4.33333333349583,2.9962121213646613,5.090794946027029,13.0,-840.460104088957,0.1855426294836342,-0.15081370178682274,3.039996104567697e-05,4.021506239384224,-0.16756056245170475,6.333333333472183,12.833333333489009,6.333333333472183,23.00000000014643,6.333333333472183,2.6666666668315884,8.907051282173143,8.907051282173143,14.0
lag5y,42/1_Run_Means,c,6.482079181788031,0.043338312280512895,109,40,1.3652094701084604e-16,7.45012713856563e-07,0.21827576304911536,0.07634748798231641,-0.016023055366847824,50.203425501296536,-78.93603908317299,0.09761553322228937,0.10316894375584205,-0.026074330190594273,3.374325281837001,6.114579324993237,-0.006890583038330078,1.6666666668108974,11.583333333489009,1.6666666668108974,20.250000000147793,1.6666666668108974,2.916666666830224,1.9141414142958375,4.350716235577721,14.0,-724.2717954837572,0.17751231878050835,-0.10967034872107485,0.20252807738483145,9.55126705799825,-0.14798887666068913,2.583333333475821,9.916666666824767,2.583333333475821,18.58333333348355,2.583333333475821,1.2500000001659828,7.615384615507607,7.615384615507607,14.0
raw1y,42/1_Run_Means,c,35.412952425878494,0.12699787451126074,3,3,0.0007886665359012533,0.9871346177446692,0.6918248699590901,0.11862951321587627,0.0012416143002717385,159.11972009059073,46.9738617294438,0.13923612602152702,0.14932879086682618,0.004602007919482971,2.8137516367307374,3.1642045430053587,0.007076396942138663,2.2083333334769577,10.988095238251585,5.083333333474229,23.33333333347855,-0.6666666665203138,-4.2499999998299245,0.9164502166053378,4.5364500652598565,35.2,-12.062913089099975,0.19611995443236235,-0.0789940106109976,3.0571120082603556,2.152825810231315,-0.13402189668022038,3.125000000141881,9.321428571587344,6.000000000139153,21.666666666814308,0.25000000014460966,-5.916666666494166,3.482417582577021,3.482417582577021,39.2
raw1y,42/1_Run_Means,r,35.412952425878494,0.12699787451126074,3,3,0.0007886665359012533,0.9871346177446692,0.6918248699590901,0.11862951321587627,0.0012416143002717385,159.11972009059073,46.9738617294438,0.13923612602152702,0.14932879086682618,0.004602007919482971,2.8137516367307374,3.1642045430053587,0.007076396942138663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.062913089099975,0.19611995443236235,-0.0789940106109976,3.0571120082603556,2.152825810231315,-0.13402189668022038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent10y,42/1_Run_Means,r,1.911831004258256,0.03686388731429486,8,5,2.1519623509152457e-08,0.004445002807557392,1.6966143109272251,0.04068664722577887,0.0006101060950237807,390.2212915132618,101.79481051710734,0.053498126181167435,0.05847758977846964,0.0013294434279538384,10.108034527772892,14.742357518133813,0.0034327888488769553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-481.2285966798481,0.15019035024146252,-0.08226657510252673,4.835565330558719,8.810955601139,-0.1376655047734821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent20y,42/1_Run_Means,r,1.0,0.03151512716412098,0,0,1.0,1.0,2.569257121597016,0.0,0.0,590.9291379673136,213.32204594573346,0.0,0.0,0.0,10.373839719106906,15.729564598849937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-429.35719962674824,0.13630132209487214,-0.08359601853048057,8.263482233016868,10.169925477709645,-0.14109829362235904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent21y,42/1_Run_Means,r,1.465738390993088,0.031227220927977663,0,0,0.9996141518711291,0.9996141518711291,2.568422319760519,0.004554772428254444,-4.890394506979165e-07,590.7371335449194,211.99240562007142,0.00552642701695251,0.00605815353033558,7.275478797776179e-06,10.291196919649181,15.263259973084216,-0.000311981382824128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-411.8240560267152,0.13544238073990766,-0.08358874305168279,8.202586823444289,12.61284272815124,-0.1414102750051832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent30y,42/1_Run_Means,r,0.6425436806412591,0.029631885631833173,0,0,0.9878637249345735,0.9878637249345735,2.292369106580456,0.02443951570401443,0.0009542603926225102,504.32120344770027,170.9460950210942,0.02979341608506221,0.033172792072636174,0.0006831698947482616,8.63124309015374,2.2461448490043363,-0.00319129580543156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-173.19624488948432,0.11598169677260288,-0.07418869215347053,8.962612876280922,1.7154528265539462,-0.1315662245977735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLS_refit,42/2_LT_Fits,c,0.8206026355722356,0.03135850168415946,136,120,2.4069616453999122e-35,1.1942669832359448e-33,-24.97598243912154,0.24052512380532767,-0.17038187474849537,-3496.637541477016,-3260.9204162749757,0.2921977858899792,0.3095782691516809,-0.2578783720436942,5.820979784024491e-30,2.884636632122967e-22,-0.19167644337046902,17.750000000129376,25.0,17.750000000129376,15.0,17.750000000129376,15.0,17.81060606072269,18.660222778543417,9.0,-4634.941031331202,0.3444930582830553,-0.3414743905741747,1.592876021482434e-34,7.204553783610886e-18,-0.33277473699282806,18.6666666667943,25.0,18.6666666667943,15.0,18.6666666667943,15.0,20.743589743678147,20.743589743678147,9.0
OLS_refit,42/2_LT_Fits,r,5.264263944261832e-13,0.023836807683154913,177,162,1.4234399865102225e-63,5.83729804178788e-63,-45.97115689575242,0.20942140142732332,0.0005119647313230803,-8688.548653297208,-2790.2640795903594,0.17256331514316176,0.16366922989039637,-0.04007049912134817,0.09184478519212252,6.904912639361912e-30,-0.14033075535952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2901.4258437578856,0.21022044232404746,-0.12366651765182873,0.010342886506494288,1.9699124529146417e-25,-0.2814290489818868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
