method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,bias50,xyear0.5,xyear1.0,xyear1.5
cent20y,42/1_Run_Means,r,1.0,0.03169350683629165,0,0,1.0,1.0,2.5462620925808044,0.0,0.0,394.6706243500247,233.71234542301508,0.0,0.0,0.0,0.0,1985.0416666666547,2010.6249999999648,
lowess1dt36wnc,42/3_ST_Fits,c,3.788047838728415,0.08339411935835166,8,1,0.08077855719477538,0.4306671947141856,1.3418486658769888,0.05556600583643405,-0.011495620861757034,216.0376352061952,142.9829118344107,0.05268728849863016,0.04973452663126067,-0.009050297843302453,-0.024784896476831922,1986.7083333333198,2012.958333333296,
Kal_flexLin,42/5_Kalman,c,5.352140038264094,0.05317657451406971,7,0,0.3015290489521317,0.3015290489521317,1.4910164168925577,0.053969679774934456,-0.008986782678543144,240.0536431197018,147.941147602734,0.05167327300832802,0.044433705743298434,-0.00818409311032669,-0.020682728278259416,1986.9583333333196,2013.7916666666285,
GAM_AR1,42/4_GAM_AR1,c,4.9466891915283675,0.056368426857741336,15,3,0.004512221733695788,0.15087366618065165,1.2176246067243426,0.06178383055764306,-0.007726684397584189,172.90269415485665,106.18063961849808,0.0650974045940603,0.051900354546604306,-0.017166443516742912,-0.027694585185696376,1987.1249999999861,2013.3749999999623,
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,6.060889972440501,0.04999454003066207,0,0,0.9566433566433566,0.9566433566433566,1.710004941158197,0.04171561455162394,0.0029221311015183034,259.92075105604596,162.02457282331562,0.04086730216655644,0.03027940495806775,-0.0013303943645918148,0.005106014289282973,1985.8749999999873,2009.8749999999654,
GWI_tot_CGWL,43/3_Human_Induced,c,2.4195406894185987,0.08074494120625841,0,0,0.9995137602655352,0.9995137602655352,1.5003530786687356,0.034936697759881424,0.0029570962134660168,106.52506858548023,106.52506858548023,0.03493669775988143,0.034936697759881424,0.0029570962134660168,0.017546549991542724,1986.0416666666538,2008.9583333332996,
GWI_tot_SR15,43/3_Human_Induced,c,2.3485158423521666,0.07237210727727277,0,0,0.8152221287077039,0.8152221287077039,1.3343899498709213,0.06253530334025326,0.0013560561779478503,94.74168644083541,94.74168644083542,0.06253530334025326,0.06253530334025327,0.0013560561779478503,0.0042976301446099145,1986.45833333332,2005.874999999969,
EBMKF_ta4,43/2_Kalman,c,2.2225166669776195,0.030382172334614113,113,62,0.00037442582255842497,0.0007759053316334253,0.4428928592227397,0.05152044136735669,0.025385003882333473,71.30575033486109,151.87407947189766,0.035227700170721736,0.03314820435760121,0.0007936534123767926,-0.017522574959417066,1987.6249999999857,2011.6249999999638,
FaIR_comb_unB,43/1_ERF_FaIR,c,1.9634271693808873,0.029582926609903425,0,0,0.7241379310344828,0.7241379310344828,2.1590132873312005,0.028339121551867637,0.007663700537843967,187.83415599781443,187.83415599781443,0.028339121551867633,0.03029398826672955,0.007663700537843966,0.006427767490924098,1986.0416666666538,2010.2916666666317,
equal_weight_comb,co/combination,c,4.116766250485058,0.03793607831654977,0,0,0.828605023541393,0.828605023541393,1.930994021964487,0.03484837682117305,0.0015158846501874099,310.8900375362824,189.3031706485634,0.0331156595718734,0.0288312657367208,-0.0040654753523553565,-0.008800636161207818,1986.7083333333198,2011.4583333332973,
PIVW_comb,co/combination,c,3.4943194924221093,0.03313316836120945,0,0,0.6399670706167468,0.8180395155280652,2.06945233999355,0.03032470801025759,0.007549552559209728,333.1818267389615,210.9527891356816,0.025270726937746117,0.02438537330485971,-0.00029716219007007953,-0.0011301292618191427,1986.5416666666533,2010.2083333332985,
