method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,bias50,xyear0.5,xyear1.0,xyear1.5
cent20y,42/1_Run_Means,r,1.0,0.02787764370736767,0,0,1.0,1.0,2.6739183853751727,0.0,0.0,414.4573497331518,241.90378698530515,0.0,0.0,0.0,0.0,1984.2083333333221,2010.7916666666313,
lowess1dg20wnc,42/3_ST_Fits,c,3.411188558727628,0.023135306021590373,119,77,1.569447775981642e-14,1.5870825534519854e-09,-0.7402639191957446,0.04675556780995043,-0.005669162207892639,-119.18249099051488,-236.56659146220414,0.04720596573435265,0.05186159560795299,-0.026379897967269982,-0.05399074455971564,1987.5416666666524,2013.958333333295,
Kal_flexLin,42/5_Kalman,c,5.853295559936926,0.05317657451406971,0,0,0.9984219153800914,0.9984219153800914,1.764579387556789,0.040375216926437585,-0.010434263544909414,284.09728139664304,174.0337373448127,0.03691280560953128,0.0347309005819198,-0.012141985305451025,-0.01816398387050341,1984.7083333333217,2013.7083333332953,
GAM_AR1,42/4_GAM_AR1,c,5.748262440642799,0.04131620061648399,27,15,3.7558634975463575e-05,0.021105850833140722,1.3114863047249463,0.045061722074755166,0.0011119242282904454,186.2310552709424,116.13767569584229,0.04219452223419709,0.04462891826473752,-0.004411565097702018,-0.025320579881617927,1985.0416666666547,2013.4583333332955,
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,6.976754034703631,0.05027089758265403,0,0,0.855,0.855,1.5339532567811738,0.04829144140677836,-0.013200119873092614,233.1608950307384,163.33772721474492,0.039066900782382855,0.036364522581665906,-0.004411803658996595,0.0012144138192725178,1985.2916666666545,2009.9583333332987,
GWI_tot_CGWL,43/3_Human_Induced,c,2.914583648158456,0.07597589877572847,45,0,0.4364281700947675,0.4364281700947675,0.9790298432040078,0.09475389002138693,-0.07153793632218473,69.51111886748456,69.51111886748456,0.0947538900213869,0.09475389002138691,-0.07153793632218473,-0.11389196038195394,1990.29166666665,2016.0416666666265,
GWI_tot_SR15,43/3_Human_Induced,c,2.653162788835062,0.06818690942197213,0,0,0.6383168018160439,0.6383168018160439,1.2118461776611988,0.07427567279121385,-0.04908884767361841,86.04107861394512,86.0410786139451,0.07427567279121385,0.07427567279121385,-0.04908884767361841,-0.08441614986929903,1989.2083333333176,2015.541666666627,
EBMKF_ta4,43/2_Kalman,c,3.708944815799794,0.04659087996110021,126,58,6.432022080784729e-05,0.0081744131175373,0.318348988220891,0.07706842492486286,-0.0671198129460587,51.25418710356345,50.01501499628081,0.06790255059025295,0.07382428996517663,-0.05622850854587224,-0.08450693344899872,1989.1249999999843,2016.874999999959,
FaIR_comb_unB,43/1_ERF_FaIR,c,5.6527726252763575,0.03728692436519722,56,35,8.735002072735102e-15,2.2655740413455176e-14,-433.95138313521267,0.3508075406449085,0.21001043898843486,-39489.57586530435,-39489.57586530435,0.3508075406449085,0.2596646998464819,0.21001043898843488,-0.0006466458983228726,1985.7083333333208,2011.8749999999636,
