method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,bias50,xyear0.5,xyear1.0,xyear1.5
cent20y,42/1_Run_Means,r,1.0,0.030845666037721316,0,0,1.0,1.0,2.5716370639823882,0.0,0.0,398.60374491727015,235.81504916597882,0.0,0.0,0.0,0.0,1984.8749999999882,2010.041666666632,
lowess1dg20wnc,42/3_ST_Fits,c,3.167921451870003,0.07308515425734956,3,0,0.47150761154818605,0.5335217712329479,1.2417424012501952,0.0591402763046515,-0.02114991272665548,199.92052660128144,124.71739831960403,0.05816466270208215,0.060257422241792744,-0.028561596306182598,-0.05898530603984755,1989.041666666651,2013.2083333332957,
Kal_flexLin,42/5_Kalman,c,4.992661393385744,0.05317657451406971,2,0,0.4679703611879835,0.5801296928219349,1.590490399442913,0.04956928933049744,-0.010842028008277141,256.068954310309,167.60460447562988,0.041045546257263255,0.04101118559721638,-0.008570908576502506,-0.020889319083729645,1986.7083333333198,2013.4583333332955,
GAM_AR1,42/4_GAM_AR1,c,6.675499487621948,0.052861985306063966,11,3,0.0042989369645289,0.2206816067210519,1.2986458288443947,0.05836980219544973,-0.011731150148015948,184.40770769590407,125.20478809000309,0.0553802020754203,0.04796533891751926,-0.01956487655478713,-0.033547023232967176,1987.2916666666526,2013.1249999999625,
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,5.886139921183625,0.05038226441510262,0,0,0.9626666666666667,0.9626666666666667,1.7105210492985865,0.038474160406306405,-0.004544052762381124,259.99919949338516,163.26700615238082,0.03712303452501481,0.03577825776894677,-0.006978362579954316,-0.0028876107119480965,1986.2916666666536,2009.6249999999657,
GWI_tot_CGWL,43/3_Human_Induced,c,2.357014942258912,0.07510573466985467,0,0,0.950687400207436,0.950687400207436,1.5570989883166828,0.03409969161082346,-0.014299873769084412,110.55402817048447,110.55402817048446,0.03409969161082347,0.03409969161082346,-0.014299873769084412,-0.004298082985029031,1986.5416666666533,2009.7916666666322,
GWI_tot_SR15,43/3_Human_Induced,c,2.2692472905828214,0.06804764359166086,0,0,0.9776758363901551,0.9776758363901551,1.4202902914604687,0.05514384689054969,-0.012566273569536986,100.84061069369328,100.84061069369329,0.0551438468905497,0.0551438468905497,-0.012566273569536986,-0.01146094125947786,1986.791666666653,2006.6249999999684,
EBMKF_ta4,43/2_Kalman,c,2.1681302100739193,0.04645883595726793,49,18,0.0708733223543743,0.0708733223543743,1.3115136063957984,0.05247079524101895,-0.03096446025566776,211.15369062972354,75.83450315677418,0.06470134097558436,0.07144362236718718,-0.05385268889927416,-0.08089817779549192,1988.4583333333183,2013.7083333332953,
FaIR_comb_unB,43/1_ERF_FaIR,c,4.733010671917786,0.031436849871915196,56,31,5.410635788395198e-17,1.5142107661977693e-16,-608.1807529072815,0.33949481657464625,0.19124843754246948,-52911.7255029335,-52911.72550293351,0.33949481657464625,0.2617928500854866,0.1912484375424695,-0.015998640950684092,1986.6249999999866,2011.708333333297,
