method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
EBMKF_ta2,43/2_Kalman,c,1.699,0.03591043616970773,115,46,0.0030181742043756516,0.011131142047473508,1.0597638722599747,0.05433068558776167,-0.028317791495221227,244.80545449205414,178.40169146323967,0.03306327563672927,-0.001484938846142472,10.245215139879981,13.154180275173886,-0.015641077162737816,-1.083333333178416,0.0833333335003772,-0.19444444425321686,1.0276839296373772,24.0,160.78459699864462,0.03812602782593586,0.017870226003967076,13.162147302865419,6.611424746009424,0.04122167877814711,1.5302248357329518e-10,-0.8333333331647736,-0.9239130432897878,0.9239130432897878,23.0
Kal_flexLin,42/5_Kalman,c,4.551,0.051925582581174703,0,0,0.991333101974509,0.991333101974509,1.698293271176104,0.043798765792975224,-0.008840404352880464,392.30574564168006,154.08438237286472,0.04298255034105512,-0.01192215456356244,3.8923551282634965,3.9544604622431474,-0.0025640086253554293,1.6666666668188554,0.6666666668334074,0.2899305557458736,1.094526840570697,25.0,113.00399007923876,0.06358769790356925,0.007433010286547106,3.8232313663615667,7.9516256466853985,0.05429874731552949,2.750000000150294,-0.24999999983174348,-0.36413043459500566,0.36413043459500566,24.0
GAM_AR0,42/4_GAM_AR1,c,4.639,0.0417509008511978,24,1,0.02925259617652039,0.3268232564431931,1.5158368080383742,0.05251746200210992,-0.01106835363909776,321.35740330413535,146.07172940808215,0.04620376780361673,-0.01730977677187859,4.476628850864187,0.7365409361975553,-0.003721273737268571,1.8333333334853705,1.750000000165528,0.3298611113012839,1.5196437509307636,24.0,92.858895566603,0.063898079491191,0.002045388078230956,3.4869616943897994,7.390748319034592,0.05314148220361635,2.916666666816809,0.8333333335003772,-0.3623188403923114,0.3623188403923114,23.0
GAM_AR1,42/4_GAM_AR1,c,5.463,0.05153761530131672,5,1,0.09540679690854982,0.14436335066415643,1.5028851496109144,0.05016908959964071,-0.020030147481924578,318.61165171751384,144.88338828015782,0.046712991603707545,-0.021804682431474327,4.0026779844557225,2.7025487080029857,-0.012848819520745847,1.4166666668193102,2.5833333334981035,0.5434027779678464,1.448403695131946,25.0,122.71048314690171,0.060865984412508047,-0.002449517581364782,4.239730314949,6.867299000031978,0.04401393642013908,2.5000000001507487,1.6666666668329526,-0.1394927534358984,0.1394927534358984,24.0
etrend15y,42/3_ST_Fits,c,5.284,0.05664494909003616,0,0,0.5784953863424174,0.8302007603756144,1.505946731920623,0.05282333228983448,-0.005996593555630768,341.84990814598143,140.0486205459605,0.05070050392021614,-0.003097010983361079,8.065568452303344,5.0243818078567815,0.005562065243721648,1.3333333334858253,0.41666666683340736,0.263888889079368,1.1552016018116718,26.0,99.49752291696248,0.07360794913130712,0.016258153866748466,9.485506093916932,6.476861629276769,0.06242482118460657,2.416666666817264,-0.4999999998317435,-0.380434782420885,0.380434782420885,25.0
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,5.631,0.056092375091144016,0,0,0.99495757083803,0.99495757083803,1.6466081420254284,0.04629502286869848,0.004899178179150588,365.5470075296451,135.90607214484373,0.053225474977924264,0.014557184775670369,5.025461099672379,5.763781655642239,0.0424021065235138,1.4166666668193102,0.7500000001664375,-0.6736111109220152,1.5951224118975225,28.0,87.81444684110475,0.08517539034986336,0.033912349625779915,4.711797117437147,6.451329566705212,0.09926486246439872,2.5000000001507487,-0.1666666664987133,-1.3188405795237248,1.3188405795237248,27.0
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,3.199,0.05748522900915765,0,0,0.9998387069092176,0.9998387069092176,1.6148668389433196,0.048155310048365034,0.005451379912932402,358.50043824541694,134.15305665268357,0.05537785227566079,0.015336236026551988,5.812622531528053,3.118401868127997,0.048552095890045166,1.7500000001523404,1.4166666668324979,-0.5451388887002319,1.8256626142821493,25.0,87.65834891604223,0.08765097268709987,0.03469140087666153,6.278989666426751,6.421251333648682,0.10541485183093009,2.833333333483779,0.500000000167347,-1.1847826085096902,1.1847826085096902,24.0
etrend30y,42/3_ST_Fits,c,2.969,0.04140415290941022,57,0,0.16938156735122062,0.16938156735122062,1.428655232715189,0.04975132107654921,-0.015824617620372638,302.87490933562003,128.06339979382574,0.049376289392522275,-0.020379703681528086,2.0885294716081284,1.1140051424578952,-0.011037607423718754,2.500000000151431,1.9166666668320431,0.46180555574583576,1.658574103174315,24.0,83.1599699998268,0.06441547909252175,-0.0010245388314185423,3.069242964216372,8.835253499763455,0.04582514851716617,3.5833333334828694,1.0000000001668923,-0.2137681157545182,0.2137681157545182,23.0
offset11y,42/3_ST_Fits,c,2.523,0.03962063511403782,170,93,1.6995056015193577e-07,5.526457454179233e-07,-0.3691685102286321,0.08204668544669187,0.0356492907776398,-85.27792586281402,124.65205525785356,0.05998420376626755,-0.03818880054685805,13.744269024943549,0.7960038050219969,-0.06918114423751831,1.3333333334858253,3.0000000001646185,1.3055555557470484,2.088604442940876,24.0,127.98630453072312,0.04743226583702448,-0.0188336356967485,6.828845334701468,4.107581232119928,-0.012318388296633388,2.416666666817264,2.0833333334994677,0.6159420291741912,0.6159420291741912,23.0
EBMKF_ta3,43/2_Kalman,c,1.763,0.05615429082407395,28,0,0.4213876146447924,0.4213876146447924,1.4508815222716787,0.050748206321216516,-0.008168238077759352,335.15363164475775,121.59858171674415,0.052234622845292324,-0.005771714652671246,11.137889986660037,1.5351799116775164,-0.03915177260717827,0.08333333348718952,2.083333333498558,0.26041666685788795,2.030510905459742,24.0,141.36060360023305,0.04644903639012823,0.0135834501974383,9.819436748364213,7.077179010202713,0.01771098333370666,1.166666666818628,1.1666666668334074,-0.44565217372459026,0.44565217372459026,23.0
cubic_spline,42/4_GAM_AR1,c,8.081,0.07645557280673264,2,0,0.14077927859714845,0.5418425963152165,1.0946215010543412,0.08148790659050117,0.0008670416886393569,230.96513672246599,117.24274275056159,0.063851653152809,0.005955958680540558,2.3849888815589644,5.502244721694575,0.04803274514975977,2.2500000001518856,0.1666666668338621,-0.2986111109218257,1.8032169683683403,26.0,66.99835439734431,0.09597637100507883,0.025311123530650105,2.6222780737755667,4.578583180514583,0.10489550109064469,3.333333333483324,-0.7499999998312887,-0.9710144925670845,0.9710144925670845,25.0
Kal_flexLin_ocn,42/5_Kalman,c,4.831,0.04783952300212699,34,2,0.0886146920175008,0.20529555619366796,1.480948189467326,0.05338072907498045,0.013685106836322911,342.0990317669523,104.19058583189951,0.06430028182711138,0.03509415907134519,6.268342403530314,7.894403621253478,0.06908444057133405,1.250000000152795,0.1666666668338621,-1.0416666664779466,1.854673775722108,26.0,-18.715807425934795,0.0981191403829505,0.05444932392145473,6.848497689279063,5.479541352036995,0.12594719651221897,2.3333333334842337,-0.7499999998312887,-1.6340579708283198,1.6340579708283198,25.0
etrend30y_3CS,42/3_ST_Fits,c,3.031,0.04140415290941022,87,3,0.07748590550148866,0.10361805265450118,1.224488225460394,0.057563473484918415,-0.024805208016015663,259.59150379760354,86.30114953936135,0.06590546696825225,-0.04109767056793231,2.0885294716081284,1.1140051424578952,-0.011037607423718754,2.500000000151431,1.9166666668320431,0.7916666668566373,1.5487823772592713,24.0,45.90335122311565,0.07651632297632803,-0.021742505717822762,3.069242964216372,8.835253499763455,0.04582514851716617,3.5833333334828694,1.0000000001668923,0.1304347827958835,0.1304347827958835,23.0
lowess1dg20wnc,42/3_ST_Fits,c,3.207,0.101583527371047,0,0,0.9986886077074072,0.9986886077074072,1.3997512823334133,0.04358883461471433,-0.016226247922035822,323.34254621901846,83.39398021806414,0.04378989479406004,-0.01946320335070292,2.958777796134332,2.1840103639815873,-0.010353183746337891,1.9166666668188554,1.6666666668324979,0.41666666685697845,1.4563478548148838,24.0,80.35967221505251,0.060139649204214427,-0.00010803850059337582,2.9092388430082896,2.424314614587101,0.04650957219454703,3.000000000150294,0.750000000167347,-0.24637681140663278,0.24637681140663278,23.0
Kalman_RW_ocn,42/5_Kalman,c,6.741,0.051085138775808205,38,10,0.0009719498631186084,0.049372571080629646,1.2933842441839452,0.06261771398324019,0.004277510411538314,298.77176040649135,80.97822762066934,0.07677518170871535,0.03596666309261721,4.624969605413143,7.959901793301873,0.08365584191315287,1.3333333334858253,-0.08333333316613789,-1.1927083331448312,2.0892450843810995,26.0,-32.57912091692019,0.11054603848630161,0.05532182794272676,6.060911989792736,2.6479192720070297,0.1405185978540378,2.416666666817264,-0.9999999998312887,-1.71195652155304,1.71195652155304,25.0
