method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
GAM_AR1,42/4_GAM_AR1,c,7.052,0.04818842878022891,21,6,0.0011177084996274883,0.027859054594179863,1.3452942268412758,0.053721672886979224,-0.004863482545091206,283.85708186350917,155.62647841235514,0.03968045832444255,0.0075186825764302235,7.375169926401161,4.93219348138403,0.008558455160286832,1.2500000001425633,3.3750000001671197,1.2500000001425633,4.0000000001664375,1.2500000001425633,2.7500000001678018,-0.6442307690659583,3.029127649326148,16.0,144.53209655322345,0.046562661619949645,-0.002447589542661688,7.02236236261521,3.2904357620946216,-0.022522249544882206,1.500000000142336,6.291666666828178,1.500000000142336,6.916666666827496,1.500000000142336,5.66666666682886,0.4775641027227161,0.4775641027227161,16.0
Kal_flexLin,42/5_Kalman,c,4.879,0.051937104875293474,0,0,0.8890584695222081,0.8890584695222081,1.6154445096955545,0.047944285082376525,-0.002541702777047098,371.55223722997755,153.3643802557799,0.042354165405729706,0.010661716557734804,6.744380003899395,4.478333334925798,0.014867068286628215,1.4166666668090784,2.4166666668347716,1.4166666668090784,2.4166666668347716,1.4166666668090784,2.4166666668347716,-0.9391025639379922,3.0308465785086396,14.0,138.3676852411531,0.05103440036106822,0.0006954444386428918,6.23090027906602,2.4154976758678255,-0.016213636418540824,1.666666666808851,5.33333333349583,1.666666666808851,5.33333333349583,1.666666666808851,5.33333333349583,0.18269230785117194,0.18269230785117194,14.0
GAM_AR0,42/4_GAM_AR1,c,6.417,0.04607811108197686,44,0,0.14663115214412759,0.18234477493823686,1.3910349633923214,0.059075590347399586,-0.0026400680158332334,293.5083772757798,151.1741756451167,0.042733278425342025,0.003365655942112045,8.46350596239561,2.6958586018439727,-0.001044280506301437,1.1666666668095331,4.833333333499013,1.1666666668095331,4.833333333499013,1.1666666668095331,4.833333333499013,-0.4198717947069781,3.306482398932502,15.0,127.0200249430155,0.05114967713756121,-0.006600616176979867,7.678146308825965,1.7409133569696766,-0.032124985211470475,1.4166666668093058,7.750000000160071,1.4166666668093058,7.750000000160071,1.4166666668093058,7.750000000160071,0.7019230770815563,0.7019230770815563,15.0
Kal_flexLin_ocn,42/5_Kalman,c,4.817,0.04785149967135825,5,0,0.2311454150355442,0.2311454150355442,1.6018714994276924,0.0482888685548103,0.005700227112513098,368.43044486836925,144.9985083241076,0.04730706758197622,0.021887593363184608,8.61392572292089,6.779183490529131,0.035734239800991774,0.583333333476503,1.416666666835681,0.583333333476503,1.416666666835681,0.583333333476503,1.416666666835681,-1.3173076921428988,3.3591349172918537,15.0,144.73200936731078,0.047434192677097975,0.011921321244092698,8.267233783201412,5.586209445197889,0.004653535095822736,0.8333333334762756,4.333333333496739,0.8333333334762756,4.333333333496739,0.8333333334762756,4.333333333496739,-0.19551282035369974,0.19551282035369974,15.0
etrend30y,42/3_ST_Fits,c,3.183,0.035824506490295636,137,12,0.01394047082893786,0.02319671201342505,1.2315905124150506,0.05493388760347964,-0.0015798545079571521,259.8655981195757,139.8608387021639,0.04496232238475279,0.01564808970051741,10.831786026530683,7.330144887961073,0.026250385161369877,1.0833333334760482,2.3333333335012867,1.0833333334760482,2.3333333335012867,1.0833333334760482,2.3333333335012867,-1.141025640861244,3.998931481150434,13.0,121.94866834037356,0.04709034230213548,0.005681817581425494,9.378111682583041,7.879505304136653,-0.004830319543799161,1.3333333334758208,5.250000000162345,1.3333333334758208,5.250000000162345,1.3333333334758208,5.250000000162345,-0.019230769072569622,0.019230769072569622,13.0
offset11y,42/3_ST_Fits,c,2.831,0.03269812250862383,166,97,6.609976645596599e-05,0.0002711257312564706,-0.23093716598493805,0.0811991800870471,0.059254357237570617,-53.115548176535754,130.52274850908933,0.046695494276864764,0.027794338456213326,12.896249622475253,21.404029580127233,0.04451451041481708,0.3333333334769577,0.5833333335031057,0.3333333334769577,0.5833333335031057,0.3333333334769577,0.5833333335031057,-1.8205128203483303,4.2695002609035395,13.0,89.82221041366071,0.04722620991599966,0.01782806633712141,12.027601846226968,0.508792534005468,0.013433805709648038,0.5833333334767303,3.500000000164164,0.5833333334767303,3.500000000164164,0.5833333334767303,3.500000000164164,-0.6987179485592361,0.6987179485592361,13.0
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,6.832,0.053269988306882704,0,0,0.9147866113943023,0.9147866113943023,1.561974196623121,0.05053894328201058,0.015210375266794054,343.63432325708663,128.13810977058068,0.055934112983271306,0.040070938421239474,7.5430234649502585,5.640789381611486,0.058588606407257854,-0.33333333318910263,-0.8333333331624999,-0.33333333318910263,-0.8333333331624999,-0.33333333318910263,-0.8333333331624999,-2.798076922912077,4.8119137448395515,15.0,133.02141042458538,0.05256424214440729,0.03035492270691761,7.704361849001552,5.278867553665799,0.027531187113208996,-0.08333333318933,2.083333333498558,-0.08333333318933,2.083333333498558,-0.08333333318933,2.083333333498558,-1.6762820511226157,1.6762820511226157,15.0
Kalman_RW,42/5_Kalman,c,6.468,0.05393872156985289,0,0,0.8030799081213246,0.8030799081213246,1.4916753564478455,0.05440110232338279,-0.02689786791373052,343.0853319830045,126.30340629946075,0.05802070925583772,-0.03898432037441355,2.5401620903719264,1.7055900720130632,-0.02975296011528698,3.6666666668072594,4.666666666832498,3.6666666668072594,4.666666666832498,3.6666666668072594,4.666666666832498,2.4059829061465257,3.0745331412702903,17.0,101.64468348321103,0.07014504634117075,-0.04895059249350547,2.149260945155804,0.5620070778975916,-0.060833664820456025,3.916666666807032,7.583333333493556,3.916666666807032,7.583333333493556,3.916666666807032,7.583333333493556,3.5277777779348036,3.5277777779348036,17.0
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,3.866,0.05518044248561967,0,0,0.8709993928695896,0.8709993928695896,1.517283700133092,0.053068566166038236,0.015526599683342612,333.80241402928027,123.66501712293886,0.0589353816592845,0.04375408417189213,7.532690273399911,5.483013389360688,0.06459253489743198,-0.33333333318910263,-1.0833333331620452,-0.33333333318910263,-1.0833333331620452,-0.33333333318910263,-1.0833333331620452,-2.7371794870145654,4.804233798648305,13.0,130.78640160604863,0.05517809458300999,0.034038068457570264,7.676884386618352,5.600813604801546,0.033535115603383125,-0.08333333318933,1.833333333499013,-0.08333333318933,1.833333333499013,-0.08333333318933,1.833333333499013,-1.6153846152252265,1.6153846152252265,13.0
Kalman_RW_ocn,42/5_Kalman,c,6.731,0.05108920598434169,15,6,0.0864691750251824,0.09207254887320776,1.4404916975965554,0.05642022111141892,-0.003860046049147329,331.31309044720774,113.46129761529951,0.06335502184610424,0.02140288816074894,7.61242343720029,7.55496925236336,0.06038060122524926,0.6666666668099879,0.5000000001696208,0.6666666668099879,0.5000000001696208,0.6666666668099879,0.5000000001696208,-1.4871794870160697,4.706446751520235,14.0,129.73494223095645,0.05565166949556633,0.011436616041657027,7.302239375118478,6.667122238661267,0.02929989652008023,0.9166666668097605,3.416666666830679,0.9166666668097605,3.416666666830679,0.9166666668097605,3.416666666830679,-0.36538461522648574,0.36538461522648574,14.0
