variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0384414399663606,0.0630388425042231,0.1512895806630452,0.1930966354906559,0.103370522459348,0.0546263280014196,0.1096844229847192,0.2783356127142906,0.3416200697422027,0.1901889046033223,0.1782557544608911,0.2235986126462618,0.3649947875738143,0.4180018126964569,0.2922492325305938
1951,0.0370184651886423,0.0609527902677655,0.1517858165999253,0.1958091080188751,0.1016399525105953,0.024769284405435,0.0818956676125526,0.2624227719505628,0.3298496529459953,0.1678594723343848,0.1574615580340226,0.20185188199083,0.3471028506755829,0.4013974611957868,0.2719988326231638
1952,0.0345032649114727,0.0570008932302395,0.1425308014452457,0.1848412166039148,0.0950370356440543,0.0243422254764784,0.0843685053785641,0.2653124664227167,0.331984417140484,0.1726912582914034,0.1414517752826213,0.1926134451727072,0.3446661085883776,0.4001109605034192,0.2676716645558675
1953,0.0343586469690004,0.0561243291447559,0.1413881969948609,0.1831095330417156,0.0942156128585338,0.021082798205316,0.0808430334180592,0.2651145409544308,0.3363904888431231,0.1689650242527325,0.1324682575960953,0.1810449278354644,0.3358611282706261,0.3946233416597048,0.2560894787311553
1954,0.0331697823479771,0.055375567091008,0.1414905464152494,0.1839409718910853,0.0936906064550081,0.0145956638424346,0.0759486907472212,0.2681010084350903,0.3429288233319918,0.167385863761107,0.1272973380982875,0.1788236456612745,0.3405224416653314,0.4022091537714004,0.2568152546882629
1955,0.0314670924097299,0.0535505424067377,0.1386429824928442,0.1810258435706297,0.0911733309427896,-0.0089913466246797,0.0548955034092068,0.2542401818434396,0.3254947284857432,0.1520096162954965,0.1048564496139685,0.1573753364384174,0.3267492089668909,0.3860269293189048,0.2401540229717889
1956,0.0363651529575387,0.0586492872362335,0.1466766331593194,0.1918331248064836,0.0971607292691866,-0.0391182010372479,0.0286622971110045,0.2344476398825644,0.308921497563521,0.1286659737428029,0.0777090982844431,0.1364332967003186,0.313789162437121,0.37450011074543,0.2224729657173156
1957,0.0394287640228867,0.0646986667066812,0.1589121768871942,0.2052619611223538,0.1070190072059631,-0.0631204318876067,0.006283429179651,0.218957843184471,0.2937011847893397,0.1095163871844609,0.0603373839209476,0.1224463953574497,0.3068352259198824,0.366844675441583,0.2154759466648101
1958,0.0425553853934009,0.0708903289337952,0.1729104726016521,0.2220992301901181,0.1173871780435243,-0.0700199456885456,0.0002866974721352,0.2044981793065865,0.2787067612012227,0.100973634670178,0.0615863311414917,0.122589964394768,0.301853658457597,0.3609015176693598,0.2159799536069234
1959,0.045688934624195,0.0742450844744841,0.1787528943022091,0.2307946172853311,0.1209504852692285,-0.0507799955705801,0.0200708795338868,0.2240707361698149,0.2962392921249072,0.1209293430050213,0.0894675315668185,0.1479924270510673,0.3251172536611556,0.385413826505343,0.2398155257105826
1960,0.0436957595249016,0.0727944088230529,0.1812489207088946,0.2329607419669628,0.1216387599706649,-0.0591383287062247,0.0120566082373261,0.2143497641384601,0.2856665869553884,0.1128907389938831,0.0829349828263123,0.1419928752382596,0.3097872055570284,0.3663806448380152,0.2295178323984145
1961,0.0450998554006218,0.0736669570952653,0.1852750885983307,0.2412913769483566,0.1228467971086501,-0.0706481101612249,0.002675775483561,0.2066270444790521,0.2804473956425984,0.1046161850293477,0.0780496408541996,0.1371560302873452,0.3068005956212679,0.368337811032931,0.2233706712722778
1962,0.0383480185021956,0.0622859644517302,0.161003101269404,0.210329936693112,0.1056373951335747,-0.0572592277700701,0.0143523800078158,0.2142502632737159,0.2899620672067007,0.1131951734423636,0.0732040277371803,0.1272047368685403,0.2948977169394493,0.3596772561470667,0.2113769749800363
1963,-0.0212005290202796,-0.0010674695827583,0.0599662601823607,0.091151554385821,0.0243484927341341,-0.0259426333631078,0.0404554304356376,0.2338134224712847,0.3021721859773,0.136551596224308,0.0082989860248441,0.0619918310393889,0.2381308468679586,0.3016170496741931,0.1483975127339363
1964,-0.1092583395540714,-0.0791509710500636,-0.0167709953089554,-0.0028516471929227,-0.0429376307874917,-0.0146969320562977,0.0453629043822486,0.2209063387910524,0.2846322869261106,0.1319913913806279,-0.077357704937458,-0.0229062502179294,0.1546545459826786,0.2195790035029252,0.0636871264626582
1965,-0.1143973509470621,-0.0898029365638891,-0.0302799289114772,-0.0152885590679943,-0.0574160553514957,0.0122507371318836,0.0708609794080257,0.2438125793139139,0.3094483027855555,0.1556330174207687,-0.0623625392715135,-0.0083653046904752,0.1643389505644638,0.2300476513803005,0.0741234421730041
1966,-0.0627324264496564,-0.047041713160773,-0.0071091361328338,0.0073528602098425,-0.0264863837510347,0.0301518182580669,0.0874866047501563,0.2568908748030662,0.3198705444733302,0.170706662038962,-0.0003179938605171,0.0485316952814658,0.2077042220532893,0.2648663481076559,0.1238638497889041
1967,-0.0326398308699329,-0.0203906579191485,0.0115487074324239,0.0292638457690675,-0.0049785475712269,0.046021902312835,0.1056844930847485,0.2794119368990261,0.3439357032378515,0.1916525041063626,0.0375262453531224,0.0886568000167608,0.2491531388958294,0.3098066950837771,0.1664818649490674
1968,-0.0269431514355043,-0.0148941369727253,0.0183898316323756,0.034583110269159,0.0003927816675665,0.0525051009530821,0.1079032681634028,0.272010054985682,0.3334595769643783,0.1882162044445673,0.0537112648288408,0.0978892105817794,0.2493967869381109,0.3076862618327141,0.1698490952452024
