,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
1980,0.243865622,0.264531162,0.258349295,0.261067446,0.258157002,0.270226558,0.262020581,0.263461665,0.247171622,0.257732237,0.2448083,0.265938534,0.272248268,0.266226538,0.265051758,0.26033833,0.259613871,0.265361174,0.259127072,0.250892345,,0.259809469
1981,0.255093018,0.261545134,0.243198504,0.268762345,0.253665859,0.259196974,0.245659907,0.258727521,0.268292528,0.242481665,0.254916533,0.270050472,0.249068808,0.231536059,0.219872683,0.249275372,0.252272554,0.238623754,0.247899788,0.241494821,,0.250581715
1982,-0.643356979,-0.622729738,-0.644201874,-0.62328313,-0.629032564,-0.633205949,-0.616279447,-0.619186451,-0.651029775,-0.641377964,-0.643998432,-0.648000955,-0.617553768,-0.63322249,-0.650100769,-0.639162228,-0.626587294,-0.626082216,-0.635446472,-0.634779541,,-0.633930902
1983,-0.780188349,-0.786077654,-0.79333137,-0.777577524,-0.774537763,-0.782984607,-0.772896065,-0.783537264,-0.773009349,-0.778800507,-0.787506867,-0.785469907,-0.787833429,-0.790059842,-0.780983287,-0.784326011,-0.782930221,-0.795808426,-0.79708562,-0.801163768,,-0.784805392
1984,-0.188849902,-0.183163163,-0.166690541,-0.167219337,-0.181331065,-0.17429069,-0.189083693,-0.162439339,-0.155823553,-0.160572425,-0.167730231,-0.173808105,-0.168391074,-0.184349468,-0.170160708,-0.165077791,-0.157302804,-0.163603358,-0.175968553,-0.15125021,,-0.1703553
1985,0.051869107,0.045911482,0.051792975,0.05601131,0.063161067,0.034609239,0.043608461,0.064955034,0.064306411,0.032573448,0.046761748,0.06720371,0.054433048,0.040822456,0.038751541,0.056506449,0.043195859,0.066141566,0.039508491,0.044467938,,0.050329567
1986,0.052243084,0.016280966,0.012519659,0.034955319,0.023460264,0.025479228,0.020624391,0.016268068,0.011553414,0.047895409,0.033367426,0.027182309,0.025834239,0.014182234,0.049272074,0.027506516,0.031478313,0.034211298,0.041617447,0.006640255,,0.027628596
1987,0.087061678,0.063177135,0.080685298,0.086416276,0.084442348,0.079256553,0.082494383,0.079331867,0.066467424,0.064408867,0.076541435,0.071386711,0.061447095,0.063203035,0.085614595,0.079239782,0.064412733,0.066231441,0.089920545,0.06732397,,0.074953159
1988,0.127640052,0.146396795,0.125607793,0.151515998,0.12459882,0.14114251,0.142004554,0.134149959,0.125456408,0.15234551,0.130426236,0.134652152,0.141559305,0.121793838,0.149270245,0.125289348,0.109493413,0.127459361,0.155080706,0.137948071,,0.135191554
1989,0.189393454,0.192811062,0.173569215,0.15940725,0.177933813,0.19074102,0.183705219,0.201861522,0.182004907,0.195307019,0.190095399,0.16780376,0.175316054,0.18487646,0.180637024,0.187155727,0.190561871,0.17346223,0.189843098,0.176851409,,0.183166876
1990,0.184116349,0.173105826,0.164669768,0.190565087,0.178681184,0.174461748,0.17883175,0.198930735,0.190532058,0.171997007,0.166853874,0.151749473,0.180238079,0.151044186,0.198187725,0.154750355,0.171316964,0.177195499,0.183107865,0.18172891,,0.176103222
1991,-0.734632414,-0.729446053,-0.723465952,-0.738504688,-0.726042966,-0.735942565,-0.744561778,-0.736030063,-0.743265537,-0.735791829,-0.738308381,-0.747065759,-0.764444974,-0.754491079,-0.721530459,-0.743716713,-0.73873176,-0.733408817,-0.733479355,-0.731490833,,-0.737717599
1992,-1.469062183,-1.451299498,-1.435943285,-1.442966047,-1.451262972,-1.447153561,-1.474988681,-1.460092613,-1.425032725,-1.444642044,-1.455616598,-1.463654872,-1.455699721,-1.45809249,-1.469524299,-1.461618931,-1.453345625,-1.459757879,-1.457113476,-1.456483111,,-1.454667531
