,0,1,2,,,
1946,0.422767696,0.42277181,0.422766089,,,0.422768532
1947,0.44671873,0.446705915,0.446710443,,,0.446711696
1948,0.453684639,0.453697357,0.453692163,,,0.453691386
1949,0.445640613,0.445647472,0.445630409,,,0.445639498
1950,0.42367479,0.423687426,0.423675479,,,0.423679232
1951,0.397029921,0.397020047,0.397021708,,,0.397023892
1952,0.394686156,0.394685287,0.394681548,,,0.39468433
1953,0.386121352,0.386119161,0.386115815,,,0.386118776
1954,0.384983802,0.384976032,0.384981309,,,0.384980381
1955,0.397583433,0.397568367,0.397581347,,,0.397577716
1956,0.42880196,0.428803259,0.428797624,,,0.428800948
1957,0.458849008,0.458831103,0.458841063,,,0.458840391
1958,0.461159461,0.461157853,0.461163582,,,0.461160299
1959,0.441748065,0.441730174,0.441751508,,,0.441743249
1960,0.427303284,0.427320481,0.427325783,,,0.427316516
1961,0.39721137,0.397219474,0.397213916,,,0.39721492
1962,0.374768357,0.374777987,0.374779342,,,0.374775229
1963,0.364654505,0.364638317,0.364649184,,,0.364647335
1964,0.358745107,0.358723687,0.358730712,,,0.358733169
1965,0.357504176,0.357504759,0.357512946,,,0.357507293
1966,0.366953098,0.366936938,0.366959982,,,0.366950006
1967,0.37638059,0.376390181,0.376391716,,,0.376387496
1968,0.377345089,0.377341938,0.377350452,,,0.377345826
1969,0.375159112,0.375155082,0.375152584,,,0.375155593
1970,0.373422055,0.373410784,0.373414419,,,0.373415753
1971,0.352313374,0.352337661,0.352317771,,,0.352322935
1972,0.347436022,0.347460569,0.347447901,,,0.347448164
1973,0.327790986,0.327791137,0.327796404,,,0.327792843
1974,0.32421327,0.324216157,0.324232441,,,0.324220623
1975,0.321436854,0.321433319,0.32144494,,,0.321438371
1976,0.31998477,0.319992201,0.319986898,,,0.319987956
1977,0.331437126,0.33144645,0.331448869,,,0.331444148
1978,0.354496245,0.354501509,0.354516668,,,0.354504807
1979,0.372700724,0.37267772,0.372696251,,,0.372691565
1980,0.368862379,0.368859447,0.368851061,,,0.368857629
1981,0.373115621,0.373117971,0.373119808,,,
1982,0.348219941,0.348207892,0.348203163,,,
1983,0.346312193,0.346311822,0.346309375,,,
1984,0.312736286,0.312743386,0.312730623,,,
1985,0.300644849,0.300640681,0.300651216,,,
1986,0.295802402,0.29578753,0.295806606,,,
1987,0.297083799,0.297063637,0.297071916,,,
